Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_7                        Jan 01 2024 03:09:53.851562500   Jan 01 2024 03:12:31.167968750       2.621940104
Cuiaba --> Walker_6                        Jan 01 2024 03:18:01.007812500   Jan 01 2024 03:22:49.144531250       4.802278646
Cuiaba --> Walker_5                        Jan 01 2024 03:27:05.406250000   Jan 01 2024 03:33:13.695312500       6.138151042
Cuiaba --> Walker_4                        Jan 01 2024 03:36:30.523437500   Jan 01 2024 03:43:44.089843750       7.226106771
Cuiaba --> Walker_3                        Jan 01 2024 03:45:43.421875000   Jan 01 2024 03:53:39.753906250       7.938867187
Cuiaba --> Walker_2                        Jan 01 2024 03:54:40.582031250   Jan 01 2024 04:02:49.464843750       8.148046875
Cuiaba --> Walker_1                        Jan 01 2024 04:03:47.437500000   Jan 01 2024 04:12:02.960937500       8.258723958
Cuiaba --> Walker_10                       Jan 01 2024 04:13:32.609375000   Jan 01 2024 04:22:02.675781250       8.501106771
Cuiaba --> Walker_9                        Jan 01 2024 04:23:43.414062500   Jan 01 2024 04:32:14.144531250       8.512174479
Cuiaba --> Walker_8                        Jan 01 2024 04:33:28.718750000   Jan 01 2024 04:41:39.328125000       8.176822917
Cuiaba --> Walker_7                        Jan 01 2024 04:42:37.898437500   Jan 01 2024 04:50:22.742187500       7.747395833
Cuiaba --> Walker_6                        Jan 01 2024 04:52:06.136718750   Jan 01 2024 04:59:15.320312500       7.153059896
Cuiaba --> Walker_5                        Jan 01 2024 05:02:32.480468750   Jan 01 2024 05:08:45.484375000       6.216731771
Cuiaba --> Walker_4                        Jan 01 2024 05:13:26.050781250   Jan 01 2024 05:18:24.148437500       4.968294271
Cuiaba --> Walker_3                        Jan 01 2024 05:24:11.054687500   Jan 01 2024 05:26:58.132812500       2.784635417
Cuiaba --> Walker_3                        Jan 01 2024 15:42:26.847656250   Jan 01 2024 15:46:41.847656250       4.250000000
Cuiaba --> Walker_2                        Jan 01 2024 15:49:22.417968750   Jan 01 2024 15:54:45.550781250       5.385546875
Cuiaba --> Walker_1                        Jan 01 2024 15:57:06.199218750   Jan 01 2024 16:03:31.753906250       6.425911458
Cuiaba --> Walker_10                       Jan 01 2024 16:07:31.679687500   Jan 01 2024 16:14:53.613281250       7.365559896
Cuiaba --> Walker_9                        Jan 01 2024 16:18:55.000000000   Jan 01 2024 16:26:58.304687500       8.055078125
Cuiaba --> Walker_8                        Jan 01 2024 16:28:17.859375000   Jan 01 2024 16:36:45.269531250       8.456835937
Cuiaba --> Walker_7                        Jan 01 2024 16:35:41.785156250   Jan 01 2024 16:44:10.855468750       8.484505208
Cuiaba --> Walker_6                        Jan 01 2024 16:43:55.847656250   Jan 01 2024 16:52:17.480468750       8.360546875
Cuiaba --> Walker_5                        Jan 01 2024 16:54:49.152343750   Jan 01 2024 17:03:09.589843750       8.340625000
Cuiaba --> Walker_4                        Jan 01 2024 17:06:45.609375000   Jan 01 2024 17:14:52.699218750       8.118164062
Cuiaba --> Walker_3                        Jan 01 2024 17:16:39.613281250   Jan 01 2024 17:24:08.785156250       7.486197917
Cuiaba --> Walker_2                        Jan 01 2024 17:24:13.832031250   Jan 01 2024 17:31:00.636718750       6.780078125
Cuiaba --> Walker_1                        Jan 01 2024 17:32:40.644531250   Jan 01 2024 17:38:38.441406250       5.963281250
Cuiaba --> Walker_10                       Jan 01 2024 17:44:25.281250000   Jan 01 2024 17:48:43.734375000       4.307552083
Cuiaba --> Walker_8                        Jan 02 2024 03:14:14.671875000   Jan 02 2024 03:18:18.648437500       4.066276042
Cuiaba --> Walker_7                        Jan 02 2024 03:19:37.738281250   Jan 02 2024 03:24:42.542968750       5.080078125
Cuiaba --> Walker_6                        Jan 02 2024 03:26:24.941406250   Jan 02 2024 03:32:27.253906250       6.038541667
