Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_2                   Jan 01 2024 03:59:15.503906250   Jan 01 2024 04:01:00.691406250       1.753125000
PuntaArenas --> Walker_1                   Jan 01 2024 04:07:23.390625000   Jan 01 2024 04:10:26.207031250       3.046940104
PuntaArenas --> Walker_10                  Jan 01 2024 04:16:18.359375000   Jan 01 2024 04:20:35.351562500       4.283203125
PuntaArenas --> Walker_9                   Jan 01 2024 04:25:45.402343750   Jan 01 2024 04:30:48.945312500       5.059049479
PuntaArenas --> Walker_8                   Jan 01 2024 04:34:44.222656250   Jan 01 2024 04:40:15.457031250       5.520572917
PuntaArenas --> Walker_7                   Jan 01 2024 04:43:06.253906250   Jan 01 2024 04:49:01.660156250       5.923437500
PuntaArenas --> Walker_6                   Jan 01 2024 04:51:46.148437500   Jan 01 2024 04:57:58.953125000       6.213411458
PuntaArenas --> Walker_5                   Jan 01 2024 05:01:14.519531250   Jan 01 2024 05:07:45.187500000       6.511132812
PuntaArenas --> Walker_4                   Jan 01 2024 05:10:59.160156250   Jan 01 2024 05:17:55.062500000       6.931705729
PuntaArenas --> Walker_3                   Jan 01 2024 05:20:13.320312500   Jan 01 2024 05:27:20.179687500       7.114322917
PuntaArenas --> Walker_2                   Jan 01 2024 05:28:51.953125000   Jan 01 2024 05:35:46.992187500       6.917317708
PuntaArenas --> Walker_1                   Jan 01 2024 05:37:41.011718750   Jan 01 2024 05:44:28.082031250       6.784505208
PuntaArenas --> Walker_10                  Jan 01 2024 05:47:26.714843750   Jan 01 2024 05:54:15.910156250       6.819921875
PuntaArenas --> Walker_9                   Jan 01 2024 05:57:42.101562500   Jan 01 2024 06:04:21.468750000       6.656119792
PuntaArenas --> Walker_8                   Jan 01 2024 06:07:11.867187500   Jan 01 2024 06:13:30.382812500       6.308593750
PuntaArenas --> Walker_7                   Jan 01 2024 06:15:49.437500000   Jan 01 2024 06:21:47.234375000       5.963281250
PuntaArenas --> Walker_6                   Jan 01 2024 06:24:51.644531250   Jan 01 2024 06:30:18.960937500       5.455273437
PuntaArenas --> Walker_5                   Jan 01 2024 06:35:04.175781250   Jan 01 2024 06:39:51.117187500       4.782356771
PuntaArenas --> Walker_4                   Jan 01 2024 06:45:41.875000000   Jan 01 2024 06:49:48.574218750       4.111653646
PuntaArenas --> Walker_3                   Jan 01 2024 06:55:44.445312500   Jan 01 2024 06:58:39.292968750       2.914127604
PuntaArenas --> Walker_8                   Jan 01 2024 17:25:46.269531250   Jan 01 2024 17:28:19.867187500       2.559960938
PuntaArenas --> Walker_7                   Jan 01 2024 17:32:12.554687500   Jan 01 2024 17:35:48.839843750       3.604752604
PuntaArenas --> Walker_6                   Jan 01 2024 17:39:42.523437500   Jan 01 2024 17:43:58.917968750       4.273242188
PuntaArenas --> Walker_5                   Jan 01 2024 17:50:01.628906250   Jan 01 2024 17:55:20.378906250       5.312500000
PuntaArenas --> Walker_4                   Jan 01 2024 18:01:27.074218750   Jan 01 2024 18:07:41.472656250       6.239973958
PuntaArenas --> Walker_3                   Jan 01 2024 18:10:42.894531250   Jan 01 2024 18:17:14.093750000       6.519986979
PuntaArenas --> Walker_2                   Jan 01 2024 18:17:29.566406250   Jan 01 2024 18:23:59.503906250       6.498958333
PuntaArenas --> Walker_1                   Jan 01 2024 18:25:04.980468750   Jan 01 2024 18:31:44.546875000       6.659440104
PuntaArenas --> Walker_10                  Jan 01 2024 18:35:52.640625000   Jan 01 2024 18:42:43.496093750       6.847591146
PuntaArenas --> Walker_9                   Jan 01 2024 18:47:44.980468750   Jan 01 2024 18:54:39.289062500       6.905143229
PuntaArenas --> Walker_8                   Jan 01 2024 18:57:00.003906250   Jan 01 2024 19:03:56.171875000       6.936132813
PuntaArenas --> Walker_7                   Jan 01 2024 19:03:42.757812500   Jan 01 2024 19:10:32.484375000       6.828776042
PuntaArenas --> Walker_6                   Jan 01 2024 19:11:27.203125000   Jan 01 2024 19:18:00.792968750       6.559830729
PuntaArenas --> Walker_5                   Jan 01 2024 19:22:22.234375000   Jan 01 2024 19:28:46.394531250       6.402669271
PuntaArenas --> Walker_4                   Jan 01 2024 19:34:24.800781250   Jan 01 2024 19:40:38.800781250       6.233333333
PuntaArenas --> Walker_3                   Jan 01 2024 19:43:57.554687500   Jan 01 2024 19:49:41.339843750       5.729752604
PuntaArenas --> Walker_2                   Jan 01 2024 19:50:44.890625000   Jan 01 2024 19:55:51.222656250       5.105533854
PuntaArenas --> Walker_1                   Jan 01 2024 19:58:27.875000000   Jan 01 2024 20:03:01.734375000       4.564322917
PuntaArenas --> Walker_10                  Jan 01 2024 20:09:49.601562500   Jan 01 2024 20:13:27.015625000       3.623567708
PuntaArenas --> Walker_9                   Jan 01 2024 20:22:43.765625000   Jan 01 2024 20:24:29.882812500       1.768619792
