Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_6                        Jan 01 2024 03:13:21.171875000   Jan 01 2024 03:17:08.281250000       3.785156250
Cuiaba --> Walker_5                        Jan 01 2024 03:22:58.441406250   Jan 01 2024 03:28:33.792968750       5.589192708
Cuiaba --> Walker_4                        Jan 01 2024 03:33:22.394531250   Jan 01 2024 03:40:15.640625000       6.887434896
Cuiaba --> Walker_3                        Jan 01 2024 03:43:42.363281250   Jan 01 2024 03:51:31.988281250       7.827083333
Cuiaba --> Walker_2                        Jan 01 2024 03:53:41.082031250   Jan 01 2024 04:01:49.433593750       8.139192708
Cuiaba --> Walker_1                        Jan 01 2024 04:03:47.437500000   Jan 01 2024 04:12:02.960937500       8.258723958
Cuiaba --> Walker_9                        Jan 01 2024 04:14:40.011718750   Jan 01 2024 04:23:11.273437500       8.521028646
Cuiaba --> Walker_8                        Jan 01 2024 04:25:57.289062500   Jan 01 2024 04:34:24.832031250       8.459049479
Cuiaba --> Walker_7                        Jan 01 2024 04:36:33.925781250   Jan 01 2024 04:44:36.167968750       8.037369792
Cuiaba --> Walker_6                        Jan 01 2024 04:46:44.265625000   Jan 01 2024 04:54:15.429687500       7.519401042
Cuiaba --> Walker_5                        Jan 01 2024 04:57:47.531250000   Jan 01 2024 05:04:27.960937500       6.673828125
Cuiaba --> Walker_4                        Jan 01 2024 05:09:48.636718750   Jan 01 2024 05:15:14.292968750       5.427604167
Cuiaba --> Walker_3                        Jan 01 2024 05:21:46.621093750   Jan 01 2024 05:25:14.406250000       3.463085937
Cuiaba --> Walker_3                        Jan 01 2024 15:40:43.984375000   Jan 01 2024 15:44:36.804687500       3.880338542
Cuiaba --> Walker_2                        Jan 01 2024 15:48:37.328125000   Jan 01 2024 15:53:53.687500000       5.272656250
Cuiaba --> Walker_1                        Jan 01 2024 15:57:06.199218750   Jan 01 2024 16:03:31.753906250       6.425911458
Cuiaba --> Walker_9                        Jan 01 2024 16:08:48.511718750   Jan 01 2024 16:16:15.757812500       7.454101562
Cuiaba --> Walker_8                        Jan 01 2024 16:21:14.320312500   Jan 01 2024 16:29:24.730468750       8.173502604
Cuiaba --> Walker_7                        Jan 01 2024 16:30:52.253906250   Jan 01 2024 16:39:22.652343750       8.506640625
Cuiaba --> Walker_6                        Jan 01 2024 16:39:04.656250000   Jan 01 2024 16:47:30.007812500       8.422526042
Cuiaba --> Walker_5                        Jan 01 2024 16:49:40.496093750   Jan 01 2024 16:58:01.265625000       8.346158854
