Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_5                   Jan 01 2024 03:34:07.019531250   Jan 01 2024 03:36:11.664062500       2.077408854
PuntaArenas --> Walker_4                   Jan 01 2024 03:44:02.152343750   Jan 01 2024 03:48:15.890625000       4.228971354
PuntaArenas --> Walker_3                   Jan 01 2024 03:54:08.972656250   Jan 01 2024 03:59:39.742187500       5.512825521
PuntaArenas --> Walker_2                   Jan 01 2024 04:03:56.402343750   Jan 01 2024 04:09:56.457031250       6.000911458
PuntaArenas --> Walker_1                   Jan 01 2024 04:13:46.089843750   Jan 01 2024 04:20:15.761718750       6.494531250
PuntaArenas --> Walker_9                   Jan 01 2024 04:24:22.328125000   Jan 01 2024 04:31:35.296875000       7.216145833
PuntaArenas --> Walker_8                   Jan 01 2024 04:35:20.347656250   Jan 01 2024 04:43:00.808593750       7.674348958
PuntaArenas --> Walker_7                   Jan 01 2024 04:45:31.550781250   Jan 01 2024 04:53:29.011718750       7.957682292
PuntaArenas --> Walker_6                   Jan 01 2024 04:55:15.859375000   Jan 01 2024 05:03:27.863281250       8.200065104
PuntaArenas --> Walker_5                   Jan 01 2024 05:05:45.988281250   Jan 01 2024 05:14:06.957031250       8.349479167
PuntaArenas --> Walker_4                   Jan 01 2024 05:17:00.011718750   Jan 01 2024 05:25:37.316406250       8.621744792
PuntaArenas --> Walker_3                   Jan 01 2024 05:27:52.718750000   Jan 01 2024 05:36:41.179687500       8.807682292
PuntaArenas --> Walker_2                   Jan 01 2024 05:37:57.546875000   Jan 01 2024 05:46:31.000000000       8.557552083
PuntaArenas --> Walker_1                   Jan 01 2024 05:48:07.886718750   Jan 01 2024 05:56:26.265625000       8.306315104
PuntaArenas --> Walker_9                   Jan 01 2024 05:59:26.093750000   Jan 01 2024 06:07:39.093750000       8.216666667
PuntaArenas --> Walker_8                   Jan 01 2024 06:11:09.734375000   Jan 01 2024 06:19:01.816406250       7.868033854
PuntaArenas --> Walker_7                   Jan 01 2024 06:21:47.101562500   Jan 01 2024 06:29:09.566406250       7.374414062
PuntaArenas --> Walker_6                   Jan 01 2024 06:31:47.945312500   Jan 01 2024 06:38:38.003906250       6.834309896
PuntaArenas --> Walker_5                   Jan 01 2024 06:42:55.261718750   Jan 01 2024 06:48:56.312500000       6.017513021
PuntaArenas --> Walker_4                   Jan 01 2024 06:55:08.585937500   Jan 01 2024 07:00:14.320312500       5.095572917
PuntaArenas --> Walker_3                   Jan 01 2024 07:06:59.664062500   Jan 01 2024 07:10:47.570312500       3.798437500
PuntaArenas --> Walker_3                   Jan 01 2024 17:09:48.757812500   Jan 01 2024 17:12:43.937500000       2.919661458
PuntaArenas --> Walker_2                   Jan 01 2024 17:17:44.625000000   Jan 01 2024 17:21:47.140625000       4.041927083
PuntaArenas --> Walker_1                   Jan 01 2024 17:26:10.507812500   Jan 01 2024 17:31:20.027343750       5.158658854
PuntaArenas --> Walker_9                   Jan 01 2024 17:38:04.507812500   Jan 01 2024 17:44:24.683593750       6.336263021
PuntaArenas --> Walker_8                   Jan 01 2024 17:50:45.191406250   Jan 01 2024 17:57:56.765625000       7.192903646
PuntaArenas --> Walker_7                   Jan 01 2024 18:00:16.152343750   Jan 01 2024 18:07:59.601562500       7.724153646
PuntaArenas --> Walker_6                   Jan 01 2024 18:08:11.222656250   Jan 01 2024 18:16:05.296875000       7.901236979
PuntaArenas --> Walker_5                   Jan 01 2024 18:18:41.949218750   Jan 01 2024 18:26:51.363281250       8.156901042
PuntaArenas --> Walker_4                   Jan 01 2024 18:31:54.042968750   Jan 01 2024 18:40:32.675781250       8.643880208
PuntaArenas --> Walker_3                   Jan 01 2024 18:43:33.300781250   Jan 01 2024 18:52:18.906250000       8.760091146
PuntaArenas --> Walker_2                   Jan 01 2024 18:51:49.886718750   Jan 01 2024 19:00:22.742187500       8.547591146
PuntaArenas --> Walker_1                   Jan 01 2024 19:00:34.960937500   Jan 01 2024 19:09:03.433593750       8.474544271
PuntaArenas --> Walker_9                   Jan 01 2024 19:13:07.675781250   Jan 01 2024 19:21:28.910156250       8.353906250
PuntaArenas --> Walker_8                   Jan 01 2024 19:26:24.617187500   Jan 01 2024 19:34:30.179687500       8.092708333
PuntaArenas --> Walker_7                   Jan 01 2024 19:36:05.140625000   Jan 01 2024 19:43:58.152343750       7.883528646
PuntaArenas --> Walker_6                   Jan 01 2024 19:43:56.757812500   Jan 01 2024 19:51:26.792968750       7.500585938
PuntaArenas --> Walker_5                   Jan 01 2024 19:54:42.425781250   Jan 01 2024 20:01:41.914062500       6.991471354
PuntaArenas --> Walker_4                   Jan 01 2024 20:08:26.859375000   Jan 01 2024 20:14:58.656250000       6.529947917
PuntaArenas --> Walker_3                   Jan 01 2024 20:20:28.695312500   Jan 01 2024 20:26:14.871093750       5.769596354
PuntaArenas --> Walker_2                   Jan 01 2024 20:28:50.792968750   Jan 01 2024 20:33:36.671875000       4.764648438
PuntaArenas --> Walker_1                   Jan 01 2024 20:37:48.417968750   Jan 01 2024 20:41:33.003906250       3.743098958
PuntaArenas --> Walker_9                   Jan 01 2024 20:51:30.925781250   Jan 01 2024 20:52:48.554687500       1.293815104
PuntaArenas --> Walker_6                   Jan 02 2024 03:33:19.847656250   Jan 02 2024 03:35:18.648437500       1.980013021
PuntaArenas --> Walker_5                   Jan 02 2024 03:42:53.863281250   Jan 02 2024 03:46:38.117187500       3.737565104
PuntaArenas --> Walker_4                   Jan 02 2024 03:56:35.839843750   Jan 02 2024 04:02:06.277343750       5.507291667
PuntaArenas --> Walker_3                   Jan 02 2024 04:08:06.863281250   Jan 02 2024 04:14:40.121093750       6.554296875
PuntaArenas --> Walker_2                   Jan 02 2024 04:14:56.855468750   Jan 02 2024 04:21:39.078125000       6.703710938
PuntaArenas --> Walker_1                   Jan 02 2024 04:22:32.335937500   Jan 02 2024 04:29:30.496093750       6.969335938
PuntaArenas --> Walker_9                   Jan 02 2024 04:35:30.882812500   Jan 02 2024 04:43:11.542968750       7.677669271
PuntaArenas --> Walker_8                   Jan 02 2024 04:49:41.679687500   Jan 02 2024 04:57:48.769531250       8.118164062
PuntaArenas --> Walker_7                   Jan 02 2024 04:58:41.031250000   Jan 02 2024 05:06:57.550781250       8.275325521
PuntaArenas --> Walker_6                   Jan 02 2024 05:04:54.300781250   Jan 02 2024 05:13:16.863281250       8.376041667
PuntaArenas --> Walker_5                   Jan 02 2024 05:15:26.687500000   Jan 02 2024 05:23:53.832031250       8.452408854
PuntaArenas --> Walker_4                   Jan 02 2024 05:30:21.113281250   Jan 02 2024 05:39:00.210937500       8.651627604
PuntaArenas --> Walker_3                   Jan 02 2024 05:42:35.500000000   Jan 02 2024 05:51:18.648437500       8.719140625
PuntaArenas --> Walker_2                   Jan 02 2024 05:49:32.000000000   Jan 02 2024 05:57:56.753906250       8.412565104
PuntaArenas --> Walker_1                   Jan 02 2024 05:57:20.496093750   Jan 02 2024 06:05:28.183593750       8.128125000
PuntaArenas --> Walker_9                   Jan 02 2024 06:11:07.652343750   Jan 02 2024 06:18:59.601562500       7.865820313
PuntaArenas --> Walker_8                   Jan 02 2024 06:26:15.292968750   Jan 02 2024 06:33:28.062500000       7.212825521
PuntaArenas --> Walker_7                   Jan 02 2024 06:35:39.347656250   Jan 02 2024 06:42:15.859375000       6.608528646
PuntaArenas --> Walker_6                   Jan 02 2024 06:41:59.656250000   Jan 02 2024 06:48:08.675781250       6.150325521
PuntaArenas --> Walker_5                   Jan 02 2024 06:53:14.808593750   Jan 02 2024 06:58:19.546875000       5.078971354
PuntaArenas --> Walker_4                   Jan 02 2024 07:09:44.328125000   Jan 02 2024 07:12:43.957031250       2.993815104
PuntaArenas --> Walker_4                   Jan 02 2024 17:11:26.019531250   Jan 02 2024 17:14:40.988281250       3.249479167
PuntaArenas --> Walker_3                   Jan 02 2024 17:23:29.714843750   Jan 02 2024 17:28:44.082031250       5.239453125
PuntaArenas --> Walker_2                   Jan 02 2024 17:28:38.570312500   Jan 02 2024 17:34:06.683593750       5.468554688
PuntaArenas --> Walker_1                   Jan 02 2024 17:34:55.757812500   Jan 02 2024 17:40:57.406250000       6.027473958
PuntaArenas --> Walker_9                   Jan 02 2024 17:49:15.851562500   Jan 02 2024 17:56:20.519531250       7.077799479
PuntaArenas --> Walker_8                   Jan 02 2024 18:05:11.437500000   Jan 02 2024 18:13:02.191406250       7.845898437
PuntaArenas --> Walker_7                   Jan 02 2024 18:13:29.484375000   Jan 02 2024 18:21:40.757812500       8.187890625
PuntaArenas --> Walker_6                   Jan 02 2024 18:17:51.390625000   Jan 02 2024 18:26:02.132812500       8.179036458
PuntaArenas --> Walker_5                   Jan 02 2024 18:28:23.246093750   Jan 02 2024 18:36:44.082031250       8.347265625
