  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:33.898437500       1.564973958
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:43.527343750       1.725455729
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:14.753906250      11.245898437
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:24.449218750      11.407486979
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:20:54.148437500      20.902473958
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:21:03.843750000      21.064062500
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:30:31.285156250      30.521419271
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:30:40.914062500      30.681901042
Earth Umbral      Jan 01 2024 00:06:04.703125000   Jan 01 2024 00:40:13.402343750      34.144986979
Earth Penumbral   Jan 01 2024 00:05:55.007812500   Jan 01 2024 00:40:23.097656250      34.468164063
Earth Penumbral   Jan 01 2024 00:15:35.863281250   Jan 01 2024 00:50:06.542968750      34.511328125
Earth Umbral      Jan 01 2024 00:15:45.492187500   Jan 01 2024 00:49:56.847656250      34.189257813
Earth Penumbral   Jan 01 2024 00:25:12.468750000   Jan 01 2024 00:59:43.281250000      34.513541667
Earth Umbral      Jan 01 2024 00:25:22.097656250   Jan 01 2024 00:59:33.652343750      34.192578125
Earth Penumbral   Jan 01 2024 00:34:54.187500000   Jan 01 2024 01:09:24.800781250      34.510221354
Earth Umbral      Jan 01 2024 00:35:03.882812500   Jan 01 2024 01:09:15.171875000      34.188151042
Earth Penumbral   Jan 01 2024 00:44:47.792968750   Jan 01 2024 01:19:17.277343750      34.491406250
Earth Umbral      Jan 01 2024 00:44:57.488281250   Jan 01 2024 01:19:07.582031250      34.168229167
Earth Umbral      Jan 01 2024 00:54:42.660156250   Jan 01 2024 01:28:50.960937500      34.138346354
Earth Penumbral   Jan 01 2024 00:54:32.964843750   Jan 01 2024 01:29:00.656250000      34.461523437
Earth Umbral      Jan 01 2024 01:04:08.640625000   Jan 01 2024 01:38:18.734375000      34.168229167
Earth Penumbral   Jan 01 2024 01:03:59.011718750   Jan 01 2024 01:38:28.363281250      34.489192708
Earth Umbral      Jan 01 2024 01:13:38.937500000   Jan 01 2024 01:47:51.621093750      34.211393229
Earth Penumbral   Jan 01 2024 01:13:29.308593750   Jan 01 2024 01:48:01.316406250      34.533463542
Earth Penumbral   Jan 01 2024 01:23:18.996093750   Jan 01 2024 01:57:48.613281250      34.493619792
Earth Umbral      Jan 01 2024 01:23:28.625000000   Jan 01 2024 01:57:38.984375000      34.172656250
Earth Umbral      Jan 01 2024 01:33:21.898437500   Jan 01 2024 02:07:29.003906250      34.118424479
Earth Penumbral   Jan 01 2024 01:33:12.269531250   Jan 01 2024 02:07:38.699218750      34.440494792
