  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:40.273437500       1.671223958
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:32.171875000       1.536197917
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:10:41.417968750      10.690299479
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:10:33.250000000      10.554166667
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:19:41.632812500      19.693880208
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:19:33.464843750      19.557747396
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:28:30.757812500      28.512630208
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:28:38.925781250      28.648763021
Earth Penumbral   Jan 01 2024 00:00:48.011718750   Jan 01 2024 00:37:39.539062500      36.858789063
Earth Umbral      Jan 01 2024 00:00:56.113281250   Jan 01 2024 00:37:31.371093750      36.587630208
Earth Penumbral   Jan 01 2024 00:09:48.027343750   Jan 01 2024 00:46:42.277343750      36.904166667
Earth Umbral      Jan 01 2024 00:09:56.195312500   Jan 01 2024 00:46:34.109375000      36.631901042
Earth Umbral      Jan 01 2024 00:18:53.222656250   Jan 01 2024 00:55:31.402343750      36.636328125
Earth Penumbral   Jan 01 2024 00:18:45.121093750   Jan 01 2024 00:55:39.503906250      36.906380208
Earth Umbral      Jan 01 2024 00:27:52.375000000   Jan 01 2024 01:04:29.691406250      36.621940104
Earth Penumbral   Jan 01 2024 00:27:44.273437500   Jan 01 2024 01:04:37.792968750      36.891992188
Earth Umbral      Jan 01 2024 00:36:59.894531250   Jan 01 2024 01:13:35.949218750      36.600911458
Earth Penumbral   Jan 01 2024 00:36:51.792968750   Jan 01 2024 01:13:44.117187500      36.872070312
Earth Umbral      Jan 01 2024 00:46:02.832031250   Jan 01 2024 01:22:37.890625000      36.584309896
Earth Penumbral   Jan 01 2024 00:45:54.664062500   Jan 01 2024 01:22:46.058593750      36.856575521
Earth Umbral      Jan 01 2024 00:54:52.355468750   Jan 01 2024 01:31:29.937500000      36.626367188
Earth Penumbral   Jan 01 2024 00:54:44.253906250   Jan 01 2024 01:31:38.105468750      36.897526042
Earth Penumbral   Jan 01 2024 01:03:37.097656250   Jan 01 2024 01:40:34.003906250      36.948437500
Earth Umbral      Jan 01 2024 01:03:45.199218750   Jan 01 2024 01:40:25.902343750      36.678385417
Earth Umbral      Jan 01 2024 01:12:52.718750000   Jan 01 2024 01:49:31.097656250      36.639648438
