  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:00:32.472656250       0.541210938
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:00:23.972656250       0.399544271
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:09:47.429687500       9.790494792
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:09:55.929687500       9.932161458
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:19:10.222656250      19.170377604
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:19:18.722656250      19.312044271
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:28:31.089843750      28.518164062
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:28:39.589843750      28.659830729
Earth Umbral      Jan 01 2024 00:02:10.488281250   Jan 01 2024 00:37:54.613281250      35.735416667
Earth Penumbral   Jan 01 2024 00:02:02.054687500   Jan 01 2024 00:38:03.113281250      36.017643229
Earth Umbral      Jan 01 2024 00:11:33.281250000   Jan 01 2024 00:47:18.933593750      35.760872396
Earth Penumbral   Jan 01 2024 00:11:24.781250000   Jan 01 2024 00:47:27.367187500      36.043098958
Earth Umbral      Jan 01 2024 00:20:53.417968750   Jan 01 2024 00:56:38.539062500      35.752018229
Earth Penumbral   Jan 01 2024 00:20:44.917968750   Jan 01 2024 00:56:46.972656250      36.034244792
Earth Umbral      Jan 01 2024 00:30:15.347656250   Jan 01 2024 01:06:00.269531250      35.748697917
Earth Penumbral   Jan 01 2024 00:30:06.914062500   Jan 01 2024 01:06:08.769531250      36.030924479
Earth Penumbral   Jan 01 2024 00:39:36.148437500   Jan 01 2024 01:15:37.937500000      36.029817708
Earth Umbral      Jan 01 2024 00:39:44.582031250   Jan 01 2024 01:15:29.437500000      35.747591146
Earth Umbral      Jan 01 2024 00:49:09.964843750   Jan 01 2024 01:24:53.890625000      35.732096354
Earth Penumbral   Jan 01 2024 00:49:01.464843750   Jan 01 2024 01:25:02.390625000      36.015429688
Earth Penumbral   Jan 01 2024 00:58:15.027343750   Jan 01 2024 01:34:17.214843750      36.036458333
Earth Umbral      Jan 01 2024 00:58:23.460937500   Jan 01 2024 01:34:08.714843750      35.754231771
Earth Penumbral   Jan 01 2024 01:07:31.046875000   Jan 01 2024 01:43:35.492187500      36.074088542
Earth Umbral      Jan 01 2024 01:07:39.546875000   Jan 01 2024 01:43:26.992187500      35.790755208
Earth Umbral      Jan 01 2024 01:17:08.781250000   Jan 01 2024 01:52:54.765625000      35.766406250
Earth Penumbral   Jan 01 2024 01:17:00.281250000   Jan 01 2024 01:53:03.265625000      36.049739583
Earth Umbral      Jan 01 2024 01:26:40.738281250   Jan 01 2024 02:02:24.000000000      35.721028646
Earth Penumbral   Jan 01 2024 01:26:32.238281250   Jan 01 2024 02:02:32.500000000      36.004361979
Earth Penumbral   Jan 01 2024 01:35:54.964843750   Jan 01 2024 02:11:56.156250000      36.019856771
Earth Umbral      Jan 01 2024 01:36:03.464843750   Jan 01 2024 02:11:47.656250000      35.736523437
Earth Umbral      Jan 01 2024 01:45:18.023437500   Jan 01 2024 02:21:03.675781250      35.760872396
Earth Penumbral   Jan 01 2024 01:45:09.523437500   Jan 01 2024 02:21:12.175781250      36.044205729
Earth Penumbral   Jan 01 2024 01:54:24.480468750   Jan 01 2024 02:30:26.535156250      36.034244792
Earth Umbral      Jan 01 2024 01:54:32.914062500   Jan 01 2024 02:30:18.101562500      35.753125000
Earth Umbral      Jan 01 2024 02:03:59.890625000   Jan 01 2024 02:39:44.878906250      35.749804688
Earth Penumbral   Jan 01 2024 02:03:51.457031250   Jan 01 2024 02:39:53.378906250      36.032031250
Earth Umbral      Jan 01 2024 02:13:37.492187500   Jan 01 2024 02:49:22.414062500      35.748697917
Earth Penumbral   Jan 01 2024 02:13:28.992187500   Jan 01 2024 02:49:30.914062500      36.032031250
Earth Umbral      Jan 01 2024 02:23:02.808593750   Jan 01 2024 02:58:46.867187500      35.734309896
Earth Penumbral   Jan 01 2024 02:22:54.375000000   Jan 01 2024 02:58:55.300781250      36.015429688
Earth Penumbral   Jan 01 2024 02:31:59.636718750   Jan 01 2024 03:08:01.890625000      36.037565104
Earth Umbral      Jan 01 2024 02:32:08.070312500   Jan 01 2024 03:07:53.390625000      35.755338542
Earth Umbral      Jan 01 2024 02:41:19.042968750   Jan 01 2024 03:17:06.554687500      35.791861979
Earth Penumbral   Jan 01 2024 02:41:10.542968750   Jan 01 2024 03:17:15.054687500      36.075195312
Earth Penumbral   Jan 01 2024 02:50:44.757812500   Jan 01 2024 03:26:47.808593750      36.050846354
Earth Umbral      Jan 01 2024 02:50:53.257812500   Jan 01 2024 03:26:39.308593750      35.767513021
Earth Penumbral   Jan 01 2024 03:00:25.015625000   Jan 01 2024 03:36:25.343750000      36.005468750
Earth Umbral      Jan 01 2024 03:00:33.515625000   Jan 01 2024 03:36:16.843750000      35.722135417
Earth Umbral      Jan 01 2024 03:09:56.375000000   Jan 01 2024 03:45:40.632812500      35.737630208
Earth Penumbral   Jan 01 2024 03:09:47.941406250   Jan 01 2024 03:45:49.132812500      36.019856771
Earth Umbral      Jan 01 2024 03:19:02.699218750   Jan 01 2024 03:54:48.417968750      35.761979167
Earth Penumbral   Jan 01 2024 03:18:54.199218750   Jan 01 2024 03:54:56.917968750      36.045312500
Earth Penumbral   Jan 01 2024 03:28:03.976562500   Jan 01 2024 04:04:06.097656250      36.035351562
Earth Umbral      Jan 01 2024 03:28:12.410156250   Jan 01 2024 04:03:57.664062500      35.754231771
Earth Umbral      Jan 01 2024 03:37:44.433593750   Jan 01 2024 04:13:29.488281250      35.750911458
Earth Penumbral   Jan 01 2024 03:37:36.000000000   Jan 01 2024 04:13:37.921875000      36.032031250
Earth Penumbral   Jan 01 2024 03:47:21.902343750   Jan 01 2024 04:23:23.824218750      36.032031250
Earth Umbral      Jan 01 2024 03:47:30.402343750   Jan 01 2024 04:23:15.324218750      35.748697917
Earth Penumbral   Jan 01 2024 03:56:47.218750000   Jan 01 2024 04:32:48.210937500      36.016536458
Earth Umbral      Jan 01 2024 03:56:55.718750000   Jan 01 2024 04:32:39.777343750      35.734309896
Earth Umbral      Jan 01 2024 04:05:52.679687500   Jan 01 2024 04:41:38.000000000      35.755338542
Earth Penumbral   Jan 01 2024 04:05:44.246093750   Jan 01 2024 04:41:46.500000000      36.037565104
Earth Penumbral   Jan 01 2024 04:14:50.039062500   Jan 01 2024 04:50:54.617187500      36.076302083
Earth Umbral      Jan 01 2024 04:14:58.472656250   Jan 01 2024 04:50:46.117187500      35.794075521
Earth Penumbral   Jan 01 2024 04:24:29.234375000   Jan 01 2024 05:00:32.285156250      36.050846354
Earth Umbral      Jan 01 2024 04:24:37.734375000   Jan 01 2024 05:00:23.785156250      35.767513021
Earth Umbral      Jan 01 2024 04:34:26.292968750   Jan 01 2024 05:10:09.687500000      35.723242187
Earth Penumbral   Jan 01 2024 04:34:17.792968750   Jan 01 2024 05:10:18.187500000      36.006575521
Earth Umbral      Jan 01 2024 04:43:49.285156250   Jan 01 2024 05:19:33.542968750      35.737630208
Earth Penumbral   Jan 01 2024 04:43:40.851562500   Jan 01 2024 05:19:42.042968750      36.019856771
Earth Umbral      Jan 01 2024 04:52:47.375000000   Jan 01 2024 05:28:33.160156250      35.763085938
Earth Penumbral   Jan 01 2024 04:52:38.875000000   Jan 01 2024 05:28:41.593750000      36.045312500
Earth Umbral      Jan 01 2024 05:01:51.906250000   Jan 01 2024 05:37:37.160156250      35.754231771
Earth Penumbral   Jan 01 2024 05:01:43.472656250   Jan 01 2024 05:37:45.593750000      36.035351562
Earth Umbral      Jan 01 2024 05:11:28.910156250   Jan 01 2024 05:47:13.964843750      35.750911458
Earth Penumbral   Jan 01 2024 05:11:20.476562500   Jan 01 2024 05:47:22.464843750      36.033138021
Earth Penumbral   Jan 01 2024 05:21:14.746093750   Jan 01 2024 05:57:16.667968750      36.032031250
