Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_1                      Jan 01 2024 04:02:08.691406250   Jan 01 2024 04:07:22.328125000       5.227278646
Amazonas --> Walker_1                      Jan 01 2024 16:02:30.394531250   Jan 01 2024 16:05:35.335937500       3.082356771
Amazonas --> Walker_1                      Jan 02 2024 04:11:13.398437500   Jan 02 2024 04:14:55.792968750       3.706575521
Amazonas --> Walker_1                      Jan 02 2024 16:10:20.660156250   Jan 02 2024 16:14:51.929687500       4.521158854
Amazonas --> Walker_1                      Jan 03 2024 04:20:18.503906250   Jan 03 2024 04:24:09.332031250       3.847135417
Amazonas --> Walker_1                      Jan 03 2024 16:18:40.609375000   Jan 03 2024 16:24:24.726562500       5.735286458
Amazonas --> Walker_2                      Jan 04 2024 03:42:00.425781250   Jan 04 2024 03:43:57.632812500       1.953450521
Amazonas --> Walker_1                      Jan 04 2024 04:29:09.929687500   Jan 04 2024 04:32:36.121093750       3.436523438
Amazonas --> Walker_1                      Jan 04 2024 16:27:45.050781250   Jan 04 2024 16:28:55.441406250       1.173177083
Amazonas --> Walker_1                      Jan 04 2024 16:29:08.191406250   Jan 04 2024 16:33:36.207031250       4.466927083
Amazonas --> Walker_2                      Jan 05 2024 03:51:00.417968750   Jan 05 2024 03:55:54.265625000       4.897460938
Amazonas --> Walker_1                      Jan 05 2024 04:38:15.898437500   Jan 05 2024 04:40:26.718750000       2.180338542
Amazonas --> Walker_2                      Jan 05 2024 15:51:45.960937500   Jan 05 2024 15:53:28.558593750       1.709960938
Amazonas --> Walker_1                      Jan 05 2024 16:38:34.746093750   Jan 05 2024 16:42:21.324218750       3.776302083
Amazonas --> Walker_2                      Jan 06 2024 03:59:51.644531250   Jan 06 2024 04:05:02.292968750       5.177473958
Amazonas --> Walker_2                      Jan 06 2024 16:00:23.242187500   Jan 06 2024 16:03:06.535156250       2.721549479
Amazonas --> Walker_1                      Jan 06 2024 16:50:21.882812500   Jan 06 2024 16:50:50.769531250       0.481445312
Amazonas --> Walker_2                      Jan 07 2024 04:08:52.964843750   Jan 07 2024 04:12:38.679687500       3.761914062
Amazonas --> Walker_2                      Jan 07 2024 16:08:28.980468750   Jan 07 2024 16:12:24.722656250       3.929036458
Amazonas --> Walker_2                      Jan 08 2024 04:17:58.070312500   Jan 08 2024 04:21:49.363281250       3.854882813
Amazonas --> Walker_2                      Jan 08 2024 16:16:26.019531250   Jan 08 2024 16:21:42.843750000       5.280403646
Amazonas --> Walker_1                      Jan 09 2024 03:39:58.785156250   Jan 09 2024 03:41:15.949218750       1.286067708
Amazonas --> Walker_2                      Jan 09 2024 04:26:49.695312500   Jan 09 2024 04:30:49.421875000       3.995442708
Amazonas --> Walker_2                      Jan 09 2024 16:25:24.484375000   Jan 09 2024 16:31:15.109375000       5.843750000
Amazonas --> Walker_1                      Jan 10 2024 03:48:43.636718750   Jan 10 2024 03:53:22.476562500       4.647330729
Amazonas --> Walker_2                      Jan 10 2024 04:35:55.664062500   Jan 10 2024 04:38:28.664062500       2.550000000
Amazonas --> Walker_1                      Jan 10 2024 15:49:34.425781250   Jan 10 2024 15:51:02.945312500       1.475325521
Amazonas --> Walker_2                      Jan 10 2024 16:34:30.453125000   Jan 10 2024 16:35:04.917968750       0.574414063
Amazonas --> Walker_2                      Jan 10 2024 16:36:13.980468750   Jan 10 2024 16:40:20.480468750       4.108333333
Amazonas --> Walker_1                      Jan 11 2024 03:57:32.605468750   Jan 11 2024 04:02:38.738281250       5.102213542
Amazonas --> Walker_2                      Jan 11 2024 04:46:14.347656250   Jan 11 2024 04:46:39.914062500       0.426106771
Amazonas --> Walker_1                      Jan 11 2024 15:58:12.503906250   Jan 11 2024 16:00:38.199218750       2.428255208
Amazonas --> Walker_2                      Jan 11 2024 16:45:20.082031250   Jan 11 2024 16:48:35.050781250       3.249479167
Amazonas --> Walker_1                      Jan 12 2024 04:06:30.074218750   Jan 12 2024 04:10:19.773437500       3.828320312
Amazonas --> Walker_1                      Jan 12 2024 04:11:05.726562500   Jan 12 2024 04:11:13.496093750       0.129492187
Amazonas --> Walker_1                      Jan 12 2024 16:06:49.320312500   Jan 12 2024 16:10:02.164062500       3.214062500
Amazonas --> Walker_1                      Jan 13 2024 04:15:35.445312500   Jan 13 2024 04:19:25.609375000       3.836067708
Amazonas --> Walker_1                      Jan 13 2024 16:14:16.609375000   Jan 13 2024 16:19:21.812500000       5.086718750
Amazonas --> Walker_1                      Jan 14 2024 04:24:27.601562500   Jan 14 2024 04:28:31.445312500       4.064062500
Amazonas --> Walker_1                      Jan 14 2024 16:23:02.523437500   Jan 14 2024 16:28:54.410156250       5.864778646
Amazonas --> Walker_2                      Jan 15 2024 03:46:23.933593750   Jan 15 2024 03:48:47.304687500       2.389518229
Amazonas --> Walker_1                      Jan 15 2024 04:33:32.042968750   Jan 15 2024 04:36:15.800781250       2.729296875
Amazonas --> Walker_2                      Jan 15 2024 15:47:53.835937500   Jan 15 2024 15:48:31.687500000       0.630859375
Amazonas --> Walker_1                      Jan 15 2024 16:32:08.691406250   Jan 15 2024 16:32:53.382812500       0.744856771
Amazonas --> Walker_1                      Jan 15 2024 16:33:48.167968750   Jan 15 2024 16:38:00.445312500       4.204622396
Amazonas --> Walker_2                      Jan 16 2024 03:55:16.820312500   Jan 16 2024 04:00:19.234375000       5.040234375
Amazonas --> Walker_1                      Jan 16 2024 04:43:33.992187500   Jan 16 2024 04:44:15.628906250       0.693945313
Amazonas --> Walker_2                      Jan 16 2024 15:55:58.578125000   Jan 16 2024 15:58:05.281250000       2.111718750
Amazonas --> Walker_1                      Jan 16 2024 16:42:58.519531250   Jan 16 2024 16:46:26.902343750       3.473046875
Amazonas --> Walker_2                      Jan 17 2024 04:04:11.167968750   Jan 17 2024 04:09:25.136718750       5.232812500
Amazonas --> Walker_2                      Jan 17 2024 16:04:31.875000000   Jan 17 2024 16:07:39.273437500       3.123307292
Amazonas --> Walker_2                      Jan 18 2024 04:13:16.074218750   Jan 18 2024 04:16:59.531250000       3.724283854
Amazonas --> Walker_2                      Jan 18 2024 16:12:21.210937500   Jan 18 2024 16:16:55.402343750       4.569856771
Amazonas --> Walker_2                      Jan 19 2024 04:22:20.183593750   Jan 19 2024 04:26:11.742187500       3.859309896
Amazonas --> Walker_2                      Jan 19 2024 16:20:42.953125000   Jan 19 2024 16:26:27.933593750       5.749674479
Amazonas --> Walker_1                      Jan 20 2024 03:43:58.984375000   Jan 20 2024 03:45:56.589843750       1.960091146
Amazonas --> Walker_2                      Jan 20 2024 04:31:12.207031250   Jan 20 2024 04:34:35.941406250       3.395572917
Amazonas --> Walker_2                      Jan 20 2024 16:29:47.460937500   Jan 20 2024 16:30:57.453125000       1.166536458
Amazonas --> Walker_2                      Jan 20 2024 16:31:12.660156250   Jan 20 2024 16:35:38.683593750       4.433723958
Amazonas --> Walker_1                      Jan 21 2024 03:52:58.445312500   Jan 21 2024 03:57:52.027343750       4.893033854
Amazonas --> Walker_2                      Jan 21 2024 04:40:29.996093750   Jan 21 2024 04:42:27.867187500       1.964518229
Amazonas --> Walker_1                      Jan 21 2024 15:53:46.445312500   Jan 21 2024 15:55:32.296875000       1.764192708
Amazonas --> Walker_2                      Jan 21 2024 16:40:37.023437500   Jan 21 2024 16:44:21.144531250       3.735351562
Amazonas --> Walker_1                      Jan 22 2024 04:01:49.406250000   Jan 22 2024 04:06:59.390625000       5.166406250
Amazonas --> Walker_1                      Jan 22 2024 16:02:22.996093750   Jan 22 2024 16:05:10.074218750       2.784635417
Amazonas --> Walker_2                      Jan 22 2024 16:52:23.960937500   Jan 22 2024 16:52:52.316406250       0.472591146
Amazonas --> Walker_1                      Jan 23 2024 04:10:50.527343750   Jan 23 2024 04:14:34.582031250       3.734244792
Amazonas --> Walker_1                      Jan 23 2024 16:10:25.015625000   Jan 23 2024 16:14:27.929687500       4.048567708
Amazonas --> Walker_1                      Jan 24 2024 04:19:55.167968750   Jan 24 2024 04:23:45.796875000       3.843815104
Amazonas --> Walker_1                      Jan 24 2024 16:18:25.906250000   Jan 24 2024 16:23:44.921875000       5.316927083
Amazonas --> Walker_2                      Jan 25 2024 03:41:56.878906250   Jan 25 2024 03:43:19.488281250       1.376822917
Amazonas --> Walker_1                      Jan 25 2024 04:28:46.328125000   Jan 25 2024 04:32:43.597656250       3.954492188
Amazonas --> Walker_1                      Jan 25 2024 16:27:25.167968750   Jan 25 2024 16:33:16.988281250       5.863671875
Amazonas --> Walker_2                      Jan 26 2024 03:50:44.320312500   Jan 26 2024 03:55:25.152343750       4.680533854
Amazonas --> Walker_1                      Jan 26 2024 04:37:51.898437500   Jan 26 2024 04:40:18.257812500       2.439322917
Amazonas --> Walker_2                      Jan 26 2024 15:51:34.777343750   Jan 26 2024 15:53:04.492187500       1.495247396
Amazonas --> Walker_1                      Jan 26 2024 16:36:30.871093750   Jan 26 2024 16:37:03.941406250       0.551171875
Amazonas --> Walker_1                      Jan 26 2024 16:38:14.796875000   Jan 26 2024 16:42:20.433593750       4.093945312
Amazonas --> Walker_2                      Jan 27 2024 03:59:33.222656250   Jan 27 2024 04:04:39.753906250       5.108854167
Amazonas --> Walker_1                      Jan 27 2024 04:48:10.980468750   Jan 27 2024 04:48:35.351562500       0.406184896
Amazonas --> Walker_2                      Jan 27 2024 16:00:13.054687500   Jan 27 2024 16:02:40.277343750       2.453710937
Amazonas --> Walker_1                      Jan 27 2024 16:47:20.699218750   Jan 27 2024 16:50:35.867187500       3.252799479
Amazonas --> Walker_2                      Jan 28 2024 04:08:30.890625000   Jan 28 2024 04:12:20.589843750       3.828320312
Amazonas --> Walker_2                      Jan 28 2024 16:08:46.218750000   Jan 28 2024 16:12:03.246093750       3.283789062
Amazonas --> Walker_2                      Jan 29 2024 04:17:35.863281250   Jan 29 2024 04:21:26.226562500       3.839388021
Amazonas --> Walker_2                      Jan 29 2024 16:16:15.832031250   Jan 29 2024 16:21:22.761718750       5.115494792
Amazonas --> Walker_2                      Jan 30 2024 04:26:27.886718750   Jan 30 2024 04:30:31.863281250       4.066276042
Amazonas --> Walker_2                      Jan 30 2024 16:25:03.273437500   Jan 30 2024 16:30:55.093750000       5.863671875
