Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_1                   Jan 01 2024 04:13:46.089843750   Jan 01 2024 04:20:15.761718750       6.494531250
PuntaArenas --> Walker_2                   Jan 01 2024 05:00:22.855468750   Jan 01 2024 05:08:39.308593750       8.274218750
PuntaArenas --> Walker_1                   Jan 01 2024 05:48:07.886718750   Jan 01 2024 05:56:26.265625000       8.306315104
PuntaArenas --> Walker_2                   Jan 01 2024 06:37:09.750000000   Jan 01 2024 06:43:37.296875000       6.459114583
PuntaArenas --> Walker_1                   Jan 01 2024 17:26:10.507812500   Jan 01 2024 17:31:20.027343750       5.158658854
PuntaArenas --> Walker_2                   Jan 01 2024 18:12:58.031250000   Jan 01 2024 18:20:57.085937500       7.984244792
PuntaArenas --> Walker_1                   Jan 01 2024 19:00:34.960937500   Jan 01 2024 19:09:03.433593750       8.474544271
PuntaArenas --> Walker_2                   Jan 01 2024 19:48:47.683593750   Jan 01 2024 19:56:02.046875000       7.239388021
PuntaArenas --> Walker_1                   Jan 01 2024 20:37:48.417968750   Jan 01 2024 20:41:33.003906250       3.743098958
PuntaArenas --> Walker_2                   Jan 02 2024 03:37:22.496093750   Jan 02 2024 03:40:13.292968750       2.846614583
PuntaArenas --> Walker_1                   Jan 02 2024 04:22:32.335937500   Jan 02 2024 04:29:30.496093750       6.969335938
PuntaArenas --> Walker_2                   Jan 02 2024 05:09:22.847656250   Jan 02 2024 05:17:47.203125000       8.405924479
PuntaArenas --> Walker_1                   Jan 02 2024 05:57:20.496093750   Jan 02 2024 06:05:28.183593750       8.128125000
PuntaArenas --> Walker_2                   Jan 02 2024 06:46:42.679687500   Jan 02 2024 06:52:26.199218750       5.725325521
PuntaArenas --> Walker_1                   Jan 02 2024 17:34:55.757812500   Jan 02 2024 17:40:57.406250000       6.027473958
PuntaArenas --> Walker_2                   Jan 02 2024 18:21:59.085937500   Jan 02 2024 18:30:11.488281250       8.206705729
PuntaArenas --> Walker_1                   Jan 02 2024 19:09:42.125000000   Jan 02 2024 19:18:04.886718750       8.379361979
PuntaArenas --> Walker_2                   Jan 02 2024 19:58:01.421875000   Jan 02 2024 20:04:50.351562500       6.815494792
PuntaArenas --> Walker_1                   Jan 02 2024 20:47:31.042968750   Jan 02 2024 20:49:45.582031250       2.242317708
