Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Svalbard --> Walker_1                      Jan 01 2024 00:21:11.414062500   Jan 01 2024 00:33:31.644531250      12.337174479
Svalbard --> Walker_2                      Jan 01 2024 01:09:13.246093750   Jan 01 2024 01:21:53.332031250      12.668098958
Svalbard --> Walker_1                      Jan 01 2024 01:57:14.015625000   Jan 01 2024 02:10:03.531250000      12.825260417
Svalbard --> Walker_2                      Jan 01 2024 02:45:08.742187500   Jan 01 2024 02:58:02.507812500      12.896093750
Svalbard --> Walker_1                      Jan 01 2024 03:33:02.007812500   Jan 01 2024 03:45:53.648437500      12.860677083
Svalbard --> Walker_2                      Jan 01 2024 04:20:49.230468750   Jan 01 2024 04:33:37.550781250      12.805338542
Svalbard --> Walker_1                      Jan 01 2024 05:08:34.859375000   Jan 01 2024 05:21:18.597656250      12.728971354
Svalbard --> Walker_2                      Jan 01 2024 05:56:15.441406250   Jan 01 2024 06:08:56.855468750      12.690234375
Svalbard --> Walker_1                      Jan 01 2024 06:43:55.625000000   Jan 01 2024 06:56:37.039062500      12.690234375
Svalbard --> Walker_2                      Jan 01 2024 07:31:33.816406250   Jan 01 2024 07:44:17.687500000      12.731184896
Svalbard --> Walker_1                      Jan 01 2024 08:19:14.863281250   Jan 01 2024 08:32:03.250000000      12.806445312
Svalbard --> Walker_2                      Jan 01 2024 09:06:58.699218750   Jan 01 2024 09:19:50.539062500      12.863997396
Svalbard --> Walker_1                      Jan 01 2024 09:54:49.773437500   Jan 01 2024 10:07:43.671875000      12.898307292
Svalbard --> Walker_2                      Jan 01 2024 10:42:48.617187500   Jan 01 2024 10:55:38.398437500      12.829687500
Svalbard --> Walker_1                      Jan 01 2024 11:30:58.617187500   Jan 01 2024 11:43:39.035156250      12.673632812
Svalbard --> Walker_2                      Jan 01 2024 12:19:20.039062500   Jan 01 2024 12:31:40.800781250      12.346028646
Svalbard --> Walker_1                      Jan 01 2024 13:07:54.941406250   Jan 01 2024 13:19:48.542968750      11.893359375
Svalbard --> Walker_2                      Jan 01 2024 13:56:42.328125000   Jan 01 2024 14:07:57.746093750      11.256966146
Svalbard --> Walker_1                      Jan 01 2024 14:45:42.730468750   Jan 01 2024 14:56:13.722656250      10.516536458
Svalbard --> Walker_2                      Jan 01 2024 15:34:52.562500000   Jan 01 2024 15:44:32.886718750       9.672070313
Svalbard --> Walker_1                      Jan 01 2024 16:24:09.765625000   Jan 01 2024 16:33:01.679687500       8.865234375
