  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:14.753906250      11.245898437
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:24.449218750      11.407486979
Earth Penumbral   Jan 01 2024 00:25:12.468750000   Jan 01 2024 00:59:43.281250000      34.513541667
Earth Umbral      Jan 01 2024 00:25:22.097656250   Jan 01 2024 00:59:33.652343750      34.192578125
Earth Umbral      Jan 01 2024 01:13:38.937500000   Jan 01 2024 01:47:51.621093750      34.211393229
Earth Penumbral   Jan 01 2024 01:13:29.308593750   Jan 01 2024 01:48:01.316406250      34.533463542
Earth Penumbral   Jan 01 2024 02:01:49.269531250   Jan 01 2024 02:36:20.148437500      34.514648438
Earth Umbral      Jan 01 2024 02:01:58.898437500   Jan 01 2024 02:36:10.519531250      34.193684896
Earth Umbral      Jan 01 2024 02:50:15.738281250   Jan 01 2024 03:24:28.421875000      34.211393229
Earth Penumbral   Jan 01 2024 02:50:06.042968750   Jan 01 2024 03:24:38.117187500      34.534570313
Earth Penumbral   Jan 01 2024 03:38:26.003906250   Jan 01 2024 04:12:56.882812500      34.514648438
Earth Umbral      Jan 01 2024 03:38:35.632812500   Jan 01 2024 04:12:47.253906250      34.193684896
Earth Umbral      Jan 01 2024 04:26:52.472656250   Jan 01 2024 05:01:05.222656250      34.212500000
Earth Penumbral   Jan 01 2024 04:26:42.843750000   Jan 01 2024 05:01:14.917968750      34.534570313
Earth Penumbral   Jan 01 2024 05:15:02.804687500   Jan 01 2024 05:49:33.683593750      34.514648438
Earth Umbral      Jan 01 2024 05:15:12.433593750   Jan 01 2024 05:49:24.054687500      34.193684896
Earth Umbral      Jan 01 2024 06:03:29.339843750   Jan 01 2024 06:37:42.156250000      34.213606771
Earth Penumbral   Jan 01 2024 06:03:19.710937500   Jan 01 2024 06:37:51.785156250      34.534570313
Earth Penumbral   Jan 01 2024 06:51:39.738281250   Jan 01 2024 07:26:10.617187500      34.514648438
Earth Umbral      Jan 01 2024 06:51:49.300781250   Jan 01 2024 07:26:00.988281250      34.194791667
Earth Umbral      Jan 01 2024 07:40:06.273437500   Jan 01 2024 08:14:19.089843750      34.213606771
Earth Penumbral   Jan 01 2024 07:39:56.644531250   Jan 01 2024 08:14:28.785156250      34.535677083
Earth Penumbral   Jan 01 2024 08:28:16.671875000   Jan 01 2024 09:02:47.617187500      34.515755208
Earth Umbral      Jan 01 2024 08:28:26.300781250   Jan 01 2024 09:02:37.988281250      34.194791667
Earth Umbral      Jan 01 2024 09:16:43.273437500   Jan 01 2024 09:50:56.089843750      34.213606771
Earth Penumbral   Jan 01 2024 09:16:33.578125000   Jan 01 2024 09:51:05.785156250      34.536783854
Earth Penumbral   Jan 01 2024 10:04:53.539062500   Jan 01 2024 10:39:24.550781250      34.516861979
Earth Umbral      Jan 01 2024 10:05:03.167968750   Jan 01 2024 10:39:14.921875000      34.195898437
Earth Umbral      Jan 01 2024 10:53:20.140625000   Jan 01 2024 11:27:33.023437500      34.214713542
Earth Penumbral   Jan 01 2024 10:53:10.445312500   Jan 01 2024 11:27:42.652343750      34.536783854
