Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_3                   Jan 01 2024 03:44:02.152343750   Jan 01 2024 03:48:15.890625000       4.228971354
PuntaArenas --> Walker_2                   Jan 01 2024 03:59:05.011718750   Jan 01 2024 04:04:54.042968750       5.817187500
PuntaArenas --> Walker_1                   Jan 01 2024 04:13:46.089843750   Jan 01 2024 04:20:15.761718750       6.494531250
PuntaArenas --> Walker_6                   Jan 01 2024 04:29:53.628906250   Jan 01 2024 04:37:22.933593750       7.488411458
PuntaArenas --> Walker_5                   Jan 01 2024 04:45:31.550781250   Jan 01 2024 04:53:29.011718750       7.957682292
PuntaArenas --> Walker_4                   Jan 01 2024 05:00:22.855468750   Jan 01 2024 05:08:39.308593750       8.274218750
PuntaArenas --> Walker_3                   Jan 01 2024 05:17:00.011718750   Jan 01 2024 05:25:37.316406250       8.621744792
PuntaArenas --> Walker_2                   Jan 01 2024 05:32:59.382812500   Jan 01 2024 05:41:42.796875000       8.723567708
PuntaArenas --> Walker_1                   Jan 01 2024 05:48:07.886718750   Jan 01 2024 05:56:26.265625000       8.306315104
PuntaArenas --> Walker_6                   Jan 01 2024 06:05:21.699218750   Jan 01 2024 06:13:26.730468750       8.083854167
PuntaArenas --> Walker_5                   Jan 01 2024 06:21:47.101562500   Jan 01 2024 06:29:09.566406250       7.374414062
PuntaArenas --> Walker_4                   Jan 01 2024 06:37:09.750000000   Jan 01 2024 06:43:37.296875000       6.459114583
PuntaArenas --> Walker_3                   Jan 01 2024 06:55:08.585937500   Jan 01 2024 07:00:14.320312500       5.095572917
PuntaArenas --> Walker_2                   Jan 01 2024 07:12:40.992187500   Jan 01 2024 07:15:12.796875000       2.530078125
PuntaArenas --> Walker_2                   Jan 01 2024 17:13:59.242187500   Jan 01 2024 17:17:34.332031250       3.584830729
PuntaArenas --> Walker_1                   Jan 01 2024 17:26:10.507812500   Jan 01 2024 17:31:20.027343750       5.158658854
PuntaArenas --> Walker_6                   Jan 01 2024 17:44:38.828125000   Jan 01 2024 17:51:27.093750000       6.804427083
PuntaArenas --> Walker_5                   Jan 01 2024 18:00:16.152343750   Jan 01 2024 18:07:59.601562500       7.724153646
