  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:02:28.683593750       2.478059896
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:02:19.453125000       2.324218750
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:51.210937500      11.853515625
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:41.914062500      11.698567708
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:21:11.812500000      21.196875000
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:21:02.582031250      21.043033854
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:30:29.492187500      30.491536458
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:30:20.261718750      30.337695312
Earth Penumbral   Jan 01 2024 00:04:47.140625000   Jan 01 2024 00:39:53.015625000      35.097916667
Earth Umbral      Jan 01 2024 00:04:56.437500000   Jan 01 2024 00:39:43.652343750      34.786914063
Earth Umbral      Jan 01 2024 00:14:18.699218750   Jan 01 2024 00:49:09.433593750      34.845572917
Earth Penumbral   Jan 01 2024 00:14:09.402343750   Jan 01 2024 00:49:18.730468750      35.155468750
Earth Penumbral   Jan 01 2024 00:23:27.214843750   Jan 01 2024 00:58:37.140625000      35.165429688
Earth Umbral      Jan 01 2024 00:23:36.445312500   Jan 01 2024 00:58:27.910156250      34.857747396
Earth Penumbral   Jan 01 2024 00:32:50.472656250   Jan 01 2024 01:07:59.734375000      35.154361979
Earth Umbral      Jan 01 2024 00:32:59.769531250   Jan 01 2024 01:07:50.371093750      34.843359375
Earth Penumbral   Jan 01 2024 00:42:26.414062500   Jan 01 2024 01:17:33.750000000      35.122265625
Earth Umbral      Jan 01 2024 00:42:35.777343750   Jan 01 2024 01:17:24.386718750      34.810156250
Earth Penumbral   Jan 01 2024 00:51:53.257812500   Jan 01 2024 01:26:58.667968750      35.090169271
Earth Umbral      Jan 01 2024 00:52:02.554687500   Jan 01 2024 01:26:49.371093750      34.780273438
Earth Umbral      Jan 01 2024 01:01:08.945312500   Jan 01 2024 01:35:58.351562500      34.823437500
Earth Penumbral   Jan 01 2024 01:00:59.714843750   Jan 01 2024 01:36:07.582031250      35.131119792
Earth Penumbral   Jan 01 2024 01:10:10.886718750   Jan 01 2024 01:45:22.007812500      35.185351563
Earth Umbral      Jan 01 2024 01:10:20.117187500   Jan 01 2024 01:45:12.777343750      34.877669271
Earth Umbral      Jan 01 2024 01:19:51.808593750   Jan 01 2024 01:54:41.414062500      34.826757812
Earth Penumbral   Jan 01 2024 01:19:42.578125000   Jan 01 2024 01:54:50.710937500      35.135546875
Earth Penumbral   Jan 01 2024 01:29:17.523437500   Jan 01 2024 02:04:21.539062500      35.066927083
Earth Umbral      Jan 01 2024 01:29:26.753906250   Jan 01 2024 02:04:12.242187500      34.758138021
Earth Umbral      Jan 01 2024 01:38:48.484375000   Jan 01 2024 02:13:35.765625000      34.788020833
Earth Penumbral   Jan 01 2024 01:38:39.187500000   Jan 01 2024 02:13:45.062500000      35.097916667
Earth Penumbral   Jan 01 2024 01:47:48.367187500   Jan 01 2024 02:22:57.695312500      35.155468750
Earth Umbral      Jan 01 2024 01:47:57.664062500   Jan 01 2024 02:22:48.398437500      34.845572917
Earth Penumbral   Jan 01 2024 01:56:58.011718750   Jan 01 2024 02:32:07.937500000      35.165429688
Earth Umbral      Jan 01 2024 01:57:07.242187500   Jan 01 2024 02:31:58.707031250      34.857747396
Earth Umbral      Jan 01 2024 02:06:38.667968750   Jan 01 2024 02:41:29.335937500      34.844466146
Earth Penumbral   Jan 01 2024 02:06:29.371093750   Jan 01 2024 02:41:38.632812500      35.154361979
Earth Umbral      Jan 01 2024 02:16:27.890625000   Jan 01 2024 02:51:16.500000000      34.810156250
Earth Penumbral   Jan 01 2024 02:16:18.527343750   Jan 01 2024 02:51:25.863281250      35.122265625
Earth Umbral      Jan 01 2024 02:25:54.535156250   Jan 01 2024 03:00:41.417968750      34.781380208
Earth Penumbral   Jan 01 2024 02:25:45.238281250   Jan 01 2024 03:00:50.714843750      35.091276042
Earth Penumbral   Jan 01 2024 02:34:38.546875000   Jan 01 2024 03:09:46.480468750      35.132226563
Earth Umbral      Jan 01 2024 02:34:47.843750000   Jan 01 2024 03:09:37.183593750      34.822330729
Earth Penumbral   Jan 01 2024 02:43:41.617187500   Jan 01 2024 03:18:52.804687500      35.186458333
Earth Umbral      Jan 01 2024 02:43:50.914062500   Jan 01 2024 03:18:43.507812500      34.876562500
Earth Penumbral   Jan 01 2024 02:53:21.343750000   Jan 01 2024 03:28:29.476562500      35.135546875
Earth Umbral      Jan 01 2024 02:53:30.640625000   Jan 01 2024 03:28:20.246093750      34.826757812
Earth Umbral      Jan 01 2024 03:03:18.667968750   Jan 01 2024 03:38:04.156250000      34.758138021
Earth Penumbral   Jan 01 2024 03:03:09.437500000   Jan 01 2024 03:38:13.453125000      35.066927083
Earth Umbral      Jan 01 2024 03:12:40.531250000   Jan 01 2024 03:47:27.812500000      34.788020833
Earth Penumbral   Jan 01 2024 03:12:31.234375000   Jan 01 2024 03:47:37.109375000      35.097916667
Earth Umbral      Jan 01 2024 03:21:36.628906250   Jan 01 2024 03:56:27.363281250      34.845572917
Earth Penumbral   Jan 01 2024 03:21:27.332031250   Jan 01 2024 03:56:36.660156250      35.155468750
Earth Penumbral   Jan 01 2024 03:30:28.742187500   Jan 01 2024 04:05:38.667968750      35.165429688
Earth Umbral      Jan 01 2024 03:30:37.972656250   Jan 01 2024 04:05:29.437500000      34.857747396
Earth Umbral      Jan 01 2024 03:40:17.500000000   Jan 01 2024 04:15:08.167968750      34.844466146
Earth Penumbral   Jan 01 2024 03:40:08.203125000   Jan 01 2024 04:15:17.464843750      35.154361979
Earth Umbral      Jan 01 2024 03:50:19.937500000   Jan 01 2024 04:25:08.613281250      34.811263021
Earth Penumbral   Jan 01 2024 03:50:10.574218750   Jan 01 2024 04:25:17.910156250      35.122265625
