  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:05:51.953125000       5.865885417
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:06:01.582031250       6.026367188
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:16:37.156250000      16.619270833
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:16:46.851562500      16.780859375
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:27:28.335937500      27.472265625
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:27:18.707031250      27.311783854
Earth Penumbral   Jan 01 2024 00:03:45.847656250   Jan 01 2024 00:38:13.207031250      34.455989583
Earth Umbral      Jan 01 2024 00:03:55.476562500   Jan 01 2024 00:38:03.511718750      34.133919271
Earth Umbral      Jan 01 2024 00:14:41.144531250   Jan 01 2024 00:48:52.367187500      34.187044271
Earth Penumbral   Jan 01 2024 00:14:31.515625000   Jan 01 2024 00:49:02.062500000      34.509114583
Earth Penumbral   Jan 01 2024 00:25:12.468750000   Jan 01 2024 00:59:43.281250000      34.513541667
Earth Umbral      Jan 01 2024 00:25:22.097656250   Jan 01 2024 00:59:33.652343750      34.192578125
Earth Penumbral   Jan 01 2024 00:35:59.730468750   Jan 01 2024 01:10:30.343750000      34.510221354
Earth Umbral      Jan 01 2024 00:36:09.425781250   Jan 01 2024 01:10:20.648437500      34.187044271
Earth Umbral      Jan 01 2024 00:47:09.238281250   Jan 01 2024 01:21:18.800781250      34.159375000
Earth Penumbral   Jan 01 2024 00:46:59.476562500   Jan 01 2024 01:21:28.496093750      34.483658854
Earth Umbral      Jan 01 2024 00:57:52.781250000   Jan 01 2024 01:32:01.214843750      34.140559896
Earth Penumbral   Jan 01 2024 00:57:43.152343750   Jan 01 2024 01:32:10.843750000      34.461523437
Earth Umbral      Jan 01 2024 01:08:19.855468750   Jan 01 2024 01:42:31.476562500      34.193684896
Earth Penumbral   Jan 01 2024 01:08:10.226562500   Jan 01 2024 01:42:41.171875000      34.515755208
Earth Umbral      Jan 01 2024 01:19:04.726562500   Jan 01 2024 01:53:16.679687500      34.199218750
Earth Penumbral   Jan 01 2024 01:18:55.031250000   Jan 01 2024 01:53:26.375000000      34.522395833
Earth Penumbral   Jan 01 2024 01:29:55.507812500   Jan 01 2024 02:04:22.468750000      34.449348958
Earth Umbral      Jan 01 2024 01:30:05.136718750   Jan 01 2024 02:04:12.839843750      34.128385417
Earth Umbral      Jan 01 2024 01:40:54.789062500   Jan 01 2024 02:15:02.824218750      34.133919271
Earth Penumbral   Jan 01 2024 01:40:45.093750000   Jan 01 2024 02:15:12.519531250      34.457096354
Earth Penumbral   Jan 01 2024 01:51:17.945312500   Jan 01 2024 02:25:48.492187500      34.509114583
Earth Umbral      Jan 01 2024 01:51:27.640625000   Jan 01 2024 02:25:38.863281250      34.187044271
Earth Penumbral   Jan 01 2024 02:01:49.269531250   Jan 01 2024 02:36:20.148437500      34.514648438
Earth Umbral      Jan 01 2024 02:01:58.898437500   Jan 01 2024 02:36:10.519531250      34.193684896
Earth Umbral      Jan 01 2024 02:12:55.789062500   Jan 01 2024 02:47:07.011718750      34.187044271
Earth Penumbral   Jan 01 2024 02:12:46.093750000   Jan 01 2024 02:47:16.707031250      34.510221354
Earth Penumbral   Jan 01 2024 02:23:58.855468750   Jan 01 2024 02:58:27.875000000      34.483658854
Earth Umbral      Jan 01 2024 02:24:08.550781250   Jan 01 2024 02:58:18.113281250      34.159375000
Earth Umbral      Jan 01 2024 02:34:46.914062500   Jan 01 2024 03:08:55.347656250      34.140559896
Earth Penumbral   Jan 01 2024 02:34:37.285156250   Jan 01 2024 03:09:04.976562500      34.461523437
Earth Umbral      Jan 01 2024 02:44:59.378906250   Jan 01 2024 03:19:11.000000000      34.193684896
Earth Penumbral   Jan 01 2024 02:44:49.750000000   Jan 01 2024 03:19:20.695312500      34.515755208
Earth Umbral      Jan 01 2024 02:55:44.183593750   Jan 01 2024 03:29:56.136718750      34.199218750
Earth Penumbral   Jan 01 2024 02:55:34.488281250   Jan 01 2024 03:30:05.832031250      34.522395833
Earth Penumbral   Jan 01 2024 03:06:49.574218750   Jan 01 2024 03:41:16.601562500      34.450455729
Earth Umbral      Jan 01 2024 03:06:59.203125000   Jan 01 2024 03:41:06.906250000      34.128385417
Earth Umbral      Jan 01 2024 03:17:54.035156250   Jan 01 2024 03:52:02.136718750      34.135026042
Earth Penumbral   Jan 01 2024 03:17:44.339843750   Jan 01 2024 03:52:11.832031250      34.458203125
Earth Umbral      Jan 01 2024 03:28:14.070312500   Jan 01 2024 04:02:25.292968750      34.187044271
Earth Penumbral   Jan 01 2024 03:28:04.375000000   Jan 01 2024 04:02:34.921875000      34.509114583
Earth Penumbral   Jan 01 2024 03:38:26.003906250   Jan 01 2024 04:12:56.882812500      34.514648438
Earth Umbral      Jan 01 2024 03:38:35.632812500   Jan 01 2024 04:12:47.253906250      34.193684896
Earth Penumbral   Jan 01 2024 03:49:32.457031250   Jan 01 2024 04:24:03.070312500      34.510221354
Earth Umbral      Jan 01 2024 03:49:42.152343750   Jan 01 2024 04:23:53.375000000      34.187044271
Earth Umbral      Jan 01 2024 04:01:07.863281250   Jan 01 2024 04:35:17.492187500      34.160481771
Earth Penumbral   Jan 01 2024 04:00:58.167968750   Jan 01 2024 04:35:27.187500000      34.483658854
Earth Umbral      Jan 01 2024 04:11:41.046875000   Jan 01 2024 04:45:49.480468750      34.140559896
Earth Penumbral   Jan 01 2024 04:11:31.351562500   Jan 01 2024 04:45:59.109375000      34.462630208
Earth Penumbral   Jan 01 2024 04:21:29.207031250   Jan 01 2024 04:56:00.152343750      34.515755208
Earth Umbral      Jan 01 2024 04:21:38.835937500   Jan 01 2024 04:55:50.523437500      34.194791667
Earth Penumbral   Jan 01 2024 04:32:13.945312500   Jan 01 2024 05:06:45.289062500      34.522395833
Earth Umbral      Jan 01 2024 04:32:23.574218750   Jan 01 2024 05:06:35.660156250      34.201432292
Earth Penumbral   Jan 01 2024 04:43:43.640625000   Jan 01 2024 05:18:10.667968750      34.450455729
Earth Umbral      Jan 01 2024 04:43:53.269531250   Jan 01 2024 05:18:01.039062500      34.129492187
Earth Penumbral   Jan 01 2024 04:54:43.652343750   Jan 01 2024 05:29:11.078125000      34.457096354
Earth Umbral      Jan 01 2024 04:54:53.281250000   Jan 01 2024 05:29:01.382812500      34.135026042
Earth Penumbral   Jan 01 2024 05:04:50.804687500   Jan 01 2024 05:39:21.417968750      34.510221354
Earth Umbral      Jan 01 2024 05:05:00.500000000   Jan 01 2024 05:39:11.722656250      34.187044271
Earth Penumbral   Jan 01 2024 05:15:02.804687500   Jan 01 2024 05:49:33.683593750      34.514648438
Earth Umbral      Jan 01 2024 05:15:12.433593750   Jan 01 2024 05:49:24.054687500      34.193684896
Earth Umbral      Jan 01 2024 05:26:28.515625000   Jan 01 2024 06:00:39.804687500      34.188151042
Earth Penumbral   Jan 01 2024 05:26:18.886718750   Jan 01 2024 06:00:49.500000000      34.510221354
Earth Umbral      Jan 01 2024 05:38:07.242187500   Jan 01 2024 06:12:16.871093750      34.160481771
Earth Penumbral   Jan 01 2024 05:37:57.546875000   Jan 01 2024 06:12:26.566406250      34.483658854
Earth Umbral      Jan 01 2024 05:48:35.179687500   Jan 01 2024 06:22:43.679687500      34.141666667
Earth Penumbral   Jan 01 2024 05:48:25.484375000   Jan 01 2024 06:22:53.308593750      34.463736979
Earth Penumbral   Jan 01 2024 05:58:08.796875000   Jan 01 2024 06:32:39.742187500      34.515755208
Earth Umbral      Jan 01 2024 05:58:18.425781250   Jan 01 2024 06:32:30.113281250      34.194791667
Earth Penumbral   Jan 01 2024 06:08:53.468750000   Jan 01 2024 06:43:24.812500000      34.522395833
Earth Umbral      Jan 01 2024 06:09:03.097656250   Jan 01 2024 06:43:15.183593750      34.201432292
Earth Penumbral   Jan 01 2024 06:20:37.773437500   Jan 01 2024 06:55:04.867187500      34.451562500
Earth Umbral      Jan 01 2024 06:20:47.402343750   Jan 01 2024 06:54:55.238281250      34.130598958
Earth Umbral      Jan 01 2024 06:31:52.593750000   Jan 01 2024 07:06:00.828125000      34.137239583
Earth Penumbral   Jan 01 2024 06:31:42.964843750   Jan 01 2024 07:06:10.457031250      34.458203125
Earth Umbral      Jan 01 2024 06:41:46.996093750   Jan 01 2024 07:15:58.285156250      34.188151042
Earth Penumbral   Jan 01 2024 06:41:37.367187500   Jan 01 2024 07:16:07.980468750      34.510221354
Earth Penumbral   Jan 01 2024 06:51:39.738281250   Jan 01 2024 07:26:10.617187500      34.514648438
Earth Umbral      Jan 01 2024 06:51:49.300781250   Jan 01 2024 07:26:00.988281250      34.194791667
Earth Umbral      Jan 01 2024 07:03:15.011718750   Jan 01 2024 07:37:26.367187500      34.189257813
Earth Penumbral   Jan 01 2024 07:03:05.316406250   Jan 01 2024 07:37:35.996093750      34.511328125
Earth Penumbral   Jan 01 2024 07:14:56.992187500   Jan 01 2024 07:49:26.078125000      34.484765625
Earth Umbral      Jan 01 2024 07:15:06.687500000   Jan 01 2024 07:49:16.382812500      34.161588542
Earth Umbral      Jan 01 2024 07:25:29.445312500   Jan 01 2024 07:59:37.945312500      34.141666667
Earth Penumbral   Jan 01 2024 07:25:19.750000000   Jan 01 2024 07:59:47.574218750      34.463736979
Earth Umbral      Jan 01 2024 07:34:58.082031250   Jan 01 2024 08:09:09.769531250      34.194791667
Earth Penumbral   Jan 01 2024 07:34:48.453125000   Jan 01 2024 08:09:19.464843750      34.516861979
Earth Penumbral   Jan 01 2024 07:45:33.058593750   Jan 01 2024 08:20:04.468750000      34.523502604
Earth Umbral      Jan 01 2024 07:45:42.753906250   Jan 01 2024 08:19:54.839843750      34.201432292
Earth Umbral      Jan 01 2024 07:57:41.667968750   Jan 01 2024 08:31:49.503906250      34.130598958
Earth Penumbral   Jan 01 2024 07:57:32.039062500   Jan 01 2024 08:31:59.132812500      34.451562500
Earth Umbral      Jan 01 2024 08:08:52.039062500   Jan 01 2024 08:43:00.273437500      34.137239583
Earth Penumbral   Jan 01 2024 08:08:42.410156250   Jan 01 2024 08:43:09.968750000      34.459309896
Earth Penumbral   Jan 01 2024 08:18:23.929687500   Jan 01 2024 08:52:54.609375000      34.511328125
Earth Umbral      Jan 01 2024 08:18:33.625000000   Jan 01 2024 08:52:44.980468750      34.189257813
Earth Penumbral   Jan 01 2024 08:28:16.671875000   Jan 01 2024 09:02:47.617187500      34.515755208
Earth Umbral      Jan 01 2024 08:28:26.300781250   Jan 01 2024 09:02:37.988281250      34.194791667
Earth Penumbral   Jan 01 2024 08:39:51.878906250   Jan 01 2024 09:14:22.625000000      34.512434896
Earth Umbral      Jan 01 2024 08:40:01.574218750   Jan 01 2024 09:14:12.929687500      34.189257813
Earth Umbral      Jan 01 2024 08:52:06.199218750   Jan 01 2024 09:26:15.894531250      34.161588542
Earth Penumbral   Jan 01 2024 08:51:56.503906250   Jan 01 2024 09:26:25.589843750      34.484765625
Earth Umbral      Jan 01 2024 09:02:23.710937500   Jan 01 2024 09:36:32.277343750      34.142773437
Earth Penumbral   Jan 01 2024 09:02:14.082031250   Jan 01 2024 09:36:41.906250000      34.463736979
Earth Umbral      Jan 01 2024 09:11:37.738281250   Jan 01 2024 09:45:49.492187500      34.195898437
Earth Penumbral   Jan 01 2024 09:11:28.109375000   Jan 01 2024 09:45:59.187500000      34.517968750
Earth Umbral      Jan 01 2024 09:22:22.343750000   Jan 01 2024 09:56:34.496093750      34.202539063
Earth Penumbral   Jan 01 2024 09:22:12.714843750   Jan 01 2024 09:56:44.125000000      34.523502604
Earth Umbral      Jan 01 2024 09:34:35.867187500   Jan 01 2024 10:08:43.769531250      34.131705729
Earth Penumbral   Jan 01 2024 09:34:26.238281250   Jan 01 2024 10:08:53.398437500      34.452669271
Earth Penumbral   Jan 01 2024 09:45:41.789062500   Jan 01 2024 10:20:09.414062500      34.460416667
Earth Umbral      Jan 01 2024 09:45:51.484375000   Jan 01 2024 10:19:59.718750000      34.137239583
Earth Umbral      Jan 01 2024 09:55:20.187500000   Jan 01 2024 10:29:31.542968750      34.189257813
Earth Penumbral   Jan 01 2024 09:55:10.492187500   Jan 01 2024 10:29:41.238281250      34.512434896
Earth Penumbral   Jan 01 2024 10:04:53.539062500   Jan 01 2024 10:39:24.550781250      34.516861979
Earth Umbral      Jan 01 2024 10:05:03.167968750   Jan 01 2024 10:39:14.921875000      34.195898437
Earth Umbral      Jan 01 2024 10:16:48.003906250   Jan 01 2024 10:50:59.425781250      34.190364583
Earth Penumbral   Jan 01 2024 10:16:38.375000000   Jan 01 2024 10:51:09.121093750      34.512434896
Earth Umbral      Jan 01 2024 10:29:05.644531250   Jan 01 2024 11:03:15.339843750      34.161588542
Earth Penumbral   Jan 01 2024 10:28:55.949218750   Jan 01 2024 11:03:25.101562500      34.485872396
Earth Umbral      Jan 01 2024 10:39:17.910156250   Jan 01 2024 11:13:26.476562500      34.142773437
Earth Penumbral   Jan 01 2024 10:39:08.281250000   Jan 01 2024 11:13:36.171875000      34.464843750
Earth Umbral      Jan 01 2024 10:48:17.328125000   Jan 01 2024 11:22:29.082031250      34.195898437
Earth Penumbral   Jan 01 2024 10:48:07.699218750   Jan 01 2024 11:22:38.777343750      34.517968750
Earth Umbral      Jan 01 2024 10:59:01.867187500   Jan 01 2024 11:33:14.019531250      34.202539063
Earth Penumbral   Jan 01 2024 10:58:52.238281250   Jan 01 2024 11:33:23.648437500      34.523502604
Earth Umbral      Jan 01 2024 11:11:30.000000000   Jan 01 2024 11:45:37.902343750      34.131705729
Earth Penumbral   Jan 01 2024 11:11:20.371093750   Jan 01 2024 11:45:47.597656250      34.453776042
Earth Umbral      Jan 01 2024 11:22:50.730468750   Jan 01 2024 11:56:59.031250000      34.138346354
Earth Penumbral   Jan 01 2024 11:22:41.101562500   Jan 01 2024 11:57:08.726562500      34.460416667
