Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_5                   Jan 01 2024 03:37:59.574218750   Jan 01 2024 03:41:02.855468750       3.054687500
PuntaArenas --> Walker_4                   Jan 01 2024 03:47:05.300781250   Jan 01 2024 03:51:48.058593750       4.712630208
PuntaArenas --> Walker_3                   Jan 01 2024 03:56:08.105468750   Jan 01 2024 04:01:47.507812500       5.656705729
PuntaArenas --> Walker_2                   Jan 01 2024 04:04:54.507812500   Jan 01 2024 04:10:56.554687500       6.034114583
PuntaArenas --> Walker_1                   Jan 01 2024 04:13:46.089843750   Jan 01 2024 04:20:15.761718750       6.494531250
PuntaArenas --> Walker_10                  Jan 01 2024 04:23:16.519531250   Jan 01 2024 04:30:25.570312500       7.150846354
PuntaArenas --> Walker_9                   Jan 01 2024 04:33:10.921875000   Jan 01 2024 04:40:47.398437500       7.607942708
PuntaArenas --> Walker_8                   Jan 01 2024 04:42:34.179687500   Jan 01 2024 04:50:26.593750000       7.873567708
PuntaArenas --> Walker_7                   Jan 01 2024 04:51:20.050781250   Jan 01 2024 04:59:27.140625000       8.118164062
PuntaArenas --> Walker_6                   Jan 01 2024 05:00:22.855468750   Jan 01 2024 05:08:39.308593750       8.274218750
PuntaArenas --> Walker_5                   Jan 01 2024 05:10:13.671875000   Jan 01 2024 05:18:39.886718750       8.436914062
PuntaArenas --> Walker_4                   Jan 01 2024 05:20:20.757812500   Jan 01 2024 05:29:03.640625000       8.714713542
PuntaArenas --> Walker_3                   Jan 01 2024 05:29:56.832031250   Jan 01 2024 05:38:44.164062500       8.788867187
PuntaArenas --> Walker_2                   Jan 01 2024 05:38:56.914062500   Jan 01 2024 05:47:28.308593750       8.523242187
PuntaArenas --> Walker_1                   Jan 01 2024 05:48:07.886718750   Jan 01 2024 05:56:26.265625000       8.306315104
PuntaArenas --> Walker_10                  Jan 01 2024 05:58:15.437500000   Jan 01 2024 06:06:29.367187500       8.232161458
PuntaArenas --> Walker_9                   Jan 01 2024 06:08:52.339843750   Jan 01 2024 06:16:50.066406250       7.962109375
PuntaArenas --> Walker_8                   Jan 01 2024 06:18:44.152343750   Jan 01 2024 06:26:15.316406250       7.519401042
PuntaArenas --> Walker_7                   Jan 01 2024 06:27:44.566406250   Jan 01 2024 06:34:49.101562500       7.075585937
PuntaArenas --> Walker_6                   Jan 01 2024 06:37:09.750000000   Jan 01 2024 06:43:37.296875000       6.459114583
PuntaArenas --> Walker_5                   Jan 01 2024 06:47:45.390625000   Jan 01 2024 06:53:24.328125000       5.648958333
PuntaArenas --> Walker_4                   Jan 01 2024 06:58:47.460937500   Jan 01 2024 07:03:35.066406250       4.793424479
PuntaArenas --> Walker_3                   Jan 01 2024 07:09:16.128906250   Jan 01 2024 07:12:38.667968750       3.375651042
PuntaArenas --> Walker_3                   Jan 01 2024 17:11:33.214843750   Jan 01 2024 17:14:47.585937500       3.239518229
PuntaArenas --> Walker_2                   Jan 01 2024 17:18:29.250000000   Jan 01 2024 17:22:37.410156250       4.136002604
PuntaArenas --> Walker_1                   Jan 01 2024 17:26:10.507812500   Jan 01 2024 17:31:20.027343750       5.158658854
PuntaArenas --> Walker_10                  Jan 01 2024 17:36:45.882812500   Jan 01 2024 17:42:59.816406250       6.232226563
PuntaArenas --> Walker_9                   Jan 01 2024 17:48:24.210937500   Jan 01 2024 17:55:27.019531250       7.046809896
PuntaArenas --> Walker_8                   Jan 01 2024 17:57:46.207031250   Jan 01 2024 18:05:22.550781250       7.605729167
PuntaArenas --> Walker_7                   Jan 01 2024 18:04:54.593750000   Jan 01 2024 18:12:46.011718750       7.856966146
PuntaArenas --> Walker_6                   Jan 01 2024 18:12:58.031250000   Jan 01 2024 18:20:57.085937500       7.984244792
PuntaArenas --> Walker_5                   Jan 01 2024 18:23:51.203125000   Jan 01 2024 18:32:12.437500000       8.353906250
PuntaArenas --> Walker_4                   Jan 01 2024 18:35:45.468750000   Jan 01 2024 18:44:29.746093750       8.737955729
PuntaArenas --> Walker_3                   Jan 01 2024 18:45:25.394531250   Jan 01 2024 18:54:08.875000000       8.724674479
PuntaArenas --> Walker_2                   Jan 01 2024 18:52:35.707031250   Jan 01 2024 19:01:07.632812500       8.532096354
PuntaArenas --> Walker_1                   Jan 01 2024 19:00:34.960937500   Jan 01 2024 19:09:03.433593750       8.474544271
PuntaArenas --> Walker_10                  Jan 01 2024 19:11:44.734375000   Jan 01 2024 19:20:07.296875000       8.376041667
PuntaArenas --> Walker_9                   Jan 01 2024 19:23:58.125000000   Jan 01 2024 19:32:06.675781250       8.142513021
PuntaArenas --> Walker_8                   Jan 01 2024 19:33:35.195312500   Jan 01 2024 19:41:32.125000000       7.948828125
PuntaArenas --> Walker_7                   Jan 01 2024 19:40:40.792968750   Jan 01 2024 19:48:21.984375000       7.686523438
PuntaArenas --> Walker_6                   Jan 01 2024 19:48:47.683593750   Jan 01 2024 19:56:02.046875000       7.239388021
PuntaArenas --> Walker_5                   Jan 01 2024 20:00:04.031250000   Jan 01 2024 20:06:52.828125000       6.813281250
PuntaArenas --> Walker_4                   Jan 01 2024 20:12:27.050781250   Jan 01 2024 20:18:47.957031250       6.348437500
PuntaArenas --> Walker_3                   Jan 01 2024 20:22:22.914062500   Jan 01 2024 20:27:57.203125000       5.571484375
PuntaArenas --> Walker_2                   Jan 01 2024 20:29:36.945312500   Jan 01 2024 20:34:17.046875000       4.668359375
PuntaArenas --> Walker_1                   Jan 01 2024 20:37:48.417968750   Jan 01 2024 20:41:33.003906250       3.743098958
PuntaArenas --> Walker_10                  Jan 01 2024 20:49:53.839843750   Jan 01 2024 20:51:40.089843750       1.770833333
PuntaArenas --> Walker_7                   Jan 02 2024 03:31:02.121093750   Jan 02 2024 03:32:08.660156250       1.108984375
PuntaArenas --> Walker_6                   Jan 02 2024 03:37:22.496093750   Jan 02 2024 03:40:13.292968750       2.846614583
PuntaArenas --> Walker_5                   Jan 02 2024 03:48:10.953125000   Jan 02 2024 03:52:39.500000000       4.475781250
PuntaArenas --> Walker_4                   Jan 02 2024 04:00:33.906250000   Jan 02 2024 04:06:29.843750000       5.932291667
PuntaArenas --> Walker_3                   Jan 02 2024 04:09:46.140625000   Jan 02 2024 04:16:24.179687500       6.633984375
PuntaArenas --> Walker_2                   Jan 02 2024 04:15:32.914062500   Jan 02 2024 04:22:15.269531250       6.705924479
PuntaArenas --> Walker_1                   Jan 02 2024 04:22:32.335937500   Jan 02 2024 04:29:30.496093750       6.969335938
PuntaArenas --> Walker_10                  Jan 02 2024 04:34:01.765625000   Jan 02 2024 04:41:38.375000000       7.610156250
PuntaArenas --> Walker_9                   Jan 02 2024 04:47:09.410156250   Jan 02 2024 04:55:13.312500000       8.065039063
PuntaArenas --> Walker_8                   Jan 02 2024 04:56:35.257812500   Jan 02 2024 05:04:49.453125000       8.236588542
PuntaArenas --> Walker_7                   Jan 02 2024 05:02:14.527343750   Jan 02 2024 05:10:35.164062500       8.343945313
PuntaArenas --> Walker_6                   Jan 02 2024 05:09:22.847656250   Jan 02 2024 05:17:47.203125000       8.405924479
PuntaArenas --> Walker_5                   Jan 02 2024 05:21:13.394531250   Jan 02 2024 05:29:44.523437500       8.518815104
PuntaArenas --> Walker_4                   Jan 02 2024 05:34:36.843750000   Jan 02 2024 05:43:19.328125000       8.708072917
PuntaArenas --> Walker_3                   Jan 02 2024 05:44:18.097656250   Jan 02 2024 05:52:59.054687500       8.682617188
PuntaArenas --> Walker_2                   Jan 02 2024 05:50:08.191406250   Jan 02 2024 05:58:30.687500000       8.374934896
PuntaArenas --> Walker_1                   Jan 02 2024 05:57:20.496093750   Jan 02 2024 06:05:28.183593750       8.128125000
PuntaArenas --> Walker_10                  Jan 02 2024 06:09:32.492187500   Jan 02 2024 06:17:27.031250000       7.908984375
PuntaArenas --> Walker_9                   Jan 02 2024 06:23:33.394531250   Jan 02 2024 06:30:55.195312500       7.363346354
PuntaArenas --> Walker_8                   Jan 02 2024 06:33:30.121093750   Jan 02 2024 06:40:15.132812500       6.750195312
PuntaArenas --> Walker_7                   Jan 02 2024 06:39:15.632812500   Jan 02 2024 06:45:37.535156250       6.365039063
PuntaArenas --> Walker_6                   Jan 02 2024 06:46:42.679687500   Jan 02 2024 06:52:26.199218750       5.725325521
PuntaArenas --> Walker_5                   Jan 02 2024 06:59:34.054687500   Jan 02 2024 07:03:57.355468750       4.388346354
PuntaArenas --> Walker_4                   Jan 02 2024 07:14:39.171875000   Jan 02 2024 07:16:38.105468750       1.982226562
PuntaArenas --> Walker_4                   Jan 02 2024 17:15:44.671875000   Jan 02 2024 17:19:57.480468750       4.213476563
PuntaArenas --> Walker_3                   Jan 02 2024 17:24:57.902343750   Jan 02 2024 17:30:18.445312500       5.342382813
PuntaArenas --> Walker_2                   Jan 02 2024 17:29:01.878906250   Jan 02 2024 17:34:31.121093750       5.487369792
PuntaArenas --> Walker_1                   Jan 02 2024 17:34:55.757812500   Jan 02 2024 17:40:57.406250000       6.027473958
PuntaArenas --> Walker_10                  Jan 02 2024 17:47:33.652343750   Jan 02 2024 17:54:32.277343750       6.977083333
PuntaArenas --> Walker_9                   Jan 02 2024 18:02:27.414062500   Jan 02 2024 18:10:11.062500000       7.727473958
PuntaArenas --> Walker_8                   Jan 02 2024 18:11:51.734375000   Jan 02 2024 18:19:59.554687500       8.130338542
PuntaArenas --> Walker_7                   Jan 02 2024 18:15:51.660156250   Jan 02 2024 18:24:03.597656250       8.198958333
PuntaArenas --> Walker_6                   Jan 02 2024 18:21:59.085937500   Jan 02 2024 18:30:11.488281250       8.206705729
PuntaArenas --> Walker_5                   Jan 02 2024 18:34:51.191406250   Jan 02 2024 18:43:22.187500000       8.516601562
PuntaArenas --> Walker_4                   Jan 02 2024 18:50:00.160156250   Jan 02 2024 18:58:47.957031250       8.796614583
PuntaArenas --> Walker_3                   Jan 02 2024 18:59:43.074218750   Jan 02 2024 19:08:24.097656250       8.683723958
PuntaArenas --> Walker_2                   Jan 02 2024 19:03:42.203125000   Jan 02 2024 19:12:10.011718750       8.463476563
PuntaArenas --> Walker_1                   Jan 02 2024 19:09:42.125000000   Jan 02 2024 19:18:04.886718750       8.379361979
PuntaArenas --> Walker_10                  Jan 02 2024 19:22:52.691406250   Jan 02 2024 19:31:02.570312500       8.164648438
PuntaArenas --> Walker_9                   Jan 02 2024 19:38:23.175781250   Jan 02 2024 19:46:07.023437500       7.730794271
PuntaArenas --> Walker_8                   Jan 02 2024 19:48:00.777343750   Jan 02 2024 19:55:27.359375000       7.443033854
PuntaArenas --> Walker_7                   Jan 02 2024 19:51:53.000000000   Jan 02 2024 19:59:07.761718750       7.246028646
PuntaArenas --> Walker_6                   Jan 02 2024 19:58:01.421875000   Jan 02 2024 20:04:50.351562500       6.815494792
PuntaArenas --> Walker_5                   Jan 02 2024 20:11:20.023437500   Jan 02 2024 20:17:30.171875000       6.169140625
PuntaArenas --> Walker_4                   Jan 02 2024 20:27:05.050781250   Jan 02 2024 20:32:21.542968750       5.274869792
PuntaArenas --> Walker_3                   Jan 02 2024 20:37:09.945312500   Jan 02 2024 20:41:21.691406250       4.195768229
PuntaArenas --> Walker_2                   Jan 02 2024 20:41:12.925781250   Jan 02 2024 20:44:33.472656250       3.342447917
PuntaArenas --> Walker_1                   Jan 02 2024 20:47:31.042968750   Jan 02 2024 20:49:45.582031250       2.242317708
PuntaArenas --> Walker_9                   Jan 03 2024 03:30:04.125000000   Jan 03 2024 03:30:43.636718750       0.658528646
PuntaArenas --> Walker_8                   Jan 03 2024 03:38:14.070312500   Jan 03 2024 03:41:20.804687500       3.112239583
PuntaArenas --> Walker_7                   Jan 03 2024 03:40:43.550781250   Jan 03 2024 03:44:15.253906250       3.528385417
PuntaArenas --> Walker_6                   Jan 03 2024 03:45:42.378906250   Jan 03 2024 03:49:49.210937500       4.113867188
PuntaArenas --> Walker_5                   Jan 03 2024 03:58:35.878906250   Jan 03 2024 04:04:04.457031250       5.476302083
PuntaArenas --> Walker_4                   Jan 03 2024 04:14:13.535156250   Jan 03 2024 04:21:03.726562500       6.836523438
PuntaArenas --> Walker_3                   Jan 03 2024 04:23:32.742187500   Jan 03 2024 04:30:55.472656250       7.378841146
PuntaArenas --> Walker_2                   Jan 03 2024 04:26:16.101562500   Jan 03 2024 04:33:30.996093750       7.248242187
PuntaArenas --> Walker_1                   Jan 03 2024 04:31:21.503906250   Jan 03 2024 04:38:43.570312500       7.367773438
PuntaArenas --> Walker_10                  Jan 03 2024 04:44:50.863281250   Jan 03 2024 04:52:49.187500000       7.972070312
PuntaArenas --> Walker_9                   Jan 03 2024 05:01:13.808593750   Jan 03 2024 05:09:36.437500000       8.377148438
PuntaArenas --> Walker_8                   Jan 03 2024 05:10:42.046875000   Jan 03 2024 05:19:09.656250000       8.460156250
PuntaArenas --> Walker_7                   Jan 03 2024 05:13:12.457031250   Jan 03 2024 05:21:41.660156250       8.486718750
PuntaArenas --> Walker_6                   Jan 03 2024 05:18:25.097656250   Jan 03 2024 05:26:54.035156250       8.482291667
PuntaArenas --> Walker_5                   Jan 03 2024 05:32:16.570312500   Jan 03 2024 05:40:47.632812500       8.517708333
PuntaArenas --> Walker_4                   Jan 03 2024 05:48:58.773437500   Jan 03 2024 05:57:32.292968750       8.558658854
PuntaArenas --> Walker_3                   Jan 03 2024 05:58:45.605468750   Jan 03 2024 06:07:10.957031250       8.422526042
PuntaArenas --> Walker_2                   Jan 03 2024 06:01:23.320312500   Jan 03 2024 06:09:31.074218750       8.129231771
PuntaArenas --> Walker_1                   Jan 03 2024 06:06:35.761718750   Jan 03 2024 06:14:28.640625000       7.881315104
PuntaArenas --> Walker_10                  Jan 03 2024 06:20:54.261718750   Jan 03 2024 06:28:21.972656250       7.461848958
PuntaArenas --> Walker_9                   Jan 03 2024 06:38:24.210937500   Jan 03 2024 06:44:53.949218750       6.495638021
PuntaArenas --> Walker_8                   Jan 03 2024 06:48:28.242187500   Jan 03 2024 06:54:06.183593750       5.632356771
PuntaArenas --> Walker_7                   Jan 03 2024 06:50:55.265625000   Jan 03 2024 06:56:19.460937500       5.403255208
PuntaArenas --> Walker_6                   Jan 03 2024 06:56:23.246093750   Jan 03 2024 07:01:08.859375000       4.760221354
PuntaArenas --> Walker_5                   Jan 03 2024 07:11:52.070312500   Jan 03 2024 07:14:03.289062500       2.186979167
PuntaArenas --> Walker_5                   Jan 03 2024 17:12:17.128906250   Jan 03 2024 17:15:16.824218750       2.994921875
PuntaArenas --> Walker_4                   Jan 03 2024 17:29:19.984375000   Jan 03 2024 17:35:14.527343750       5.909049479
