Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_4                        Jan 01 2024 04:53:09.023437500   Jan 01 2024 04:54:24.726562500       1.261718750
Cuiaba --> Walker_3                        Jan 01 2024 05:01:33.246093750   Jan 01 2024 05:04:42.105468750       3.147656250
Cuiaba --> Walker_2                        Jan 01 2024 05:10:05.902343750   Jan 01 2024 05:13:50.953125000       3.750846354
Cuiaba --> Walker_1                        Jan 01 2024 05:18:51.773437500   Jan 01 2024 05:23:01.328125000       4.159244792
Cuiaba --> Walker_10                       Jan 01 2024 05:28:14.566406250   Jan 01 2024 05:32:53.804687500       4.653971354
Cuiaba --> Walker_9                        Jan 01 2024 05:38:01.597656250   Jan 01 2024 05:42:56.175781250       4.909635417
Cuiaba --> Walker_8                        Jan 01 2024 05:47:24.988281250   Jan 01 2024 05:52:15.847656250       4.847656250
Cuiaba --> Walker_7                        Jan 01 2024 05:56:16.171875000   Jan 01 2024 06:00:57.734375000       4.692708333
Cuiaba --> Walker_6                        Jan 01 2024 06:05:24.820312500   Jan 01 2024 06:09:48.652343750       4.397200521
Cuiaba --> Walker_5                        Jan 01 2024 06:15:22.875000000   Jan 01 2024 06:19:15.894531250       3.883658854
Cuiaba --> Walker_4                        Jan 01 2024 06:25:41.117187500   Jan 01 2024 06:28:55.953125000       3.247265625
Cuiaba --> Walker_3                        Jan 01 2024 06:35:40.500000000   Jan 01 2024 06:37:48.332031250       2.130533854
Cuiaba --> Walker_6                        Jan 01 2024 14:03:04.761718750   Jan 01 2024 14:04:04.593750000       0.997200521
Cuiaba --> Walker_5                        Jan 01 2024 14:12:17.261718750   Jan 01 2024 14:15:13.636718750       2.939583333
Cuiaba --> Walker_4                        Jan 01 2024 14:22:31.984375000   Jan 01 2024 14:26:34.433593750       4.040820313
Cuiaba --> Walker_3                        Jan 01 2024 14:31:44.816406250   Jan 01 2024 14:36:12.367187500       4.459179687
Cuiaba --> Walker_2                        Jan 01 2024 14:39:36.566406250   Jan 01 2024 14:44:12.750000000       4.603059896
Cuiaba --> Walker_1                        Jan 01 2024 14:47:57.335937500   Jan 01 2024 14:52:44.144531250       4.780143229
Cuiaba --> Walker_10                       Jan 01 2024 14:58:09.070312500   Jan 01 2024 15:02:58.800781250       4.828841146
Cuiaba --> Walker_9                        Jan 01 2024 15:09:01.777343750   Jan 01 2024 15:13:42.941406250       4.686067708
Cuiaba --> Walker_8                        Jan 01 2024 15:18:30.414062500   Jan 01 2024 15:22:55.375000000       4.416015625
Cuiaba --> Walker_7                        Jan 01 2024 15:26:39.097656250   Jan 01 2024 15:30:30.457031250       3.855989583
Cuiaba --> Walker_6                        Jan 01 2024 15:35:29.949218750   Jan 01 2024 15:38:24.199218750       2.904166667
Cuiaba --> Walker_5                        Jan 01 2024 15:46:32.417968750   Jan 01 2024 15:47:44.335937500       1.198632813
Cuiaba --> Walker_6                        Jan 02 2024 04:31:12.164062500   Jan 02 2024 04:33:11.828125000       1.994401042
Cuiaba --> Walker_5                        Jan 02 2024 04:41:26.820312500   Jan 02 2024 04:44:52.812500000       3.433203125
Cuiaba --> Walker_4                        Jan 02 2024 04:53:05.812500000   Jan 02 2024 04:57:27.187500000       4.356250000
Cuiaba --> Walker_3                        Jan 02 2024 05:02:17.382812500   Jan 02 2024 05:07:03.527343750       4.769075521
Cuiaba --> Walker_2                        Jan 02 2024 05:08:51.437500000   Jan 02 2024 05:13:35.722656250       4.738085938
Cuiaba --> Walker_1                        Jan 02 2024 05:16:24.460937500   Jan 02 2024 05:21:05.890625000       4.690494792
Cuiaba --> Walker_10                       Jan 02 2024 05:27:25.800781250   Jan 02 2024 05:32:11.148437500       4.755794271
Cuiaba --> Walker_9                        Jan 02 2024 05:39:49.750000000   Jan 02 2024 05:44:21.550781250       4.530013021
Cuiaba --> Walker_8                        Jan 02 2024 05:49:27.949218750   Jan 02 2024 05:53:29.003906250       4.017578125
Cuiaba --> Walker_7                        Jan 02 2024 05:56:09.906250000   Jan 02 2024 05:59:42.937500000       3.550520833
Cuiaba --> Walker_6                        Jan 02 2024 06:04:06.902343750   Jan 02 2024 06:06:55.109375000       2.803450521
Cuiaba --> Walker_9                        Jan 02 2024 13:38:28.925781250   Jan 02 2024 13:40:05.148437500       1.603710938
Cuiaba --> Walker_8                        Jan 02 2024 13:47:08.023437500   Jan 02 2024 13:50:13.960937500       3.098958333
Cuiaba --> Walker_7                        Jan 02 2024 13:52:38.660156250   Jan 02 2024 13:56:10.695312500       3.533919271
Cuiaba --> Walker_6                        Jan 02 2024 13:59:34.031250000   Jan 02 2024 14:03:24.593750000       3.842708333
Cuiaba --> Walker_5                        Jan 02 2024 14:10:49.183593750   Jan 02 2024 14:15:16.203125000       4.450325521
Cuiaba --> Walker_4                        Jan 02 2024 14:23:42.152343750   Jan 02 2024 14:28:36.863281250       4.911848958
