Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_10                     Jan 01 2024 03:59:03.285156250   Jan 01 2024 03:59:25.000000000       0.361914063
Amazonas --> Walker_9                      Jan 01 2024 04:08:02.171875000   Jan 01 2024 04:10:06.949218750       2.079622396
Amazonas --> Walker_8                      Jan 01 2024 04:17:00.062500000   Jan 01 2024 04:19:45.812500000       2.762500000
Amazonas --> Walker_7                      Jan 01 2024 04:25:13.394531250   Jan 01 2024 04:28:56.519531250       3.718750000
Amazonas --> Walker_6                      Jan 01 2024 04:34:20.183593750   Jan 01 2024 04:38:17.917968750       3.962239583
Amazonas --> Walker_5                      Jan 01 2024 04:44:27.535156250   Jan 01 2024 04:48:37.089843750       4.159244792
Amazonas --> Walker_4                      Jan 01 2024 04:54:32.562500000   Jan 01 2024 04:58:59.250000000       4.444791667
Amazonas --> Walker_3                      Jan 01 2024 05:05:37.355468750   Jan 01 2024 05:07:10.191406250       1.547265625
Amazonas --> Walker_3                      Jan 01 2024 05:07:58.070312500   Jan 01 2024 05:08:48.339843750       0.837825521
Amazonas --> Walker_2                      Jan 01 2024 05:15:17.878906250   Jan 01 2024 05:15:55.199218750       0.622005208
Amazonas --> Walker_2                      Jan 01 2024 05:17:20.332031250   Jan 01 2024 05:17:51.941406250       0.526822917
Amazonas --> Walker_3                      Jan 01 2024 14:50:21.105468750   Jan 01 2024 14:51:56.730468750       1.593750000
Amazonas --> Walker_2                      Jan 01 2024 14:58:59.738281250   Jan 01 2024 15:01:01.527343750       2.029817708
Amazonas --> Walker_2                      Jan 01 2024 15:01:24.171875000   Jan 01 2024 15:02:19.289062500       0.918619792
Amazonas --> Walker_1                      Jan 01 2024 15:08:12.304687500   Jan 01 2024 15:11:27.605468750       3.255013021
Amazonas --> Walker_10                     Jan 01 2024 15:18:24.968750000   Jan 01 2024 15:21:58.199218750       3.553841146
Amazonas --> Walker_9                      Jan 01 2024 15:28:58.816406250   Jan 01 2024 15:32:45.527343750       3.778515625
Amazonas --> Walker_8                      Jan 01 2024 15:38:53.351562500   Jan 01 2024 15:42:15.292968750       3.365690104
Amazonas --> Walker_7                      Jan 01 2024 15:47:31.984375000   Jan 01 2024 15:50:10.695312500       2.645182292
Amazonas --> Walker_6                      Jan 01 2024 15:56:24.960937500   Jan 01 2024 15:58:29.207031250       2.070768229
Amazonas --> Walker_5                      Jan 01 2024 16:07:05.847656250   Jan 01 2024 16:08:47.781250000       1.698893229
Amazonas --> Walker_5                      Jan 02 2024 03:36:08.585937500   Jan 02 2024 03:36:46.171875000       0.626432292
Amazonas --> Walker_4                      Jan 02 2024 03:47:03.750000000   Jan 02 2024 03:49:29.312500000       2.426041667
Amazonas --> Walker_3                      Jan 02 2024 03:56:07.617187500   Jan 02 2024 03:59:09.437500000       3.030338542
Amazonas --> Walker_2                      Jan 02 2024 04:02:20.886718750   Jan 02 2024 04:06:10.054687500       3.819466146
Amazonas --> Walker_1                      Jan 02 2024 04:10:06.593750000   Jan 02 2024 04:14:03.066406250       3.941210938
Amazonas --> Walker_10                     Jan 02 2024 04:21:35.160156250   Jan 02 2024 04:25:46.574218750       4.190234375
Amazonas --> Walker_9                      Jan 02 2024 04:33:57.781250000   Jan 02 2024 04:34:12.988281250       0.253450521
Amazonas --> Walker_9                      Jan 02 2024 04:34:27.796875000   Jan 02 2024 04:38:33.035156250       4.087304687
