  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:02.687500000       1.044791667
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:10.988281250       1.183138021
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:10:21.097656250      10.351627604
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:10:12.796875000      10.213281250
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:19:30.410156250      19.506835938
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:19:22.109375000      19.368489583
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:28:29.031250000      28.483854167
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:28:37.265625000      28.621093750
Earth Umbral      Jan 01 2024 00:01:28.054687500   Jan 01 2024 00:37:38.875000000      36.180338542
Earth Penumbral   Jan 01 2024 00:01:19.820312500   Jan 01 2024 00:37:47.175781250      36.455924479
Earth Penumbral   Jan 01 2024 00:10:29.000000000   Jan 01 2024 00:46:58.480468750      36.491341146
Earth Umbral      Jan 01 2024 00:10:37.300781250   Jan 01 2024 00:46:50.246093750      36.215755208
Earth Penumbral   Jan 01 2024 00:19:35.457031250   Jan 01 2024 00:56:04.738281250      36.488020833
Earth Umbral      Jan 01 2024 00:19:43.691406250   Jan 01 2024 00:55:56.437500000      36.212434896
Earth Umbral      Jan 01 2024 00:28:52.074218750   Jan 01 2024 01:05:04.289062500      36.203580729
Earth Penumbral   Jan 01 2024 00:28:43.839843750   Jan 01 2024 01:05:12.589843750      36.479166667
Earth Penumbral   Jan 01 2024 00:37:59.992187500   Jan 01 2024 01:14:28.144531250      36.469205729
Earth Umbral      Jan 01 2024 00:38:08.292968750   Jan 01 2024 01:14:19.843750000      36.192513021
Earth Umbral      Jan 01 2024 00:47:20.195312500   Jan 01 2024 01:23:30.882812500      36.178125000
Earth Penumbral   Jan 01 2024 00:47:11.960937500   Jan 01 2024 01:23:39.183593750      36.453710937
Earth Umbral      Jan 01 2024 00:56:19.613281250   Jan 01 2024 01:32:32.093750000      36.208007812
Earth Penumbral   Jan 01 2024 00:56:11.312500000   Jan 01 2024 01:32:40.394531250      36.484700521
Earth Umbral      Jan 01 2024 01:05:21.886718750   Jan 01 2024 01:41:37.023437500      36.252278646
Earth Penumbral   Jan 01 2024 01:05:13.585937500   Jan 01 2024 01:41:45.324218750      36.528971354
Earth Penumbral   Jan 01 2024 01:14:29.738281250   Jan 01 2024 01:50:59.683593750      36.499088542
Earth Umbral      Jan 01 2024 01:14:38.039062500   Jan 01 2024 01:50:51.382812500      36.222395833
Earth Umbral      Jan 01 2024 01:23:56.648437500   Jan 01 2024 02:00:06.671875000      36.167057292
Earth Penumbral   Jan 01 2024 01:23:48.414062500   Jan 01 2024 02:00:14.972656250      36.442643229
Earth Penumbral   Jan 01 2024 01:32:57.527343750   Jan 01 2024 02:09:24.949218750      36.457031250
Earth Umbral      Jan 01 2024 01:33:05.828125000   Jan 01 2024 02:09:16.714843750      36.181445313
Earth Penumbral   Jan 01 2024 01:41:58.472656250   Jan 01 2024 02:18:27.953125000      36.491341146
Earth Umbral      Jan 01 2024 01:42:06.707031250   Jan 01 2024 02:18:19.718750000      36.216861979
Earth Penumbral   Jan 01 2024 01:50:59.683593750   Jan 01 2024 02:27:28.964843750      36.488020833
Earth Umbral      Jan 01 2024 01:51:07.917968750   Jan 01 2024 02:27:20.730468750      36.213541667
Earth Umbral      Jan 01 2024 02:00:21.347656250   Jan 01 2024 02:36:33.628906250      36.204687500
Earth Penumbral   Jan 01 2024 02:00:13.113281250   Jan 01 2024 02:36:41.863281250      36.479166667
Earth Umbral      Jan 01 2024 02:09:45.933593750   Jan 01 2024 02:45:57.550781250      36.193619792
Earth Penumbral   Jan 01 2024 02:09:37.632812500   Jan 01 2024 02:46:05.851562500      36.470312500
Earth Penumbral   Jan 01 2024 02:18:49.601562500   Jan 01 2024 02:55:16.890625000      36.454817708
Earth Umbral      Jan 01 2024 02:18:57.902343750   Jan 01 2024 02:55:08.589843750      36.178125000
Earth Penumbral   Jan 01 2024 02:27:40.652343750   Jan 01 2024 03:04:09.734375000      36.484700521
Earth Umbral      Jan 01 2024 02:27:48.886718750   Jan 01 2024 03:04:01.500000000      36.210221354
Earth Penumbral   Jan 01 2024 02:36:37.746093750   Jan 01 2024 03:13:09.550781250      36.530078125
Earth Umbral      Jan 01 2024 02:36:45.980468750   Jan 01 2024 03:13:01.250000000      36.254492187
Earth Penumbral   Jan 01 2024 02:45:58.945312500   Jan 01 2024 03:22:28.890625000      36.499088542
Earth Umbral      Jan 01 2024 02:46:07.246093750   Jan 01 2024 03:22:20.589843750      36.222395833
Earth Penumbral   Jan 01 2024 02:55:25.988281250   Jan 01 2024 03:31:52.546875000      36.442643229
Earth Umbral      Jan 01 2024 02:55:34.222656250   Jan 01 2024 03:31:44.312500000      36.168164062
Earth Umbral      Jan 01 2024 03:04:43.468750000   Jan 01 2024 03:40:54.421875000      36.182552083
Earth Penumbral   Jan 01 2024 03:04:35.234375000   Jan 01 2024 03:41:02.722656250      36.458138021
Earth Penumbral   Jan 01 2024 03:13:27.878906250   Jan 01 2024 03:49:57.425781250      36.492447917
Earth Umbral      Jan 01 2024 03:13:36.113281250   Jan 01 2024 03:49:49.125000000      36.216861979
Earth Umbral      Jan 01 2024 03:22:32.078125000   Jan 01 2024 03:58:44.890625000      36.213541667
Earth Penumbral   Jan 01 2024 03:22:23.843750000   Jan 01 2024 03:58:53.125000000      36.488020833
Earth Penumbral   Jan 01 2024 03:31:42.320312500   Jan 01 2024 04:08:11.136718750      36.480273438
Earth Umbral      Jan 01 2024 03:31:50.554687500   Jan 01 2024 04:08:02.835937500      36.204687500
Earth Penumbral   Jan 01 2024 03:41:15.273437500   Jan 01 2024 04:17:43.558593750      36.471419271
Earth Umbral      Jan 01 2024 03:41:23.574218750   Jan 01 2024 04:17:35.257812500      36.194726563
Earth Umbral      Jan 01 2024 03:50:35.476562500   Jan 01 2024 04:26:46.230468750      36.179231771
Earth Penumbral   Jan 01 2024 03:50:27.242187500   Jan 01 2024 04:26:54.531250000      36.454817708
Earth Penumbral   Jan 01 2024 03:59:09.925781250   Jan 01 2024 04:35:39.074218750      36.485807292
Earth Umbral      Jan 01 2024 03:59:18.160156250   Jan 01 2024 04:35:30.773437500      36.210221354
Earth Umbral      Jan 01 2024 04:08:10.140625000   Jan 01 2024 04:44:25.410156250      36.254492187
Earth Penumbral   Jan 01 2024 04:08:01.839843750   Jan 01 2024 04:44:33.710937500      36.531184896
Earth Penumbral   Jan 01 2024 04:17:28.085937500   Jan 01 2024 04:53:58.031250000      36.499088542
Earth Umbral      Jan 01 2024 04:17:36.320312500   Jan 01 2024 04:53:49.730468750      36.223502604
Earth Umbral      Jan 01 2024 04:27:11.796875000   Jan 01 2024 05:03:21.820312500      36.167057292
Earth Penumbral   Jan 01 2024 04:27:03.496093750   Jan 01 2024 05:03:30.121093750      36.443750000
Earth Penumbral   Jan 01 2024 04:36:12.875000000   Jan 01 2024 05:12:40.429687500      36.459244792
Earth Umbral      Jan 01 2024 04:36:21.175781250   Jan 01 2024 05:12:32.128906250      36.182552083
Earth Penumbral   Jan 01 2024 04:44:57.218750000   Jan 01 2024 05:21:26.832031250      36.493554688
