Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_10                     Jan 01 2024 04:04:45.609375000   Jan 01 2024 04:06:13.000000000       1.456510417
Amazonas --> Walker_9                      Jan 01 2024 04:13:55.851562500   Jan 01 2024 04:16:38.281250000       2.707161458
Amazonas --> Walker_8                      Jan 01 2024 04:23:09.613281250   Jan 01 2024 04:26:29.628906250       3.333593750
Amazonas --> Walker_7                      Jan 01 2024 04:31:50.968750000   Jan 01 2024 04:35:59.195312500       4.137109375
Amazonas --> Walker_6                      Jan 01 2024 04:41:35.808593750   Jan 01 2024 04:45:53.796875000       4.299804688
Amazonas --> Walker_5                      Jan 01 2024 04:51:50.929687500   Jan 01 2024 04:56:22.066406250       4.518945312
Amazonas --> Walker_4                      Jan 01 2024 05:03:05.949218750   Jan 01 2024 05:05:25.003906250       2.317578125
Amazonas --> Walker_4                      Jan 01 2024 05:05:52.628906250   Jan 01 2024 05:06:55.250000000       1.043684896
Amazonas --> Walker_3                      Jan 01 2024 05:13:56.730468750   Jan 01 2024 05:14:46.335937500       0.826757813
Amazonas --> Walker_3                      Jan 01 2024 05:16:06.953125000   Jan 01 2024 05:16:45.800781250       0.647460938
Amazonas --> Walker_5                      Jan 01 2024 14:52:08.019531250   Jan 01 2024 14:53:55.066406250       1.784114583
Amazonas --> Walker_4                      Jan 01 2024 15:04:17.890625000   Jan 01 2024 15:07:42.421875000       3.408854167
Amazonas --> Walker_3                      Jan 01 2024 15:14:14.417968750   Jan 01 2024 15:17:49.839843750       3.590364583
Amazonas --> Walker_2                      Jan 01 2024 15:22:14.070312500   Jan 01 2024 15:26:02.574218750       3.808398438
Amazonas --> Walker_1                      Jan 01 2024 15:30:53.300781250   Jan 01 2024 15:34:50.238281250       3.948958333
Amazonas --> Walker_10                     Jan 01 2024 15:42:00.882812500   Jan 01 2024 15:45:23.753906250       3.381184896
Amazonas --> Walker_9                      Jan 01 2024 15:53:48.441406250   Jan 01 2024 15:56:18.652343750       2.503515625
Amazonas --> Walker_8                      Jan 01 2024 16:03:54.265625000   Jan 01 2024 16:05:56.253906250       2.033138021
Amazonas --> Walker_7                      Jan 01 2024 16:12:26.058593750   Jan 01 2024 16:12:59.593750000       0.558919271
Amazonas --> Walker_7                      Jan 01 2024 16:13:12.675781250   Jan 01 2024 16:14:11.644531250       0.982812500
Amazonas --> Walker_9                      Jan 02 2024 03:41:48.320312500   Jan 02 2024 03:43:16.773437500       1.474218750
Amazonas --> Walker_8                      Jan 02 2024 03:50:36.050781250   Jan 02 2024 03:53:17.085937500       2.683919271
Amazonas --> Walker_7                      Jan 02 2024 03:57:20.863281250   Jan 02 2024 04:00:30.984375000       3.168684896
Amazonas --> Walker_6                      Jan 02 2024 04:04:43.792968750   Jan 02 2024 04:08:49.363281250       4.092838542
