Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_7                        Jan 01 2024 04:35:34.824218750   Jan 01 2024 04:38:24.425781250       2.826692708
Cuiaba --> Walker_6                        Jan 01 2024 04:44:12.859375000   Jan 01 2024 04:48:38.949218750       4.434830729
Cuiaba --> Walker_5                        Jan 01 2024 04:53:40.300781250   Jan 01 2024 04:59:07.351562500       5.450846354
Cuiaba --> Walker_4                        Jan 01 2024 05:03:25.871093750   Jan 01 2024 05:09:41.863281250       6.266536458
Cuiaba --> Walker_3                        Jan 01 2024 05:12:55.503906250   Jan 01 2024 05:19:43.371093750       6.797786458
Cuiaba --> Walker_2                        Jan 01 2024 05:22:06.742187500   Jan 01 2024 05:29:03.707031250       6.949414062
Cuiaba --> Walker_1                        Jan 01 2024 05:31:27.542968750   Jan 01 2024 05:38:29.621093750       7.034635417
Cuiaba --> Walker_10                       Jan 01 2024 05:41:24.335937500   Jan 01 2024 05:48:37.902343750       7.226106771
Cuiaba --> Walker_9                        Jan 01 2024 05:51:43.042968750   Jan 01 2024 05:58:58.003906250       7.249348958
Cuiaba --> Walker_8                        Jan 01 2024 06:01:36.382812500   Jan 01 2024 06:08:38.328125000       7.032421875
Cuiaba --> Walker_7                        Jan 01 2024 06:10:57.050781250   Jan 01 2024 06:17:42.394531250       6.755729167
Cuiaba --> Walker_6                        Jan 01 2024 06:20:34.519531250   Jan 01 2024 06:26:55.890625000       6.356184896
Cuiaba --> Walker_5                        Jan 01 2024 06:31:00.066406250   Jan 01 2024 06:36:46.507812500       5.774023438
Cuiaba --> Walker_4                        Jan 01 2024 06:41:44.605468750   Jan 01 2024 06:46:51.402343750       5.113281250
Cuiaba --> Walker_3                        Jan 01 2024 06:52:04.839843750   Jan 01 2024 06:56:14.792968750       4.165885417
Cuiaba --> Walker_2                        Jan 01 2024 07:02:10.996093750   Jan 01 2024 07:04:33.769531250       2.379557292
Cuiaba --> Walker_3                        Jan 01 2024 13:33:52.500000000   Jan 01 2024 13:34:22.714843750       0.503580729
Cuiaba --> Walker_2                        Jan 01 2024 13:41:13.835937500   Jan 01 2024 13:44:10.210937500       2.939583333
Cuiaba --> Walker_1                        Jan 01 2024 13:49:35.003906250   Jan 01 2024 13:53:49.937500000       4.248893229
Cuiaba --> Walker_10                       Jan 01 2024 13:59:39.964843750   Jan 01 2024 14:04:56.789062500       5.280403646
Cuiaba --> Walker_9                        Jan 01 2024 14:10:24.437500000   Jan 01 2024 14:16:26.750000000       6.038541667
Cuiaba --> Walker_8                        Jan 01 2024 14:19:56.660156250   Jan 01 2024 14:26:31.179687500       6.575325521
Cuiaba --> Walker_7                        Jan 01 2024 14:28:18.027343750   Jan 01 2024 14:35:07.222656250       6.819921875
Cuiaba --> Walker_6                        Jan 01 2024 14:37:10.539062500   Jan 01 2024 14:44:05.777343750       6.920638021
Cuiaba --> Walker_5                        Jan 01 2024 14:47:36.285156250   Jan 01 2024 14:54:45.203125000       7.148632812
Cuiaba --> Walker_4                        Jan 01 2024 14:58:40.214843750   Jan 01 2024 15:05:59.226562500       7.316861979
Cuiaba --> Walker_3                        Jan 01 2024 15:08:32.558593750   Jan 01 2024 15:15:42.273437500       7.161914063
Cuiaba --> Walker_2                        Jan 01 2024 15:17:01.097656250   Jan 01 2024 15:23:53.679687500       6.876367187
Cuiaba --> Walker_1                        Jan 01 2024 15:25:59.652343750   Jan 01 2024 15:32:34.371093750       6.578645833
Cuiaba --> Walker_10                       Jan 01 2024 15:36:51.164062500   Jan 01 2024 15:42:52.945312500       6.029687500
Cuiaba --> Walker_9                        Jan 01 2024 15:48:27.101562500   Jan 01 2024 15:53:36.687500000       5.159765625
Cuiaba --> Walker_8                        Jan 01 2024 15:58:44.613281250   Jan 01 2024 16:02:46.132812500       4.025325521
Cuiaba --> Walker_7                        Jan 01 2024 16:08:02.027343750   Jan 01 2024 16:10:00.695312500       1.977799479
Cuiaba --> Walker_6                        Jan 02 2024 04:09:11.078125000   Jan 02 2024 04:10:37.074218750       1.433268229
Cuiaba --> Walker_5                        Jan 02 2024 04:19:06.476562500   Jan 02 2024 04:23:11.183593750       4.078450521
Cuiaba --> Walker_4                        Jan 02 2024 04:30:41.484375000   Jan 02 2024 04:36:14.179687500       5.544921875
Cuiaba --> Walker_3                        Jan 02 2024 04:40:05.738281250   Jan 02 2024 04:46:24.121093750       6.306380208
Cuiaba --> Walker_2                        Jan 02 2024 04:47:06.621093750   Jan 02 2024 04:53:38.285156250       6.527734375
Cuiaba --> Walker_1                        Jan 02 2024 04:55:02.621093750   Jan 02 2024 05:01:46.570312500       6.732486979
Cuiaba --> Walker_10                       Jan 02 2024 05:06:10.667968750   Jan 02 2024 05:13:18.125000000       7.124283854
Cuiaba --> Walker_9                        Jan 02 2024 05:18:33.953125000   Jan 02 2024 05:25:52.699218750       7.312434896
Cuiaba --> Walker_8                        Jan 02 2024 05:28:23.242187500   Jan 02 2024 05:35:35.945312500       7.211718750
Cuiaba --> Walker_7                        Jan 02 2024 05:35:29.570312500   Jan 02 2024 05:42:34.769531250       7.086653646
Cuiaba --> Walker_6                        Jan 02 2024 05:43:40.511718750   Jan 02 2024 05:50:33.425781250       6.881901042
Cuiaba --> Walker_5                        Jan 02 2024 05:55:18.574218750   Jan 02 2024 06:01:45.390625000       6.446940104
Cuiaba --> Walker_4                        Jan 02 2024 06:08:09.949218750   Jan 02 2024 06:14:02.566406250       5.876953125
Cuiaba --> Walker_3                        Jan 02 2024 06:18:23.078125000   Jan 02 2024 06:23:35.320312500       5.204036458
Cuiaba --> Walker_2                        Jan 02 2024 06:25:52.781250000   Jan 02 2024 06:30:11.035156250       4.304231771
Cuiaba --> Walker_1                        Jan 02 2024 06:34:30.750000000   Jan 02 2024 06:37:35.757812500       3.083463542
Cuiaba --> Walker_1                        Jan 02 2024 13:14:03.207031250   Jan 02 2024 13:15:57.160156250       1.899218750
Cuiaba --> Walker_10                       Jan 02 2024 13:24:54.253906250   Jan 02 2024 13:28:57.699218750       4.057421875
Cuiaba --> Walker_9                        Jan 02 2024 13:37:35.070312500   Jan 02 2024 13:42:55.679687500       5.343489583
