Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_2                        Jan 01 2024 03:18:01.007812500   Jan 01 2024 03:22:49.144531250       4.802278646
Cuiaba --> Walker_1                        Jan 01 2024 04:03:47.437500000   Jan 01 2024 04:12:02.960937500       8.258723958
Cuiaba --> Walker_2                        Jan 01 2024 04:52:06.136718750   Jan 01 2024 04:59:15.320312500       7.153059896
Cuiaba --> Walker_1                        Jan 01 2024 15:57:06.199218750   Jan 01 2024 16:03:31.753906250       6.425911458
Cuiaba --> Walker_2                        Jan 01 2024 16:43:55.847656250   Jan 01 2024 16:52:17.480468750       8.360546875
Cuiaba --> Walker_1                        Jan 01 2024 17:32:40.644531250   Jan 01 2024 17:38:38.441406250       5.963281250
Cuiaba --> Walker_2                        Jan 02 2024 03:26:24.941406250   Jan 02 2024 03:32:27.253906250       6.038541667
Cuiaba --> Walker_1                        Jan 02 2024 04:12:48.492187500   Jan 02 2024 04:21:09.660156250       8.352799479
Cuiaba --> Walker_2                        Jan 02 2024 05:01:37.406250000   Jan 02 2024 05:07:56.851562500       6.324088542
Cuiaba --> Walker_1                        Jan 02 2024 16:05:48.460937500   Jan 02 2024 16:13:02.093750000       7.227213542
Cuiaba --> Walker_2                        Jan 02 2024 16:53:02.945312500   Jan 02 2024 17:01:18.203125000       8.254296875
Cuiaba --> Walker_1                        Jan 02 2024 17:42:19.816406250   Jan 02 2024 17:47:01.046875000       4.687174479
Cuiaba --> Walker_2                        Jan 03 2024 03:35:00.628906250   Jan 03 2024 03:41:54.804687500       6.902929688
Cuiaba --> Walker_1                        Jan 03 2024 04:21:54.062500000   Jan 03 2024 04:30:12.707031250       8.310742188
Cuiaba --> Walker_2                        Jan 03 2024 05:11:20.230468750   Jan 03 2024 05:16:27.558593750       5.122135417
Cuiaba --> Walker_1                        Jan 03 2024 16:14:37.429687500   Jan 03 2024 16:22:24.796875000       7.789453125
Cuiaba --> Walker_2                        Jan 03 2024 17:02:13.695312500   Jan 03 2024 17:10:14.144531250       8.007486979
Cuiaba --> Walker_1                        Jan 03 2024 17:52:26.347656250   Jan 03 2024 17:54:55.031250000       2.478059896
Cuiaba --> Walker_2                        Jan 04 2024 03:43:44.152343750   Jan 04 2024 03:51:15.648437500       7.524934896
Cuiaba --> Walker_1                        Jan 04 2024 04:31:04.347656250   Jan 04 2024 04:39:11.968750000       8.127018229
Cuiaba --> Walker_2                        Jan 04 2024 05:21:27.292968750   Jan 04 2024 05:24:34.890625000       3.126627604
Cuiaba --> Walker_2                        Jan 04 2024 15:38:36.679687500   Jan 04 2024 15:40:52.148437500       2.257812500
Cuiaba --> Walker_1                        Jan 04 2024 16:23:31.511718750   Jan 04 2024 16:31:41.457031250       8.165755208
Cuiaba --> Walker_2                        Jan 04 2024 17:11:28.496093750   Jan 04 2024 17:19:05.039062500       7.609049479
Cuiaba --> Walker_1                        Jan 05 2024 03:08:38.519531250   Jan 05 2024 03:09:31.378906250       0.880989583
Cuiaba --> Walker_2                        Jan 05 2024 03:52:33.785156250   Jan 05 2024 04:00:31.445312500       7.961002604
Cuiaba --> Walker_1                        Jan 05 2024 04:40:19.679687500   Jan 05 2024 04:48:07.046875000       7.789453125
Cuiaba --> Walker_2                        Jan 05 2024 15:46:30.332031250   Jan 05 2024 15:51:12.890625000       4.709309896
Cuiaba --> Walker_1                        Jan 05 2024 16:32:29.910156250   Jan 05 2024 16:40:52.937500000       8.383789062
Cuiaba --> Walker_2                        Jan 05 2024 17:20:48.144531250   Jan 05 2024 17:27:49.957031250       7.030208333
Cuiaba --> Walker_1                        Jan 06 2024 03:16:00.894531250   Jan 06 2024 03:20:08.988281250       4.134895833
Cuiaba --> Walker_2                        Jan 06 2024 04:01:28.664062500   Jan 06 2024 04:09:43.058593750       8.239908854
Cuiaba --> Walker_1                        Jan 06 2024 04:49:40.789062500   Jan 06 2024 04:56:57.144531250       7.272591146
Cuiaba --> Walker_2                        Jan 06 2024 15:54:57.054687500   Jan 06 2024 16:00:59.699218750       6.044075521
Cuiaba --> Walker_1                        Jan 06 2024 16:41:32.093750000   Jan 06 2024 16:49:59.636718750       8.459049479
Cuiaba --> Walker_2                        Jan 06 2024 17:30:13.968750000   Jan 06 2024 17:36:27.503906250       6.225585938
Cuiaba --> Walker_1                        Jan 07 2024 03:24:17.921875000   Jan 07 2024 03:29:53.140625000       5.586979167
Cuiaba --> Walker_2                        Jan 07 2024 04:10:28.257812500   Jan 07 2024 04:18:50.886718750       8.377148438
Cuiaba --> Walker_1                        Jan 07 2024 04:59:09.136718750   Jan 07 2024 05:05:40.800781250       6.527734375
Cuiaba --> Walker_2                        Jan 07 2024 16:03:36.328125000   Jan 07 2024 16:10:33.226562500       6.948307292
Cuiaba --> Walker_1                        Jan 07 2024 16:50:37.863281250   Jan 07 2024 16:59:01.820312500       8.399283854
Cuiaba --> Walker_2                        Jan 07 2024 17:39:49.156250000   Jan 07 2024 17:44:54.425781250       5.087825521
Cuiaba --> Walker_1                        Jan 08 2024 03:32:49.757812500   Jan 08 2024 03:39:23.746093750       6.566471354
Cuiaba --> Walker_2                        Jan 08 2024 04:19:32.433593750   Jan 08 2024 04:27:55.062500000       8.377148438
Cuiaba --> Walker_1                        Jan 08 2024 05:08:47.710937500   Jan 08 2024 05:14:15.160156250       5.457486979
Cuiaba --> Walker_2                        Jan 08 2024 16:12:23.238281250   Jan 08 2024 16:19:58.121093750       7.581380208
Cuiaba --> Walker_1                        Jan 08 2024 16:59:47.218750000   Jan 08 2024 17:07:59.289062500       8.201171875
Cuiaba --> Walker_2                        Jan 08 2024 17:49:43.667968750   Jan 08 2024 17:53:00.761718750       3.284895833
Cuiaba --> Walker_1                        Jan 09 2024 03:41:30.558593750   Jan 09 2024 03:48:46.582031250       7.267057292
Cuiaba --> Walker_2                        Jan 09 2024 04:28:41.257812500   Jan 09 2024 04:36:55.519531250       8.237695312
