Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_4                        Jan 01 2024 03:09:53.851562500   Jan 01 2024 03:12:31.167968750       2.621940104
Cuiaba --> Walker_3                        Jan 01 2024 03:27:05.406250000   Jan 01 2024 03:33:13.695312500       6.138151042
Cuiaba --> Walker_2                        Jan 01 2024 03:45:43.421875000   Jan 01 2024 03:53:39.753906250       7.938867187
Cuiaba --> Walker_1                        Jan 01 2024 04:03:47.437500000   Jan 01 2024 04:12:02.960937500       8.258723958
Cuiaba --> Walker_5                        Jan 01 2024 04:23:43.414062500   Jan 01 2024 04:32:14.144531250       8.512174479
Cuiaba --> Walker_4                        Jan 01 2024 04:42:37.898437500   Jan 01 2024 04:50:22.742187500       7.747395833
Cuiaba --> Walker_3                        Jan 01 2024 05:02:32.480468750   Jan 01 2024 05:08:45.484375000       6.216731771
Cuiaba --> Walker_2                        Jan 01 2024 05:24:11.054687500   Jan 01 2024 05:26:58.132812500       2.784635417
Cuiaba --> Walker_2                        Jan 01 2024 15:42:26.847656250   Jan 01 2024 15:46:41.847656250       4.250000000
Cuiaba --> Walker_1                        Jan 01 2024 15:57:06.199218750   Jan 01 2024 16:03:31.753906250       6.425911458
Cuiaba --> Walker_5                        Jan 01 2024 16:18:55.000000000   Jan 01 2024 16:26:58.304687500       8.055078125
Cuiaba --> Walker_4                        Jan 01 2024 16:35:41.785156250   Jan 01 2024 16:44:10.855468750       8.484505208
Cuiaba --> Walker_3                        Jan 01 2024 16:54:49.152343750   Jan 01 2024 17:03:09.589843750       8.340625000
Cuiaba --> Walker_2                        Jan 01 2024 17:16:39.613281250   Jan 01 2024 17:24:08.785156250       7.486197917
Cuiaba --> Walker_1                        Jan 01 2024 17:32:40.644531250   Jan 01 2024 17:38:38.441406250       5.963281250
Cuiaba --> Walker_4                        Jan 02 2024 03:19:37.738281250   Jan 02 2024 03:24:42.542968750       5.080078125
Cuiaba --> Walker_3                        Jan 02 2024 03:37:34.316406250   Jan 02 2024 03:44:41.972656250       7.127604167
Cuiaba --> Walker_2                        Jan 02 2024 03:59:40.250000000   Jan 02 2024 04:08:08.988281250       8.478971354
Cuiaba --> Walker_1                        Jan 02 2024 04:12:48.492187500   Jan 02 2024 04:21:09.660156250       8.352799479
Cuiaba --> Walker_5                        Jan 02 2024 04:38:12.847656250   Jan 02 2024 04:46:18.609375000       8.096028646
Cuiaba --> Walker_4                        Jan 02 2024 04:54:04.250000000   Jan 02 2024 05:01:05.265625000       7.016927083
Cuiaba --> Walker_3                        Jan 02 2024 05:14:25.726562500   Jan 02 2024 05:19:01.843750000       4.601953125
Cuiaba --> Walker_2                        Jan 02 2024 15:55:40.445312500   Jan 02 2024 16:02:06.265625000       6.430338542
Cuiaba --> Walker_1                        Jan 02 2024 16:05:48.460937500   Jan 02 2024 16:13:02.093750000       7.227213542
Cuiaba --> Walker_5                        Jan 02 2024 16:33:00.128906250   Jan 02 2024 16:41:26.808593750       8.444661458
Cuiaba --> Walker_4                        Jan 02 2024 16:46:44.097656250   Jan 02 2024 16:55:13.433593750       8.488932292
Cuiaba --> Walker_3                        Jan 02 2024 17:06:00.230468750   Jan 02 2024 17:13:59.417968750       7.986458333
Cuiaba --> Walker_2                        Jan 02 2024 17:31:27.242187500   Jan 02 2024 17:37:43.167968750       6.265429688
Cuiaba --> Walker_1                        Jan 02 2024 17:42:19.816406250   Jan 02 2024 17:47:01.046875000       4.687174479
Cuiaba --> Walker_5                        Jan 03 2024 03:18:25.265625000   Jan 03 2024 03:23:29.273437500       5.066796875
