Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_3                      Jan 01 2024 03:44:10.054687500   Jan 01 2024 03:46:30.304687500       2.337500000
Amazonas --> Walker_2                      Jan 01 2024 03:53:06.882812500   Jan 01 2024 03:58:09.761718750       5.047981771
Amazonas --> Walker_1                      Jan 01 2024 04:02:08.691406250   Jan 01 2024 04:07:22.328125000       5.227278646
Amazonas --> Walker_10                     Jan 01 2024 04:12:00.902343750   Jan 01 2024 04:15:48.277343750       3.789583333
Amazonas --> Walker_9                      Jan 01 2024 04:21:59.820312500   Jan 01 2024 04:26:06.054687500       4.103906250
Amazonas --> Walker_8                      Jan 01 2024 04:31:35.496093750   Jan 01 2024 04:34:24.300781250       2.813411458
Amazonas --> Walker_7                      Jan 01 2024 04:41:22.394531250   Jan 01 2024 04:42:10.671875000       0.804622396
Amazonas --> Walker_3                      Jan 01 2024 15:47:45.929687500   Jan 01 2024 15:49:08.339843750       1.373502604
Amazonas --> Walker_2                      Jan 01 2024 15:54:46.082031250   Jan 01 2024 15:56:55.574218750       2.158203125
Amazonas --> Walker_1                      Jan 01 2024 16:02:30.394531250   Jan 01 2024 16:05:35.335937500       3.082356771
Amazonas --> Walker_10                     Jan 01 2024 16:11:53.187500000   Jan 01 2024 16:16:43.250000000       4.834375000
Amazonas --> Walker_9                      Jan 01 2024 16:23:04.089843750   Jan 01 2024 16:28:55.777343750       5.861458333
Amazonas --> Walker_8                      Jan 01 2024 16:32:39.566406250   Jan 01 2024 16:33:20.671875000       0.685091146
Amazonas --> Walker_8                      Jan 01 2024 16:34:23.093750000   Jan 01 2024 16:38:32.648437500       4.159244792
Amazonas --> Walker_7                      Jan 01 2024 16:41:50.339843750   Jan 01 2024 16:45:16.863281250       3.442057292
Amazonas --> Walker_4                      Jan 02 2024 03:48:47.078125000   Jan 02 2024 03:53:35.082031250       4.800065104
Amazonas --> Walker_3                      Jan 02 2024 03:58:08.410156250   Jan 02 2024 04:03:20.320312500       5.198502604
Amazonas --> Walker_2                      Jan 02 2024 04:03:59.433593750   Jan 02 2024 04:07:50.593750000       3.852669271
Amazonas --> Walker_2                      Jan 02 2024 04:08:02.281250000   Jan 02 2024 04:09:15.925781250       1.227408854
Amazonas --> Walker_1                      Jan 02 2024 04:11:13.398437500   Jan 02 2024 04:14:55.792968750       3.706575521
Amazonas --> Walker_10                     Jan 02 2024 04:22:51.660156250   Jan 02 2024 04:26:57.097656250       4.090625000
Amazonas --> Walker_9                      Jan 02 2024 04:36:16.835937500   Jan 02 2024 04:38:34.363281250       2.292122396
Amazonas --> Walker_4                      Jan 02 2024 15:52:04.890625000   Jan 02 2024 15:53:55.855468750       1.849414062
Amazonas --> Walker_3                      Jan 02 2024 16:01:12.011718750   Jan 02 2024 16:04:07.722656250       2.928515625
Amazonas --> Walker_2                      Jan 02 2024 16:05:17.382812500   Jan 02 2024 16:08:29.031250000       3.194140625
Amazonas --> Walker_1                      Jan 02 2024 16:10:20.660156250   Jan 02 2024 16:14:51.929687500       4.521158854
Amazonas --> Walker_10                     Jan 02 2024 16:22:25.218750000   Jan 02 2024 16:28:16.242187500       5.850390625
Amazonas --> Walker_9                      Jan 02 2024 16:39:06.292968750   Jan 02 2024 16:42:46.894531250       3.676692708
Amazonas --> Walker_8                      Jan 02 2024 16:51:22.406250000   Jan 02 2024 16:51:49.566406250       0.452669271
Amazonas --> Walker_5                      Jan 03 2024 03:46:39.621093750   Jan 03 2024 03:49:14.480468750       2.580989583
Amazonas --> Walker_5                      Jan 03 2024 03:49:38.785156250   Jan 03 2024 03:51:09.761718750       1.516276042
Amazonas --> Walker_4                      Jan 03 2024 04:02:40.984375000   Jan 03 2024 04:07:57.210937500       5.270442708
Amazonas --> Walker_3                      Jan 03 2024 04:12:20.246093750   Jan 03 2024 04:16:10.011718750       3.829427083
Amazonas --> Walker_2                      Jan 03 2024 04:15:04.535156250   Jan 03 2024 04:18:56.757812500       3.870377604
Amazonas --> Walker_1                      Jan 03 2024 04:20:18.503906250   Jan 03 2024 04:24:09.332031250       3.847135417
Amazonas --> Walker_10                     Jan 03 2024 04:33:55.234375000   Jan 03 2024 04:36:32.882812500       2.627473958
Amazonas --> Walker_5                      Jan 03 2024 15:48:28.582031250   Jan 03 2024 15:49:55.839843750       1.454296875
Amazonas --> Walker_4                      Jan 03 2024 16:05:37.347656250   Jan 03 2024 16:08:51.718750000       3.239518229
Amazonas --> Walker_3                      Jan 03 2024 16:13:36.468750000   Jan 03 2024 16:18:45.191406250       5.145377604
Amazonas --> Walker_2                      Jan 03 2024 16:14:37.296875000   Jan 03 2024 16:19:49.007812500       5.195182292
Amazonas --> Walker_1                      Jan 03 2024 16:18:40.609375000   Jan 03 2024 16:24:24.726562500       5.735286458
Amazonas --> Walker_10                     Jan 03 2024 16:33:30.121093750   Jan 03 2024 16:34:07.175781250       0.617578125
Amazonas --> Walker_10                     Jan 03 2024 16:35:13.714843750   Jan 03 2024 16:39:21.210937500       4.124934896
Amazonas --> Walker_7                      Jan 04 2024 03:39:02.125000000   Jan 04 2024 03:40:12.449218750       1.172070313
Amazonas --> Walker_8                      Jan 04 2024 03:39:23.042968750   Jan 04 2024 03:40:45.386718750       1.372395833
Amazonas --> Walker_6                      Jan 04 2024 03:42:00.425781250   Jan 04 2024 03:43:57.632812500       1.953450521
Amazonas --> Walker_5                      Jan 04 2024 03:57:25.398437500   Jan 04 2024 04:02:33.324218750       5.132096354
Amazonas --> Walker_4                      Jan 04 2024 04:16:56.074218750   Jan 04 2024 04:20:48.562500000       3.874804688
Amazonas --> Walker_2                      Jan 04 2024 04:25:56.289062500   Jan 04 2024 04:29:59.800781250       4.058528646
Amazonas --> Walker_3                      Jan 04 2024 04:26:22.453125000   Jan 04 2024 04:30:24.902343750       4.040820313
Amazonas --> Walker_1                      Jan 04 2024 04:29:09.929687500   Jan 04 2024 04:32:36.121093750       3.436523438
Amazonas --> Walker_10                     Jan 04 2024 04:46:14.511718750   Jan 04 2024 04:46:39.082031250       0.409505208
Amazonas --> Walker_5                      Jan 04 2024 15:58:57.625000000   Jan 04 2024 16:01:33.945312500       2.605338542
Amazonas --> Walker_4                      Jan 04 2024 16:17:57.421875000   Jan 04 2024 16:23:42.734375000       5.755208333
Amazonas --> Walker_1                      Jan 04 2024 16:27:45.050781250   Jan 04 2024 16:28:55.441406250       1.173177083
Amazonas --> Walker_3                      Jan 04 2024 16:27:37.546875000   Jan 04 2024 16:28:51.457031250       1.231835938
Amazonas --> Walker_2                      Jan 04 2024 16:25:30.312500000   Jan 04 2024 16:31:21.335937500       5.850390625
Amazonas --> Walker_1                      Jan 04 2024 16:29:08.191406250   Jan 04 2024 16:33:36.207031250       4.466927083
Amazonas --> Walker_3                      Jan 04 2024 16:29:00.753906250   Jan 04 2024 16:33:29.433593750       4.477994792
Amazonas --> Walker_10                     Jan 04 2024 16:46:18.550781250   Jan 04 2024 16:47:26.019531250       1.124479167
Amazonas --> Walker_10                     Jan 04 2024 16:47:56.433593750   Jan 04 2024 16:48:12.835937500       0.273372396
Amazonas --> Walker_10                     Jan 04 2024 16:48:17.484375000   Jan 04 2024 16:48:54.671875000       0.619791667
Amazonas --> Walker_10                     Jan 04 2024 16:48:56.398437500   Jan 04 2024 16:49:30.398437500       0.566666667
Amazonas --> Walker_9                      Jan 05 2024 03:43:50.570312500   Jan 05 2024 03:46:02.386718750       2.196940104
Amazonas --> Walker_7                      Jan 05 2024 03:49:38.539062500   Jan 05 2024 03:54:26.675781250       4.802278646
Amazonas --> Walker_6                      Jan 05 2024 03:51:00.417968750   Jan 05 2024 03:55:54.265625000       4.897460938
Amazonas --> Walker_8                      Jan 05 2024 03:53:10.507812500   Jan 05 2024 03:58:12.257812500       5.029166667
Amazonas --> Walker_5                      Jan 05 2024 04:08:21.867187500   Jan 05 2024 04:12:08.312500000       3.774088542
Amazonas --> Walker_4                      Jan 05 2024 04:30:58.148437500   Jan 05 2024 04:34:12.121093750       3.232877604
Amazonas --> Walker_2                      Jan 05 2024 04:37:02.187500000   Jan 05 2024 04:39:17.390625000       2.253385417
Amazonas --> Walker_1                      Jan 05 2024 04:38:15.898437500   Jan 05 2024 04:40:26.718750000       2.180338542
Amazonas --> Walker_3                      Jan 05 2024 04:41:27.546875000   Jan 05 2024 04:42:20.140625000       0.876562500
Amazonas --> Walker_9                      Jan 05 2024 15:47:21.863281250   Jan 05 2024 15:48:38.363281250       1.275000000
Amazonas --> Walker_7                      Jan 05 2024 15:51:21.855468750   Jan 05 2024 15:53:03.988281250       1.702213542
Amazonas --> Walker_6                      Jan 05 2024 15:51:45.960937500   Jan 05 2024 15:53:28.558593750       1.709960938
Amazonas --> Walker_8                      Jan 05 2024 15:56:16.167968750   Jan 05 2024 15:58:38.078125000       2.365169271
Amazonas --> Walker_5                      Jan 05 2024 16:08:45.230468750   Jan 05 2024 16:12:55.117187500       4.164778646
Amazonas --> Walker_4                      Jan 05 2024 16:32:12.312500000   Jan 05 2024 16:32:54.746093750       0.707226563
Amazonas --> Walker_4                      Jan 05 2024 16:33:54.511718750   Jan 05 2024 16:38:05.726562500       4.186914062
Amazonas --> Walker_2                      Jan 05 2024 16:38:19.937500000   Jan 05 2024 16:42:07.976562500       3.800651042
Amazonas --> Walker_1                      Jan 05 2024 16:38:34.746093750   Jan 05 2024 16:42:21.324218750       3.776302083
