Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Svalbard --> Walker_3                      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:11.453125000       1.190885417
Svalbard --> Walker_2                      Jan 01 2024 00:05:07.062500000   Jan 01 2024 00:17:27.027343750      12.332747396
Svalbard --> Walker_1                      Jan 01 2024 00:21:11.414062500   Jan 01 2024 00:33:31.644531250      12.337174479
Svalbard --> Walker_6                      Jan 01 2024 00:37:10.386718750   Jan 01 2024 00:49:54.855468750      12.741145833
Svalbard --> Walker_5                      Jan 01 2024 00:53:18.523437500   Jan 01 2024 01:06:06.976562500      12.807552083
Svalbard --> Walker_4                      Jan 01 2024 01:09:13.246093750   Jan 01 2024 01:21:53.332031250      12.668098958
Svalbard --> Walker_3                      Jan 01 2024 01:25:27.558593750   Jan 01 2024 01:38:16.875000000      12.821940104
Svalbard --> Walker_2                      Jan 01 2024 01:41:29.519531250   Jan 01 2024 01:54:24.148437500      12.910481771
Svalbard --> Walker_1                      Jan 01 2024 01:57:14.015625000   Jan 01 2024 02:10:03.531250000      12.825260417
Svalbard --> Walker_6                      Jan 01 2024 02:13:28.195312500   Jan 01 2024 02:26:35.707031250      13.125195313
Svalbard --> Walker_5                      Jan 01 2024 02:29:33.542968750   Jan 01 2024 02:42:40.324218750      13.113020833
Svalbard --> Walker_4                      Jan 01 2024 02:45:08.742187500   Jan 01 2024 02:58:02.507812500      12.896093750
Svalbard --> Walker_3                      Jan 01 2024 03:01:37.597656250   Jan 01 2024 03:14:36.277343750      12.977994792
Svalbard --> Walker_2                      Jan 01 2024 03:17:37.300781250   Jan 01 2024 03:30:36.976562500      12.994596354
Svalbard --> Walker_1                      Jan 01 2024 03:33:02.007812500   Jan 01 2024 03:45:53.648437500      12.860677083
Svalbard --> Walker_6                      Jan 01 2024 03:49:30.863281250   Jan 01 2024 04:02:37.046875000      13.103059896
Svalbard --> Walker_5                      Jan 01 2024 04:05:33.289062500   Jan 01 2024 04:18:36.816406250      13.058789063
Svalbard --> Walker_4                      Jan 01 2024 04:20:49.230468750   Jan 01 2024 04:33:37.550781250      12.805338542
Svalbard --> Walker_3                      Jan 01 2024 04:37:32.296875000   Jan 01 2024 04:50:24.402343750      12.868424479
Svalbard --> Walker_2                      Jan 01 2024 04:53:29.875000000   Jan 01 2024 05:06:21.449218750      12.859570313
Svalbard --> Walker_1                      Jan 01 2024 05:08:34.859375000   Jan 01 2024 05:21:18.597656250      12.728971354
Svalbard --> Walker_6                      Jan 01 2024 05:25:18.390625000   Jan 01 2024 05:38:16.207031250      12.963606771
Svalbard --> Walker_5                      Jan 01 2024 05:41:18.093750000   Jan 01 2024 05:54:14.449218750      12.939257812
Svalbard --> Walker_4                      Jan 01 2024 05:56:15.441406250   Jan 01 2024 06:08:56.855468750      12.690234375
Svalbard --> Walker_3                      Jan 01 2024 06:13:13.050781250   Jan 01 2024 06:25:59.976562500      12.782096354
Svalbard --> Walker_2                      Jan 01 2024 06:29:09.367187500   Jan 01 2024 06:41:56.492187500      12.785416667
Svalbard --> Walker_1                      Jan 01 2024 06:43:55.625000000   Jan 01 2024 06:56:37.039062500      12.690234375
Svalbard --> Walker_6                      Jan 01 2024 07:00:55.093750000   Jan 01 2024 07:13:51.781250000      12.944791667
Svalbard --> Walker_5                      Jan 01 2024 07:16:53.468750000   Jan 01 2024 07:29:51.285156250      12.963606771
Svalbard --> Walker_4                      Jan 01 2024 07:31:33.816406250   Jan 01 2024 07:44:17.687500000      12.731184896
Svalbard --> Walker_3                      Jan 01 2024 07:48:47.960937500   Jan 01 2024 08:01:39.667968750      12.861783854
Svalbard --> Walker_2                      Jan 01 2024 08:04:45.140625000   Jan 01 2024 08:17:37.644531250      12.875065104
Svalbard --> Walker_1                      Jan 01 2024 08:19:14.863281250   Jan 01 2024 08:32:03.250000000      12.806445312
Svalbard --> Walker_6                      Jan 01 2024 08:36:32.992187500   Jan 01 2024 08:49:37.050781250      13.067643229
Svalbard --> Walker_5                      Jan 01 2024 08:52:32.828125000   Jan 01 2024 09:05:39.011718750      13.103059896
Svalbard --> Walker_4                      Jan 01 2024 09:06:58.699218750   Jan 01 2024 09:19:50.539062500      12.863997396
Svalbard --> Walker_3                      Jan 01 2024 09:24:32.699218750   Jan 01 2024 09:37:32.441406250      12.995703125
Svalbard --> Walker_2                      Jan 01 2024 09:40:33.796875000   Jan 01 2024 09:53:32.808593750      12.983528646
Svalbard --> Walker_1                      Jan 01 2024 09:54:49.773437500   Jan 01 2024 10:07:43.671875000      12.898307292
