Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_3                      Jan 01 2024 03:39:39.183593750   Jan 01 2024 03:41:12.218750000       1.550585937
Amazonas --> Walker_2                      Jan 01 2024 03:50:56.062500000   Jan 01 2024 03:55:53.429687500       4.956119792
Amazonas --> Walker_1                      Jan 01 2024 04:02:08.691406250   Jan 01 2024 04:07:22.328125000       5.227278646
Amazonas --> Walker_8                      Jan 01 2024 04:14:33.636718750   Jan 01 2024 04:18:26.191406250       3.875911458
Amazonas --> Walker_7                      Jan 01 2024 04:26:53.468750000   Jan 01 2024 04:30:49.011718750       3.925716146
Amazonas --> Walker_6                      Jan 01 2024 04:38:31.464843750   Jan 01 2024 04:40:29.535156250       1.967838542
Amazonas --> Walker_2                      Jan 01 2024 15:53:03.351562500   Jan 01 2024 15:54:59.296875000       1.932421875
Amazonas --> Walker_1                      Jan 01 2024 16:02:30.394531250   Jan 01 2024 16:05:35.335937500       3.082356771
Amazonas --> Walker_8                      Jan 01 2024 16:14:32.031250000   Jan 01 2024 16:19:44.406250000       5.206250000
Amazonas --> Walker_7                      Jan 01 2024 16:28:13.742187500   Jan 01 2024 16:29:24.265625000       1.175390625
Amazonas --> Walker_7                      Jan 01 2024 16:29:41.996093750   Jan 01 2024 16:34:06.160156250       4.402734375
Amazonas --> Walker_6                      Jan 01 2024 16:40:02.363281250   Jan 01 2024 16:43:37.519531250       3.585937500
Amazonas --> Walker_4                      Jan 02 2024 03:39:17.312500000   Jan 02 2024 03:40:39.921875000       1.376822917
Amazonas --> Walker_3                      Jan 02 2024 03:54:01.378906250   Jan 02 2024 03:59:07.777343750       5.106640625
Amazonas --> Walker_2                      Jan 02 2024 04:02:37.421875000   Jan 02 2024 04:07:53.781250000       5.272656250
Amazonas --> Walker_1                      Jan 02 2024 04:11:13.398437500   Jan 02 2024 04:14:55.792968750       3.706575521
Amazonas --> Walker_8                      Jan 02 2024 04:26:17.386718750   Jan 02 2024 04:30:17.644531250       4.004296875
Amazonas --> Walker_7                      Jan 02 2024 04:42:44.648437500   Jan 02 2024 04:43:23.828125000       0.652994792
Amazonas --> Walker_3                      Jan 02 2024 15:57:33.468750000   Jan 02 2024 16:00:02.816406250       2.489127604
Amazonas --> Walker_2                      Jan 02 2024 16:04:23.460937500   Jan 02 2024 16:07:33.980468750       3.175325521
Amazonas --> Walker_1                      Jan 02 2024 16:10:20.660156250   Jan 02 2024 16:14:51.929687500       4.521158854
Amazonas --> Walker_8                      Jan 02 2024 16:26:18.171875000   Jan 02 2024 16:27:31.550781250       1.222981771
Amazonas --> Walker_8                      Jan 02 2024 16:27:40.050781250   Jan 02 2024 16:32:09.128906250       4.484635417
Amazonas --> Walker_7                      Jan 02 2024 16:44:48.484375000   Jan 02 2024 16:48:04.050781250       3.259440104
Amazonas --> Walker_4                      Jan 03 2024 03:50:50.238281250   Jan 03 2024 03:55:44.750000000       4.908528646
Amazonas --> Walker_3                      Jan 03 2024 04:08:40.242187500   Jan 03 2024 04:12:27.484375000       3.787369792
Amazonas --> Walker_2                      Jan 03 2024 04:14:35.316406250   Jan 03 2024 04:18:27.738281250       3.873697917
Amazonas --> Walker_1                      Jan 03 2024 04:20:18.503906250   Jan 03 2024 04:24:09.332031250       3.847135417
Amazonas --> Walker_8                      Jan 03 2024 04:38:15.945312500   Jan 03 2024 04:40:27.761718750       2.196940104
Amazonas --> Walker_4                      Jan 03 2024 15:52:55.800781250   Jan 03 2024 15:54:51.414062500       1.926888021
Amazonas --> Walker_3                      Jan 03 2024 16:10:40.292968750   Jan 03 2024 16:15:18.734375000       4.640690104
Amazonas --> Walker_2                      Jan 03 2024 16:14:35.304687500   Jan 03 2024 16:19:47.148437500       5.197395833
Amazonas --> Walker_1                      Jan 03 2024 16:18:40.609375000   Jan 03 2024 16:24:24.726562500       5.735286458
