  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:14.753906250      11.245898437
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:24.449218750      11.407486979
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:23:28.078125000      23.467968750
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:23:18.382812500      23.306380208
Earth Umbral      Jan 01 2024 00:01:14.175781250   Jan 01 2024 00:35:21.480468750      34.121744792
Earth Penumbral   Jan 01 2024 00:01:04.546875000   Jan 01 2024 00:35:31.175781250      34.443815104
Earth Umbral      Jan 01 2024 00:13:20.660156250   Jan 01 2024 00:47:31.550781250      34.181510417
Earth Penumbral   Jan 01 2024 00:13:10.964843750   Jan 01 2024 00:47:41.246093750      34.504687500
Earth Penumbral   Jan 01 2024 00:25:12.468750000   Jan 01 2024 00:59:43.281250000      34.513541667
Earth Umbral      Jan 01 2024 00:25:22.097656250   Jan 01 2024 00:59:33.652343750      34.192578125
Earth Penumbral   Jan 01 2024 00:37:21.875000000   Jan 01 2024 01:11:52.421875000      34.509114583
Earth Umbral      Jan 01 2024 00:37:31.570312500   Jan 01 2024 01:11:42.726562500      34.185937500
Earth Umbral      Jan 01 2024 00:49:52.730468750   Jan 01 2024 01:24:01.695312500      34.149414062
Earth Penumbral   Jan 01 2024 00:49:42.968750000   Jan 01 2024 01:24:11.390625000      34.473697917
Earth Umbral      Jan 01 2024 01:01:47.992187500   Jan 01 2024 01:35:57.289062500      34.154947917
Earth Penumbral   Jan 01 2024 01:01:38.363281250   Jan 01 2024 01:36:06.917968750      34.475911458
Earth Umbral      Jan 01 2024 01:13:38.937500000   Jan 01 2024 01:47:51.621093750      34.211393229
Earth Penumbral   Jan 01 2024 01:13:29.308593750   Jan 01 2024 01:48:01.316406250      34.533463542
Earth Umbral      Jan 01 2024 01:25:57.507812500   Jan 01 2024 02:00:06.738281250      34.153841146
Earth Penumbral   Jan 01 2024 01:25:47.878906250   Jan 01 2024 02:00:16.433593750      34.475911458
Earth Penumbral   Jan 01 2024 01:38:04.457031250   Jan 01 2024 02:12:31.218750000      34.446028646
Earth Umbral      Jan 01 2024 01:38:14.152343750   Jan 01 2024 02:12:21.523437500      34.122851563
Earth Penumbral   Jan 01 2024 01:49:59.453125000   Jan 01 2024 02:24:29.734375000      34.504687500
Earth Umbral      Jan 01 2024 01:50:09.082031250   Jan 01 2024 02:24:20.039062500      34.182617188
Earth Penumbral   Jan 01 2024 02:01:49.269531250   Jan 01 2024 02:36:20.148437500      34.514648438
Earth Umbral      Jan 01 2024 02:01:58.898437500   Jan 01 2024 02:36:10.519531250      34.193684896
Earth Umbral      Jan 01 2024 02:14:19.992187500   Jan 01 2024 02:48:31.148437500      34.185937500
Earth Penumbral   Jan 01 2024 02:14:10.296875000   Jan 01 2024 02:48:40.843750000      34.509114583
Earth Umbral      Jan 01 2024 02:26:52.707031250   Jan 01 2024 03:01:01.738281250      34.150520833
Earth Penumbral   Jan 01 2024 02:26:43.011718750   Jan 01 2024 03:01:11.433593750      34.473697917
