Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_3                      Jan 01 2024 03:44:12.777343750   Jan 01 2024 03:46:06.929687500       1.902539063
Amazonas --> Walker_2                      Jan 01 2024 03:53:13.722656250   Jan 01 2024 03:58:06.707031250       4.883072917
Amazonas --> Walker_1                      Jan 01 2024 04:02:12.210937500   Jan 01 2024 04:05:57.261718750       3.750846354
Amazonas --> Walker_1                      Jan 01 2024 04:06:42.816406250   Jan 01 2024 04:06:57.824218750       0.250130208
Amazonas --> Walker_10                     Jan 01 2024 04:12:00.902343750   Jan 01 2024 04:15:39.777343750       3.647916667
Amazonas --> Walker_9                      Jan 01 2024 04:22:12.835937500   Jan 01 2024 04:26:06.054687500       3.886979167
Amazonas --> Walker_8                      Jan 01 2024 04:31:35.496093750   Jan 01 2024 04:34:09.957031250       2.574348958
Amazonas --> Walker_7                      Jan 01 2024 04:41:39.460937500   Jan 01 2024 04:42:10.671875000       0.520182292
Amazonas --> Walker_2                      Jan 01 2024 15:54:55.843750000   Jan 01 2024 15:56:43.089843750       1.787434896
Amazonas --> Walker_1                      Jan 01 2024 16:02:44.207031250   Jan 01 2024 16:05:27.300781250       2.718229167
Amazonas --> Walker_10                     Jan 01 2024 16:12:16.828125000   Jan 01 2024 16:16:37.339843750       4.341861979
Amazonas --> Walker_9                      Jan 01 2024 16:23:05.019531250   Jan 01 2024 16:24:17.867187500       1.214127604
Amazonas --> Walker_9                      Jan 01 2024 16:24:26.101562500   Jan 01 2024 16:28:53.386718750       4.454752604
Amazonas --> Walker_8                      Jan 01 2024 16:34:26.414062500   Jan 01 2024 16:38:19.300781250       3.881445312
Amazonas --> Walker_7                      Jan 01 2024 16:41:50.339843750   Jan 01 2024 16:45:05.042968750       3.245052083
Amazonas --> Walker_4                      Jan 02 2024 03:48:49.269531250   Jan 02 2024 03:51:22.933593750       2.561067708
Amazonas --> Walker_4                      Jan 02 2024 03:52:24.625000000   Jan 02 2024 03:52:40.230468750       0.260091146
Amazonas --> Walker_3                      Jan 02 2024 03:58:12.128906250   Jan 02 2024 04:03:20.320312500       5.136523438
Amazonas --> Walker_2                      Jan 02 2024 04:04:02.156250000   Jan 02 2024 04:07:50.128906250       3.799544271
Amazonas --> Walker_1                      Jan 02 2024 04:11:13.398437500   Jan 02 2024 04:14:51.011718750       3.626888021
