  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:14.753906250      11.245898437
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:11:24.449218750      11.407486979
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:27:28.335937500      27.472265625
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:27:18.707031250      27.311783854
Earth Umbral      Jan 01 2024 00:09:18.542968750   Jan 01 2024 00:43:28.371093750      34.163802083
Earth Penumbral   Jan 01 2024 00:09:08.914062500   Jan 01 2024 00:43:38.066406250      34.485872396
Earth Penumbral   Jan 01 2024 00:25:12.468750000   Jan 01 2024 00:59:43.281250000      34.513541667
Earth Umbral      Jan 01 2024 00:25:22.097656250   Jan 01 2024 00:59:33.652343750      34.192578125
Earth Umbral      Jan 01 2024 00:41:39.199218750   Jan 01 2024 01:15:49.824218750      34.177083333
Earth Penumbral   Jan 01 2024 00:41:29.503906250   Jan 01 2024 01:15:59.585937500      34.501367188
Earth Umbral      Jan 01 2024 00:57:52.781250000   Jan 01 2024 01:32:01.214843750      34.140559896
Earth Penumbral   Jan 01 2024 00:57:43.152343750   Jan 01 2024 01:32:10.843750000      34.461523437
Earth Umbral      Jan 01 2024 01:13:38.937500000   Jan 01 2024 01:47:51.621093750      34.211393229
Earth Penumbral   Jan 01 2024 01:13:29.308593750   Jan 01 2024 01:48:01.316406250      34.533463542
Earth Penumbral   Jan 01 2024 01:29:55.507812500   Jan 01 2024 02:04:22.468750000      34.449348958
Earth Umbral      Jan 01 2024 01:30:05.136718750   Jan 01 2024 02:04:12.839843750      34.128385417
Earth Umbral      Jan 01 2024 01:46:12.808593750   Jan 01 2024 02:20:22.636718750      34.163802083
Earth Penumbral   Jan 01 2024 01:46:03.113281250   Jan 01 2024 02:20:32.332031250      34.486979167
Earth Penumbral   Jan 01 2024 02:01:49.269531250   Jan 01 2024 02:36:20.148437500      34.514648438
Earth Umbral      Jan 01 2024 02:01:58.898437500   Jan 01 2024 02:36:10.519531250      34.193684896
Earth Umbral      Jan 01 2024 02:18:33.464843750   Jan 01 2024 02:52:44.089843750      34.177083333
Earth Penumbral   Jan 01 2024 02:18:23.703125000   Jan 01 2024 02:52:53.851562500      34.502473958
Earth Umbral      Jan 01 2024 02:34:46.914062500   Jan 01 2024 03:08:55.347656250      34.140559896
Earth Penumbral   Jan 01 2024 02:34:37.285156250   Jan 01 2024 03:09:04.976562500      34.461523437
Earth Umbral      Jan 01 2024 02:50:15.738281250   Jan 01 2024 03:24:28.421875000      34.211393229
Earth Penumbral   Jan 01 2024 02:50:06.042968750   Jan 01 2024 03:24:38.117187500      34.534570313
Earth Penumbral   Jan 01 2024 03:06:49.574218750   Jan 01 2024 03:41:16.601562500      34.450455729
Earth Umbral      Jan 01 2024 03:06:59.203125000   Jan 01 2024 03:41:06.906250000      34.128385417
Earth Umbral      Jan 01 2024 03:23:07.007812500   Jan 01 2024 03:57:16.902343750      34.164908854
Earth Penumbral   Jan 01 2024 03:22:57.312500000   Jan 01 2024 03:57:26.597656250      34.488085938
