Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_4                   Jan 01 2024 03:35:28.632812500   Jan 01 2024 03:37:55.988281250       2.455924479
PuntaArenas --> Walker_3                   Jan 01 2024 03:48:23.660156250   Jan 01 2024 03:53:17.375000000       4.895247396
PuntaArenas --> Walker_2                   Jan 01 2024 04:01:10.320312500   Jan 01 2024 04:07:04.398437500       5.901302083
PuntaArenas --> Walker_1                   Jan 01 2024 04:13:46.089843750   Jan 01 2024 04:20:15.761718750       6.494531250
PuntaArenas --> Walker_7                   Jan 01 2024 04:27:31.519531250   Jan 01 2024 04:34:54.582031250       7.384375000
PuntaArenas --> Walker_6                   Jan 01 2024 04:41:16.816406250   Jan 01 2024 04:49:07.039062500       7.837044271
PuntaArenas --> Walker_5                   Jan 01 2024 04:53:50.859375000   Jan 01 2024 05:02:01.269531250       8.173502604
PuntaArenas --> Walker_4                   Jan 01 2024 05:07:20.882812500   Jan 01 2024 05:15:43.445312500       8.376041667
PuntaArenas --> Walker_3                   Jan 01 2024 05:21:45.757812500   Jan 01 2024 05:30:30.566406250       8.746809896
PuntaArenas --> Walker_2                   Jan 01 2024 05:35:07.679687500   Jan 01 2024 05:43:47.175781250       8.658268229
PuntaArenas --> Walker_1                   Jan 01 2024 05:48:07.886718750   Jan 01 2024 05:56:26.265625000       8.306315104
PuntaArenas --> Walker_7                   Jan 01 2024 06:02:49.296875000   Jan 01 2024 06:10:58.445312500       8.152473958
PuntaArenas --> Walker_6                   Jan 01 2024 06:17:23.867187500   Jan 01 2024 06:24:58.816406250       7.582486979
PuntaArenas --> Walker_5                   Jan 01 2024 06:30:19.890625000   Jan 01 2024 06:37:15.527343750       6.927278646
PuntaArenas --> Walker_4                   Jan 01 2024 06:44:37.792968750   Jan 01 2024 06:50:30.941406250       5.885807292
PuntaArenas --> Walker_3                   Jan 01 2024 07:00:19.964843750   Jan 01 2024 07:04:58.871093750       4.648437500
PuntaArenas --> Walker_2                   Jan 01 2024 07:15:13.527343750   Jan 01 2024 07:16:50.082031250       1.609244792
PuntaArenas --> Walker_3                   Jan 01 2024 17:04:52.386718750   Jan 01 2024 17:05:04.339843750       0.199218750
PuntaArenas --> Walker_2                   Jan 01 2024 17:15:37.324218750   Jan 01 2024 17:19:24.500000000       3.786263021
PuntaArenas --> Walker_1                   Jan 01 2024 17:26:10.507812500   Jan 01 2024 17:31:20.027343750       5.158658854
PuntaArenas --> Walker_7                   Jan 01 2024 17:41:51.019531250   Jan 01 2024 17:48:27.796875000       6.612955729
PuntaArenas --> Walker_6                   Jan 01 2024 17:56:37.144531250   Jan 01 2024 18:04:09.769531250       7.543750000
PuntaArenas --> Walker_5                   Jan 01 2024 18:06:58.441406250   Jan 01 2024 18:14:51.585937500       7.885742188
PuntaArenas --> Walker_4                   Jan 01 2024 18:20:29.660156250   Jan 01 2024 18:28:43.058593750       8.223307292
PuntaArenas --> Walker_3                   Jan 01 2024 18:37:19.832031250   Jan 01 2024 18:46:05.636718750       8.763411458
PuntaArenas --> Walker_2                   Jan 01 2024 18:49:39.464843750   Jan 01 2024 18:58:15.773437500       8.605143229
PuntaArenas --> Walker_1                   Jan 01 2024 19:00:34.960937500   Jan 01 2024 19:09:03.433593750       8.474544271
PuntaArenas --> Walker_7                   Jan 01 2024 19:17:06.207031250   Jan 01 2024 19:25:23.058593750       8.280859375
PuntaArenas --> Walker_6                   Jan 01 2024 19:32:25.468750000   Jan 01 2024 19:40:23.925781250       7.974283854
PuntaArenas --> Walker_5                   Jan 01 2024 19:42:43.910156250   Jan 01 2024 19:50:18.195312500       7.571419271
PuntaArenas --> Walker_4                   Jan 01 2024 19:56:34.320312500   Jan 01 2024 20:03:29.890625000       6.926171875
PuntaArenas --> Walker_3                   Jan 01 2024 20:14:04.734375000   Jan 01 2024 20:20:20.261718750       6.258789062
PuntaArenas --> Walker_2                   Jan 01 2024 20:26:39.640625000   Jan 01 2024 20:31:42.453125000       5.046875000
PuntaArenas --> Walker_1                   Jan 01 2024 20:37:48.417968750   Jan 01 2024 20:41:33.003906250       3.743098958
PuntaArenas --> Walker_5                   Jan 02 2024 03:32:25.527343750   Jan 02 2024 03:34:08.125000000       1.709960938
PuntaArenas --> Walker_4                   Jan 02 2024 03:44:42.968750000   Jan 02 2024 03:48:43.027343750       4.000976562
PuntaArenas --> Walker_3                   Jan 02 2024 04:02:09.066406250   Jan 02 2024 04:08:14.300781250       6.087239583
PuntaArenas --> Walker_2                   Jan 02 2024 04:13:14.855468750   Jan 02 2024 04:19:57.011718750       6.702604167
PuntaArenas --> Walker_1                   Jan 02 2024 04:22:32.335937500   Jan 02 2024 04:29:30.496093750       6.969335938
PuntaArenas --> Walker_7                   Jan 02 2024 04:39:48.406250000   Jan 02 2024 04:47:39.425781250       7.850325521
PuntaArenas --> Walker_6                   Jan 02 2024 04:55:33.101562500   Jan 02 2024 05:03:46.300781250       8.219986979
PuntaArenas --> Walker_5                   Jan 02 2024 05:03:53.007812500   Jan 02 2024 05:12:14.972656250       8.366080729
PuntaArenas --> Walker_4                   Jan 02 2024 05:17:26.218750000   Jan 02 2024 05:25:54.558593750       8.472330729
PuntaArenas --> Walker_3                   Jan 02 2024 05:36:18.378906250   Jan 02 2024 05:45:01.925781250       8.725781250
PuntaArenas --> Walker_2                   Jan 02 2024 05:47:49.867187500   Jan 02 2024 05:56:21.128906250       8.521028646
PuntaArenas --> Walker_1                   Jan 02 2024 05:57:20.496093750   Jan 02 2024 06:05:28.183593750       8.128125000
PuntaArenas --> Walker_7                   Jan 02 2024 06:15:42.773437500   Jan 02 2024 06:23:25.824218750       7.717513021
PuntaArenas --> Walker_6                   Jan 02 2024 06:32:25.574218750   Jan 02 2024 06:39:14.902343750       6.822135417
PuntaArenas --> Walker_5                   Jan 02 2024 06:40:56.304687500   Jan 02 2024 06:47:10.503906250       6.236653646
PuntaArenas --> Walker_4                   Jan 02 2024 06:55:24.964843750   Jan 02 2024 07:00:16.023437500       4.850976562
PuntaArenas --> Walker_3                   Jan 02 2024 07:16:42.687500000   Jan 02 2024 07:18:03.703125000       1.350260417
PuntaArenas --> Walker_3                   Jan 02 2024 17:17:27.203125000   Jan 02 2024 17:21:57.609375000       4.506770833
PuntaArenas --> Walker_2                   Jan 02 2024 17:27:33.625000000   Jan 02 2024 17:32:59.746093750       5.435351563
PuntaArenas --> Walker_1                   Jan 02 2024 17:34:55.757812500   Jan 02 2024 17:40:57.406250000       6.027473958
PuntaArenas --> Walker_7                   Jan 02 2024 17:54:11.492187500   Jan 02 2024 18:01:31.964843750       7.341210937
PuntaArenas --> Walker_6                   Jan 02 2024 18:10:58.144531250   Jan 02 2024 18:19:03.773437500       8.093815104
PuntaArenas --> Walker_5                   Jan 02 2024 18:17:02.582031250   Jan 02 2024 18:25:13.656250000       8.184570312
PuntaArenas --> Walker_4                   Jan 02 2024 18:30:35.460937500   Jan 02 2024 18:38:59.750000000       8.404817708
PuntaArenas --> Walker_3                   Jan 02 2024 18:51:50.859375000   Jan 02 2024 19:00:39.121093750       8.804361979
PuntaArenas --> Walker_2                   Jan 02 2024 19:02:17.136718750   Jan 02 2024 19:10:49.726562500       8.543164063
PuntaArenas --> Walker_1                   Jan 02 2024 19:09:42.125000000   Jan 02 2024 19:18:04.886718750       8.379361979
PuntaArenas --> Walker_7                   Jan 02 2024 19:29:47.730468750   Jan 02 2024 19:37:46.917968750       7.986458333
PuntaArenas --> Walker_6                   Jan 02 2024 19:47:07.054687500   Jan 02 2024 19:54:35.230468750       7.469596354
PuntaArenas --> Walker_5                   Jan 02 2024 19:53:02.062500000   Jan 02 2024 20:00:11.046875000       7.149739583
PuntaArenas --> Walker_4                   Jan 02 2024 20:06:54.531250000   Jan 02 2024 20:13:17.031250000       6.375000000
PuntaArenas --> Walker_3                   Jan 02 2024 20:29:00.132812500   Jan 02 2024 20:34:07.593750000       5.124348958
PuntaArenas --> Walker_2                   Jan 02 2024 20:39:47.394531250   Jan 02 2024 20:43:27.531250000       3.668945312
PuntaArenas --> Walker_1                   Jan 02 2024 20:47:31.042968750   Jan 02 2024 20:49:45.582031250       2.242317708
PuntaArenas --> Walker_6                   Jan 03 2024 03:37:30.640625000   Jan 03 2024 03:40:29.804687500       2.986067708
PuntaArenas --> Walker_5                   Jan 03 2024 03:41:29.238281250   Jan 03 2024 03:45:06.718750000       3.624674479
PuntaArenas --> Walker_4                   Jan 03 2024 03:54:13.308593750   Jan 03 2024 03:59:15.656250000       5.039127604
PuntaArenas --> Walker_3                   Jan 03 2024 04:16:05.296875000   Jan 03 2024 04:23:03.656250000       6.972656250
PuntaArenas --> Walker_2                   Jan 03 2024 04:25:25.832031250   Jan 03 2024 04:32:45.707031250       7.331250000
PuntaArenas --> Walker_1                   Jan 03 2024 04:31:21.503906250   Jan 03 2024 04:38:43.570312500       7.367773438
PuntaArenas --> Walker_7                   Jan 03 2024 04:52:10.007812500   Jan 03 2024 05:00:21.945312500       8.198958333
PuntaArenas --> Walker_6                   Jan 03 2024 05:09:55.429687500   Jan 03 2024 05:18:22.773437500       8.455729167
PuntaArenas --> Walker_5                   Jan 03 2024 05:13:58.011718750   Jan 03 2024 05:22:27.281250000       8.487825521
PuntaArenas --> Walker_4                   Jan 03 2024 05:27:34.343750000   Jan 03 2024 05:36:04.410156250       8.501106771
PuntaArenas --> Walker_3                   Jan 03 2024 05:50:57.242187500   Jan 03 2024 05:59:30.429687500       8.553125000
PuntaArenas --> Walker_2                   Jan 03 2024 06:00:36.968750000   Jan 03 2024 06:08:52.558593750       8.259830729
PuntaArenas --> Walker_1                   Jan 03 2024 06:06:35.761718750   Jan 03 2024 06:14:28.640625000       7.881315104
PuntaArenas --> Walker_7                   Jan 03 2024 06:28:42.824218750   Jan 03 2024 06:35:49.152343750       7.105468750
PuntaArenas --> Walker_6                   Jan 03 2024 06:47:39.632812500   Jan 03 2024 06:53:22.222656250       5.709830729
PuntaArenas --> Walker_5                   Jan 03 2024 06:51:40.289062500   Jan 03 2024 06:56:59.636718750       5.322460937
PuntaArenas --> Walker_4                   Jan 03 2024 07:06:28.472656250   Jan 03 2024 07:09:46.562500000       3.301497396
PuntaArenas --> Walker_4                   Jan 03 2024 17:08:07.906250000   Jan 03 2024 17:08:59.570312500       0.861067708
PuntaArenas --> Walker_3                   Jan 03 2024 17:31:21.175781250   Jan 03 2024 17:37:27.804687500       6.110481771
PuntaArenas --> Walker_2                   Jan 03 2024 17:39:45.664062500   Jan 03 2024 17:46:16.332031250       6.511132812
PuntaArenas --> Walker_1                   Jan 03 2024 17:43:46.253906250   Jan 03 2024 17:50:28.144531250       6.698177083
PuntaArenas --> Walker_7                   Jan 03 2024 18:06:36.812500000   Jan 03 2024 18:14:28.695312500       7.864713542
PuntaArenas --> Walker_6                   Jan 03 2024 18:25:23.394531250   Jan 03 2024 18:33:50.074218750       8.444661458
PuntaArenas --> Walker_5                   Jan 03 2024 18:27:08.648437500   Jan 03 2024 18:35:32.207031250       8.392643229
PuntaArenas --> Walker_4                   Jan 03 2024 18:40:42.855468750   Jan 03 2024 18:49:13.187500000       8.505533854
PuntaArenas --> Walker_3                   Jan 03 2024 19:06:24.476562500   Jan 03 2024 19:15:06.695312500       8.703645833
PuntaArenas --> Walker_2                   Jan 03 2024 19:14:56.734375000   Jan 03 2024 19:23:19.230468750       8.374934896
PuntaArenas --> Walker_1                   Jan 03 2024 19:18:50.218750000   Jan 03 2024 19:27:04.015625000       8.229947917
