Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_3                      Jan 01 2024 03:42:04.679687500   Jan 01 2024 03:44:06.667968750       2.033138021
Amazonas --> Walker_2                      Jan 01 2024 03:52:08.710937500   Jan 01 2024 03:57:09.664062500       5.015885417
Amazonas --> Walker_1                      Jan 01 2024 04:02:08.691406250   Jan 01 2024 04:07:22.328125000       5.227278646
Amazonas --> Walker_9                      Jan 01 2024 04:13:09.035156250   Jan 01 2024 04:17:00.527343750       3.858203125
Amazonas --> Walker_8                      Jan 01 2024 04:24:11.769531250   Jan 01 2024 04:28:18.800781250       4.117187500
Amazonas --> Walker_7                      Jan 01 2024 04:34:36.851562500   Jan 01 2024 04:37:11.046875000       2.569921875
Amazonas --> Walker_6                      Jan 01 2024 04:45:46.160156250   Jan 01 2024 04:46:10.464843750       0.405078125
Amazonas --> Walker_3                      Jan 01 2024 15:46:17.410156250   Jan 01 2024 15:47:11.199218750       0.896484375
Amazonas --> Walker_2                      Jan 01 2024 15:53:59.863281250   Jan 01 2024 15:56:03.710937500       2.064127604
Amazonas --> Walker_1                      Jan 01 2024 16:02:30.394531250   Jan 01 2024 16:05:35.335937500       3.082356771
Amazonas --> Walker_9                      Jan 01 2024 16:12:59.726562500   Jan 01 2024 16:18:04.332031250       5.076757813
Amazonas --> Walker_8                      Jan 01 2024 16:25:26.996093750   Jan 01 2024 16:31:18.949218750       5.865885417
Amazonas --> Walker_7                      Jan 01 2024 16:37:00.078125000   Jan 01 2024 16:40:57.214843750       3.952278646
Amazonas --> Walker_6                      Jan 01 2024 16:45:12.082031250   Jan 01 2024 16:46:39.273437500       1.453190104
Amazonas --> Walker_6                      Jan 01 2024 16:46:44.917968750   Jan 01 2024 16:48:25.257812500       1.672330729
Amazonas --> Walker_4                      Jan 02 2024 03:44:36.660156250   Jan 02 2024 03:46:58.304687500       2.360742188
Amazonas --> Walker_3                      Jan 02 2024 03:56:27.339843750   Jan 02 2024 04:01:37.125000000       5.163085938
Amazonas --> Walker_2                      Jan 02 2024 04:03:22.312500000   Jan 02 2024 04:08:39.136718750       5.280403646
Amazonas --> Walker_1                      Jan 02 2024 04:11:13.398437500   Jan 02 2024 04:14:55.792968750       3.706575521
Amazonas --> Walker_9                      Jan 02 2024 04:24:22.636718750   Jan 02 2024 04:28:29.003906250       4.106119792
Amazonas --> Walker_8                      Jan 02 2024 04:39:05.507812500   Jan 02 2024 04:40:57.070312500       1.859375000
Amazonas --> Walker_4                      Jan 02 2024 15:47:43.117187500   Jan 02 2024 15:49:05.925781250       1.380143229
Amazonas --> Walker_3                      Jan 02 2024 15:59:47.476562500   Jan 02 2024 16:02:32.695312500       2.753645833
Amazonas --> Walker_2                      Jan 02 2024 16:04:52.945312500   Jan 02 2024 16:08:04.062500000       3.185286458
Amazonas --> Walker_1                      Jan 02 2024 16:10:20.660156250   Jan 02 2024 16:14:51.929687500       4.521158854
Amazonas --> Walker_9                      Jan 02 2024 16:24:08.214843750   Jan 02 2024 16:29:59.171875000       5.849283854
Amazonas --> Walker_8                      Jan 02 2024 16:41:51.644531250   Jan 02 2024 16:45:18.699218750       3.450911458
Amazonas --> Walker_5                      Jan 03 2024 03:39:52.417968750   Jan 03 2024 03:41:21.601562500       1.486393229
Amazonas --> Walker_4                      Jan 03 2024 03:57:41.093750000   Jan 03 2024 04:02:50.347656250       5.154231771
Amazonas --> Walker_3                      Jan 03 2024 04:10:59.363281250   Jan 03 2024 04:14:44.480468750       3.751953125
Amazonas --> Walker_2                      Jan 03 2024 04:14:50.988281250   Jan 03 2024 04:18:43.277343750       3.871484375
Amazonas --> Walker_1                      Jan 03 2024 04:20:18.503906250   Jan 03 2024 04:24:09.332031250       3.847135417
Amazonas --> Walker_9                      Jan 03 2024 04:35:50.316406250   Jan 03 2024 04:38:08.507812500       2.303190104
Amazonas --> Walker_4                      Jan 03 2024 16:00:18.730468750   Jan 03 2024 16:03:08.464843750       2.828906250
Amazonas --> Walker_3                      Jan 03 2024 16:12:35.242187500   Jan 03 2024 16:17:36.328125000       5.018098958
Amazonas --> Walker_2                      Jan 03 2024 16:14:35.636718750   Jan 03 2024 16:19:47.347656250       5.195182292
Amazonas --> Walker_1                      Jan 03 2024 16:18:40.609375000   Jan 03 2024 16:24:24.726562500       5.735286458
Amazonas --> Walker_9                      Jan 03 2024 16:37:20.085937500   Jan 03 2024 16:41:15.164062500       3.917968750
Amazonas --> Walker_6                      Jan 04 2024 03:39:10.691406250   Jan 04 2024 03:40:23.937500000       1.220768229
Amazonas --> Walker_7                      Jan 04 2024 03:39:44.824218750   Jan 04 2024 03:41:11.816406250       1.449869792
Amazonas --> Walker_5                      Jan 04 2024 03:49:20.898437500   Jan 04 2024 03:54:08.171875000       4.787890625
Amazonas --> Walker_4                      Jan 04 2024 04:10:57.414062500   Jan 04 2024 04:14:40.140625000       3.712109375
Amazonas --> Walker_3                      Jan 04 2024 04:25:24.214843750   Jan 04 2024 04:29:32.109375000       4.131575521
Amazonas --> Walker_2                      Jan 04 2024 04:26:05.851562500   Jan 04 2024 04:30:08.566406250       4.045247396
Amazonas --> Walker_1                      Jan 04 2024 04:29:09.929687500   Jan 04 2024 04:32:36.121093750       3.436523438
Amazonas --> Walker_5                      Jan 04 2024 15:50:25.898437500   Jan 04 2024 15:52:02.187500000       1.604817708
Amazonas --> Walker_4                      Jan 04 2024 16:11:59.425781250   Jan 04 2024 16:16:52.609375000       4.886393229
Amazonas --> Walker_3                      Jan 04 2024 16:26:50.664062500   Jan 04 2024 16:28:04.839843750       1.236263021
Amazonas --> Walker_1                      Jan 04 2024 16:27:45.050781250   Jan 04 2024 16:28:55.441406250       1.173177083
Amazonas --> Walker_2                      Jan 04 2024 16:25:51.960937500   Jan 04 2024 16:31:42.984375000       5.850390625
Amazonas --> Walker_3                      Jan 04 2024 16:28:13.140625000   Jan 04 2024 16:32:43.015625000       4.497916667
Amazonas --> Walker_1                      Jan 04 2024 16:29:08.191406250   Jan 04 2024 16:33:36.207031250       4.466927083
Amazonas --> Walker_9                      Jan 04 2024 16:51:29.332031250   Jan 04 2024 16:51:53.703125000       0.406184896
Amazonas --> Walker_8                      Jan 05 2024 03:47:31.371093750   Jan 05 2024 03:52:10.410156250       4.650651042
Amazonas --> Walker_6                      Jan 05 2024 03:48:32.531250000   Jan 05 2024 03:53:15.421875000       4.714843750
Amazonas --> Walker_7                      Jan 05 2024 03:52:42.285156250   Jan 05 2024 03:57:42.574218750       5.004817708
