Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_9                      Jan 01 2024 04:04:19.445312500   Jan 01 2024 04:05:36.542968750       1.284960937
Amazonas --> Walker_8                      Jan 01 2024 04:12:45.859375000   Jan 01 2024 04:15:11.753906250       2.431575521
Amazonas --> Walker_7                      Jan 01 2024 04:21:10.878906250   Jan 01 2024 04:24:10.375000000       2.991601563
Amazonas --> Walker_6                      Jan 01 2024 04:29:35.500000000   Jan 01 2024 04:33:25.597656250       3.834960938
Amazonas --> Walker_5                      Jan 01 2024 04:39:22.066406250   Jan 01 2024 04:43:19.601562500       3.958919271
Amazonas --> Walker_4                      Jan 01 2024 04:49:26.695312500   Jan 01 2024 04:53:36.847656250       4.169205729
Amazonas --> Walker_3                      Jan 01 2024 04:59:24.285156250   Jan 01 2024 05:02:24.445312500       3.002669271
Amazonas --> Walker_3                      Jan 01 2024 05:02:28.628906250   Jan 01 2024 05:03:21.421875000       0.879882812
Amazonas --> Walker_2                      Jan 01 2024 05:09:22.472656250   Jan 01 2024 05:10:26.753906250       1.071354167
Amazonas --> Walker_2                      Jan 01 2024 05:11:35.218750000   Jan 01 2024 05:12:19.378906250       0.736002604
Amazonas --> Walker_1                      Jan 01 2024 05:20:51.503906250   Jan 01 2024 05:21:17.269531250       0.429427083
Amazonas --> Walker_2                      Jan 01 2024 14:42:59.968750000   Jan 01 2024 14:43:42.468750000       0.708333333
Amazonas --> Walker_1                      Jan 01 2024 14:51:19.011718750   Jan 01 2024 14:52:56.164062500       1.619205729
Amazonas --> Walker_10                     Jan 01 2024 15:02:30.179687500   Jan 01 2024 15:05:35.519531250       3.088997396
Amazonas --> Walker_9                      Jan 01 2024 15:13:26.605468750   Jan 01 2024 15:16:46.089843750       3.324739583
Amazonas --> Walker_8                      Jan 01 2024 15:22:17.457031250   Jan 01 2024 15:26:00.050781250       3.709895833
Amazonas --> Walker_7                      Jan 01 2024 15:30:11.265625000   Jan 01 2024 15:33:50.406250000       3.652343750
Amazonas --> Walker_6                      Jan 01 2024 15:39:00.125000000   Jan 01 2024 15:42:10.378906250       3.170898438
Amazonas --> Walker_5                      Jan 01 2024 15:49:46.390625000   Jan 01 2024 15:52:10.359375000       2.399479167
Amazonas --> Walker_4                      Jan 01 2024 16:01:01.011718750   Jan 01 2024 16:02:52.972656250       1.866015625
Amazonas --> Walker_3                      Jan 01 2024 16:10:41.003906250   Jan 01 2024 16:12:16.230468750       1.587109375
Amazonas --> Walker_2                      Jan 02 2024 03:35:32.527343750   Jan 02 2024 03:36:10.113281250       0.626432292
Amazonas --> Walker_1                      Jan 02 2024 03:42:23.515625000   Jan 02 2024 03:44:15.343750000       1.863802083
Amazonas --> Walker_10                     Jan 02 2024 03:52:39.632812500   Jan 02 2024 03:55:21.398437500       2.696093750
Amazonas --> Walker_9                      Jan 02 2024 04:03:49.605468750   Jan 02 2024 04:07:39.304687500       3.828320312
Amazonas --> Walker_8                      Jan 02 2024 04:13:19.636718750   Jan 02 2024 04:17:16.175781250       3.942317708
Amazonas --> Walker_7                      Jan 02 2024 04:20:09.695312500   Jan 02 2024 04:24:13.273437500       4.059635417
Amazonas --> Walker_6                      Jan 02 2024 04:27:54.605468750   Jan 02 2024 04:32:09.804687500       4.253320312
Amazonas --> Walker_5                      Jan 02 2024 04:40:25.328125000   Jan 02 2024 04:41:54.113281250       1.479752604
