Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_10                  Jan 01 2024 08:46:44.328125000   Jan 01 2024 08:49:01.257812500       2.282161458
PuntaArenas --> Walker_9                   Jan 01 2024 08:56:32.222656250   Jan 01 2024 08:59:50.511718750       3.304817708
PuntaArenas --> Walker_8                   Jan 01 2024 09:05:43.394531250   Jan 01 2024 09:09:34.156250000       3.846028646
PuntaArenas --> Walker_7                   Jan 01 2024 09:14:07.417968750   Jan 01 2024 09:18:21.687500000       4.237825521
PuntaArenas --> Walker_6                   Jan 01 2024 09:22:54.882812500   Jan 01 2024 09:27:24.292968750       4.490169271
PuntaArenas --> Walker_5                   Jan 01 2024 09:32:44.503906250   Jan 01 2024 09:37:31.777343750       4.787890625
PuntaArenas --> Walker_4                   Jan 01 2024 09:42:54.710937500   Jan 01 2024 09:48:07.351562500       5.210677083
PuntaArenas --> Walker_3                   Jan 01 2024 09:52:20.160156250   Jan 01 2024 09:57:45.285156250       5.418750000
PuntaArenas --> Walker_2                   Jan 01 2024 10:00:54.808593750   Jan 01 2024 10:06:16.613281250       5.363411458
PuntaArenas --> Walker_1                   Jan 01 2024 10:09:43.734375000   Jan 01 2024 10:15:09.656250000       5.432031250
PuntaArenas --> Walker_10                  Jan 01 2024 10:19:41.656250000   Jan 01 2024 10:25:20.925781250       5.654492187
PuntaArenas --> Walker_9                   Jan 01 2024 10:30:09.261718750   Jan 01 2024 10:35:55.371093750       5.768489583
PuntaArenas --> Walker_8                   Jan 01 2024 10:39:38.496093750   Jan 01 2024 10:45:27.261718750       5.812760417
PuntaArenas --> Walker_7                   Jan 01 2024 10:48:07.300781250   Jan 01 2024 10:53:57.992187500       5.844856771
PuntaArenas --> Walker_6                   Jan 01 2024 10:57:00.875000000   Jan 01 2024 11:02:48.578125000       5.795052083
PuntaArenas --> Walker_5                   Jan 01 2024 11:07:06.500000000   Jan 01 2024 11:12:55.996093750       5.824934896
PuntaArenas --> Walker_4                   Jan 01 2024 11:17:35.898437500   Jan 01 2024 11:23:36.285156250       6.006445313
PuntaArenas --> Walker_3                   Jan 01 2024 11:27:09.316406250   Jan 01 2024 11:33:11.031250000       6.028580729
PuntaArenas --> Walker_2                   Jan 01 2024 11:35:39.714843750   Jan 01 2024 11:41:31.734375000       5.866992188
PuntaArenas --> Walker_1                   Jan 01 2024 11:44:27.378906250   Jan 01 2024 11:50:18.203125000       5.847070312
PuntaArenas --> Walker_10                  Jan 01 2024 11:54:36.125000000   Jan 01 2024 12:00:33.058593750       5.948893229
PuntaArenas --> Walker_9                   Jan 01 2024 12:05:17.011718750   Jan 01 2024 12:11:14.742187500       5.962174479
PuntaArenas --> Walker_8                   Jan 01 2024 12:14:48.636718750   Jan 01 2024 12:20:46.101562500       5.957747396
PuntaArenas --> Walker_7                   Jan 01 2024 12:23:11.000000000   Jan 01 2024 12:29:07.136718750       5.935611979
PuntaArenas --> Walker_6                   Jan 01 2024 12:32:01.054687500   Jan 01 2024 12:37:50.750000000       5.828255208
PuntaArenas --> Walker_5                   Jan 01 2024 12:42:12.988281250   Jan 01 2024 12:48:02.750000000       5.829361979
PuntaArenas --> Walker_4                   Jan 01 2024 12:52:52.746093750   Jan 01 2024 12:58:51.140625000       5.973242188
PuntaArenas --> Walker_3                   Jan 01 2024 13:02:27.691406250   Jan 01 2024 13:08:23.828125000       5.935611979
PuntaArenas --> Walker_2                   Jan 01 2024 13:10:49.390625000   Jan 01 2024 13:16:33.574218750       5.736393229
PuntaArenas --> Walker_1                   Jan 01 2024 13:19:31.875000000   Jan 01 2024 13:25:12.671875000       5.679947917
PuntaArenas --> Walker_10                  Jan 01 2024 13:29:47.726562500   Jan 01 2024 13:35:29.121093750       5.689908854
PuntaArenas --> Walker_9                   Jan 01 2024 13:40:38.906250000   Jan 01 2024 13:46:14.855468750       5.599153646
PuntaArenas --> Walker_8                   Jan 01 2024 13:50:11.660156250   Jan 01 2024 13:55:41.632812500       5.499544271
PuntaArenas --> Walker_7                   Jan 01 2024 13:58:27.648437500   Jan 01 2024 14:03:48.257812500       5.343489583
PuntaArenas --> Walker_6                   Jan 01 2024 14:07:15.312500000   Jan 01 2024 14:12:18.988281250       5.061263021
PuntaArenas --> Walker_5                   Jan 01 2024 14:17:35.613281250   Jan 01 2024 14:22:28.199218750       4.876432292
PuntaArenas --> Walker_4                   Jan 01 2024 14:28:28.718750000   Jan 01 2024 14:33:15.925781250       4.786783854
PuntaArenas --> Walker_3                   Jan 01 2024 14:38:10.570312500   Jan 01 2024 14:42:36.328125000       4.429296875
PuntaArenas --> Walker_2                   Jan 01 2024 14:46:31.605468750   Jan 01 2024 14:50:23.363281250       3.862630208
PuntaArenas --> Walker_1                   Jan 01 2024 14:55:18.738281250   Jan 01 2024 14:58:41.343750000       3.376757813
PuntaArenas --> Walker_10                  Jan 01 2024 15:05:56.902343750   Jan 01 2024 15:08:39.464843750       2.709375000
PuntaArenas --> Walker_9                   Jan 01 2024 15:17:33.636718750   Jan 01 2024 15:18:49.273437500       1.260611979
PuntaArenas --> Walker_5                   Jan 02 2024 08:23:50.625000000   Jan 02 2024 08:26:07.953125000       2.288802083
PuntaArenas --> Walker_4                   Jan 02 2024 08:35:42.566406250   Jan 02 2024 08:39:17.390625000       3.580403646
PuntaArenas --> Walker_3                   Jan 02 2024 08:44:57.589843750   Jan 02 2024 08:49:06.281250000       4.144856771
PuntaArenas --> Walker_2                   Jan 02 2024 08:51:19.425781250   Jan 02 2024 08:55:30.972656250       4.192447917
PuntaArenas --> Walker_1                   Jan 02 2024 08:58:41.625000000   Jan 02 2024 09:03:05.789062500       4.402734375
PuntaArenas --> Walker_10                  Jan 02 2024 09:09:47.945312500   Jan 02 2024 09:14:41.660156250       4.895247396
PuntaArenas --> Walker_9                   Jan 02 2024 09:22:18.136718750   Jan 02 2024 09:27:32.039062500       5.231705729
PuntaArenas --> Walker_8                   Jan 02 2024 09:31:42.988281250   Jan 02 2024 09:37:05.589843750       5.376692708
PuntaArenas --> Walker_7                   Jan 02 2024 09:37:59.445312500   Jan 02 2024 09:43:27.292968750       5.464127604
PuntaArenas --> Walker_6                   Jan 02 2024 09:45:29.878906250   Jan 02 2024 09:50:59.054687500       5.486263021
PuntaArenas --> Walker_5                   Jan 02 2024 09:56:50.011718750   Jan 02 2024 10:02:25.761718750       5.595833333
PuntaArenas --> Walker_4                   Jan 02 2024 10:09:26.710937500   Jan 02 2024 10:15:17.468750000       5.845963542
PuntaArenas --> Walker_3                   Jan 02 2024 10:18:59.796875000   Jan 02 2024 10:24:55.003906250       5.920117187
PuntaArenas --> Walker_2                   Jan 02 2024 10:25:20.371093750   Jan 02 2024 10:31:06.679687500       5.771809896
PuntaArenas --> Walker_1                   Jan 02 2024 10:32:45.824218750   Jan 02 2024 10:38:31.468750000       5.760742188
PuntaArenas --> Walker_10                  Jan 02 2024 10:44:11.402343750   Jan 02 2024 10:50:05.546875000       5.902408854
PuntaArenas --> Walker_9                   Jan 02 2024 10:57:02.312500000   Jan 02 2024 11:02:59.312500000       5.950000000
PuntaArenas --> Walker_8                   Jan 02 2024 11:06:33.605468750   Jan 02 2024 11:12:30.539062500       5.948893229
PuntaArenas --> Walker_7                   Jan 02 2024 11:12:45.414062500   Jan 02 2024 11:18:42.148437500       5.945572917
PuntaArenas --> Walker_6                   Jan 02 2024 11:20:14.718750000   Jan 02 2024 11:26:06.539062500       5.863671875
PuntaArenas --> Walker_5                   Jan 02 2024 11:31:44.878906250   Jan 02 2024 11:37:37.164062500       5.871419271
PuntaArenas --> Walker_4                   Jan 02 2024 11:44:35.191406250   Jan 02 2024 11:50:37.039062500       6.030794271
PuntaArenas --> Walker_3                   Jan 02 2024 11:54:11.531250000   Jan 02 2024 12:00:13.445312500       6.031901042
PuntaArenas --> Walker_2                   Jan 02 2024 12:00:24.070312500   Jan 02 2024 12:06:15.625000000       5.859244792
PuntaArenas --> Walker_1                   Jan 02 2024 12:07:44.808593750   Jan 02 2024 12:13:34.703125000       5.831575521
PuntaArenas --> Walker_10                  Jan 02 2024 12:19:18.222656250   Jan 02 2024 12:25:12.566406250       5.905729167
PuntaArenas --> Walker_9                   Jan 02 2024 12:32:19.824218750   Jan 02 2024 12:38:12.906250000       5.884700521
PuntaArenas --> Walker_8                   Jan 02 2024 12:41:51.515625000   Jan 02 2024 12:47:42.671875000       5.852604167
PuntaArenas --> Walker_7                   Jan 02 2024 12:47:55.488281250   Jan 02 2024 12:53:43.722656250       5.803906250
PuntaArenas --> Walker_6                   Jan 02 2024 12:55:20.343750000   Jan 02 2024 13:00:59.746093750       5.656705729
PuntaArenas --> Walker_5                   Jan 02 2024 13:06:56.414062500   Jan 02 2024 13:12:32.164062500       5.595833333
PuntaArenas --> Walker_4                   Jan 02 2024 13:19:57.285156250   Jan 02 2024 13:25:36.156250000       5.647851562
PuntaArenas --> Walker_3                   Jan 02 2024 13:29:35.949218750   Jan 02 2024 13:35:06.851562500       5.515039062
PuntaArenas --> Walker_2                   Jan 02 2024 13:35:40.785156250   Jan 02 2024 13:40:55.683593750       5.248307292
PuntaArenas --> Walker_1                   Jan 02 2024 13:42:57.804687500   Jan 02 2024 13:48:04.269531250       5.107747396
PuntaArenas --> Walker_10                  Jan 02 2024 13:54:41.246093750   Jan 02 2024 13:59:37.617187500       4.939518229
PuntaArenas --> Walker_9                   Jan 02 2024 14:07:58.453125000   Jan 02 2024 14:12:32.644531250       4.569856771
PuntaArenas --> Walker_8                   Jan 02 2024 14:17:36.718750000   Jan 02 2024 14:21:50.191406250       4.224544271
PuntaArenas --> Walker_7                   Jan 02 2024 14:23:38.566406250   Jan 02 2024 14:27:32.050781250       3.891406250
PuntaArenas --> Walker_6                   Jan 02 2024 14:31:08.933593750   Jan 02 2024 14:34:26.492187500       3.292643229
PuntaArenas --> Walker_5                   Jan 02 2024 14:43:10.503906250   Jan 02 2024 14:45:36.132812500       2.427148438
PuntaArenas --> Walker_4                   Jan 02 2024 14:57:07.753906250   Jan 02 2024 14:57:52.644531250       0.748177083
PuntaArenas --> Walker_10                  Jan 03 2024 08:00:49.882812500   Jan 03 2024 08:03:22.019531250       2.535611979
PuntaArenas --> Walker_9                   Jan 03 2024 08:15:02.273437500   Jan 03 2024 08:18:46.527343750       3.737565104
PuntaArenas --> Walker_8                   Jan 03 2024 08:24:16.765625000   Jan 03 2024 08:28:27.050781250       4.171419271
PuntaArenas --> Walker_7                   Jan 03 2024 08:28:20.410156250   Jan 03 2024 08:32:40.722656250       4.338541667
PuntaArenas --> Walker_6                   Jan 03 2024 08:34:25.710937500   Jan 03 2024 08:38:55.519531250       4.496809896
PuntaArenas --> Walker_5                   Jan 03 2024 08:46:54.308593750   Jan 03 2024 08:51:45.765625000       4.857617187
PuntaArenas --> Walker_4                   Jan 03 2024 09:01:32.398437500   Jan 03 2024 09:06:52.808593750       5.340169271
PuntaArenas --> Walker_3                   Jan 03 2024 09:11:02.695312500   Jan 03 2024 09:16:34.460937500       5.529427083
PuntaArenas --> Walker_2                   Jan 03 2024 09:15:13.312500000   Jan 03 2024 09:20:37.375000000       5.401041667
PuntaArenas --> Walker_1                   Jan 03 2024 09:21:15.625000000   Jan 03 2024 09:26:40.949218750       5.422070312
PuntaArenas --> Walker_10                  Jan 03 2024 09:33:54.914062500   Jan 03 2024 09:39:35.445312500       5.675520833
PuntaArenas --> Walker_9                   Jan 03 2024 09:48:52.992187500   Jan 03 2024 09:54:42.089843750       5.818294271
PuntaArenas --> Walker_8                   Jan 03 2024 09:58:22.625000000   Jan 03 2024 10:04:13.382812500       5.845963542
PuntaArenas --> Walker_7                   Jan 03 2024 10:02:23.679687500   Jan 03 2024 10:08:15.035156250       5.855924479
PuntaArenas --> Walker_6                   Jan 03 2024 10:08:31.503906250   Jan 03 2024 10:14:19.871093750       5.806119792
PuntaArenas --> Walker_5                   Jan 03 2024 10:21:18.695312500   Jan 03 2024 10:27:08.789062500       5.834895833
PuntaArenas --> Walker_4                   Jan 03 2024 10:36:18.765625000   Jan 03 2024 10:42:19.550781250       6.013085937
PuntaArenas --> Walker_3                   Jan 03 2024 10:45:56.300781250   Jan 03 2024 10:51:58.546875000       6.037434896
PuntaArenas --> Walker_2                   Jan 03 2024 10:49:59.679687500   Jan 03 2024 10:55:51.832031250       5.869205729
PuntaArenas --> Walker_1                   Jan 03 2024 10:55:59.070312500   Jan 03 2024 11:01:49.429687500       5.839322917
PuntaArenas --> Walker_10                  Jan 03 2024 11:08:50.378906250   Jan 03 2024 11:14:47.179687500       5.946679687
PuntaArenas --> Walker_9                   Jan 03 2024 11:24:02.867187500   Jan 03 2024 11:30:00.664062500       5.963281250
PuntaArenas --> Walker_8                   Jan 03 2024 11:33:34.492187500   Jan 03 2024 11:39:31.492187500       5.950000000
