Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_4                   Jan 01 2024 08:22:08.250000000   Jan 01 2024 08:24:40.785156250       2.542252604
PuntaArenas --> Walker_3                   Jan 01 2024 08:31:14.972656250   Jan 01 2024 08:34:58.960937500       3.733138021
PuntaArenas --> Walker_2                   Jan 01 2024 08:39:55.332031250   Jan 01 2024 08:44:06.214843750       4.181380208
PuntaArenas --> Walker_1                   Jan 01 2024 08:48:48.640625000   Jan 01 2024 08:53:29.605468750       4.682747396
PuntaArenas --> Walker_10                  Jan 01 2024 08:58:38.992187500   Jan 01 2024 09:03:59.601562500       5.343489583
PuntaArenas --> Walker_9                   Jan 01 2024 09:08:58.164062500   Jan 01 2024 09:14:46.796875000       5.810546875
PuntaArenas --> Walker_8                   Jan 01 2024 09:18:32.113281250   Jan 01 2024 09:24:37.679687500       6.092773438
PuntaArenas --> Walker_7                   Jan 01 2024 09:27:16.523437500   Jan 01 2024 09:33:35.503906250       6.316341146
PuntaArenas --> Walker_6                   Jan 01 2024 09:36:22.714843750   Jan 01 2024 09:42:49.531250000       6.446940104
PuntaArenas --> Walker_5                   Jan 01 2024 09:46:30.796875000   Jan 01 2024 09:53:08.304687500       6.625130208
PuntaArenas --> Walker_4                   Jan 01 2024 09:56:59.464843750   Jan 01 2024 10:03:54.968750000       6.925065104
PuntaArenas --> Walker_3                   Jan 01 2024 10:06:42.113281250   Jan 01 2024 10:13:45.652343750       7.058984375
PuntaArenas --> Walker_2                   Jan 01 2024 10:15:32.832031250   Jan 01 2024 10:22:31.390625000       6.975976562
PuntaArenas --> Walker_1                   Jan 01 2024 10:24:38.160156250   Jan 01 2024 10:31:38.644531250       7.008072917
PuntaArenas --> Walker_10                  Jan 01 2024 10:34:52.550781250   Jan 01 2024 10:42:02.996093750       7.174088542
PuntaArenas --> Walker_9                   Jan 01 2024 10:45:35.960937500   Jan 01 2024 10:52:50.722656250       7.246028646
PuntaArenas --> Walker_8                   Jan 01 2024 10:55:20.800781250   Jan 01 2024 11:02:36.957031250       7.269270833
PuntaArenas --> Walker_7                   Jan 01 2024 11:04:05.476562500   Jan 01 2024 11:11:22.496093750       7.283658854
PuntaArenas --> Walker_6                   Jan 01 2024 11:13:14.457031250   Jan 01 2024 11:20:27.824218750       7.222786458
PuntaArenas --> Walker_5                   Jan 01 2024 11:23:35.023437500   Jan 01 2024 11:30:49.519531250       7.241601562
PuntaArenas --> Walker_4                   Jan 01 2024 11:34:19.628906250   Jan 01 2024 11:41:43.554687500       7.398763021
PuntaArenas --> Walker_3                   Jan 01 2024 11:44:08.121093750   Jan 01 2024 11:51:32.710937500       7.409830729
PuntaArenas --> Walker_2                   Jan 01 2024 11:52:53.261718750   Jan 01 2024 12:00:08.820312500       7.259309896
PuntaArenas --> Walker_1                   Jan 01 2024 12:01:55.933593750   Jan 01 2024 12:09:10.296875000       7.239388021
PuntaArenas --> Walker_10                  Jan 01 2024 12:12:19.621093750   Jan 01 2024 12:19:39.031250000       7.323502604
PuntaArenas --> Walker_9                   Jan 01 2024 12:23:14.718750000   Jan 01 2024 12:30:34.460937500       7.329036458
PuntaArenas --> Walker_8                   Jan 01 2024 12:33:01.019531250   Jan 01 2024 12:40:20.296875000       7.321289062
PuntaArenas --> Walker_7                   Jan 01 2024 12:41:38.523437500   Jan 01 2024 12:48:56.074218750       7.292513021
PuntaArenas --> Walker_6                   Jan 01 2024 12:50:43.320312500   Jan 01 2024 12:57:54.097656250       7.179622396
PuntaArenas --> Walker_5                   Jan 01 2024 13:01:09.664062500   Jan 01 2024 13:08:19.910156250       7.170768229
PuntaArenas --> Walker_4                   Jan 01 2024 13:12:03.964843750   Jan 01 2024 13:19:21.250000000       7.288085938
PuntaArenas --> Walker_3                   Jan 01 2024 13:21:53.652343750   Jan 01 2024 13:29:07.550781250       7.231640625
PuntaArenas --> Walker_2                   Jan 01 2024 13:30:30.093750000   Jan 01 2024 13:37:31.773437500       7.027994792
PuntaArenas --> Walker_1                   Jan 01 2024 13:39:27.652343750   Jan 01 2024 13:46:24.750000000       6.951627604
PuntaArenas --> Walker_10                  Jan 01 2024 13:49:58.312500000   Jan 01 2024 13:56:53.683593750       6.922851562
PuntaArenas --> Walker_9                   Jan 01 2024 14:01:03.968750000   Jan 01 2024 14:07:51.437500000       6.791145833
PuntaArenas --> Walker_8                   Jan 01 2024 14:10:51.796875000   Jan 01 2024 14:17:31.031250000       6.653906250
PuntaArenas --> Walker_7                   Jan 01 2024 14:19:23.390625000   Jan 01 2024 14:25:50.871093750       6.458007812
PuntaArenas --> Walker_6                   Jan 01 2024 14:28:26.328125000   Jan 01 2024 14:34:34.351562500       6.133723958
PuntaArenas --> Walker_5                   Jan 01 2024 14:39:01.835937500   Jan 01 2024 14:44:55.117187500       5.888020833
PuntaArenas --> Walker_4                   Jan 01 2024 14:50:10.679687500   Jan 01 2024 14:55:53.136718750       5.707617188
PuntaArenas --> Walker_3                   Jan 01 2024 15:00:08.535156250   Jan 01 2024 15:05:24.496093750       5.266015625
PuntaArenas --> Walker_2                   Jan 01 2024 15:08:45.773437500   Jan 01 2024 15:13:23.750000000       4.632942708
PuntaArenas --> Walker_1                   Jan 01 2024 15:17:49.972656250   Jan 01 2024 15:21:52.621093750       4.044140625
PuntaArenas --> Walker_10                  Jan 01 2024 15:28:46.332031250   Jan 01 2024 15:31:58.511718750       3.202994792
PuntaArenas --> Walker_9                   Jan 01 2024 15:40:44.714843750   Jan 01 2024 15:42:11.707031250       1.449869792
PuntaArenas --> Walker_3                   Jan 02 2024 07:58:49.113281250   Jan 02 2024 08:01:23.640625000       2.575455729
PuntaArenas --> Walker_2                   Jan 02 2024 08:05:19.980468750   Jan 02 2024 08:08:25.386718750       3.090104167
PuntaArenas --> Walker_1                   Jan 02 2024 08:12:48.289062500   Jan 02 2024 08:16:32.343750000       3.734244792
