Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_2                      Jan 01 2024 03:44:10.054687500   Jan 01 2024 03:46:30.304687500       2.337500000
Amazonas --> Walker_1                      Jan 01 2024 04:02:08.691406250   Jan 01 2024 04:07:22.328125000       5.227278646
Amazonas --> Walker_5                      Jan 01 2024 04:21:59.820312500   Jan 01 2024 04:26:06.054687500       4.103906250
Amazonas --> Walker_4                      Jan 01 2024 04:41:22.394531250   Jan 01 2024 04:42:10.671875000       0.804622396
Amazonas --> Walker_2                      Jan 01 2024 15:47:45.929687500   Jan 01 2024 15:49:08.339843750       1.373502604
Amazonas --> Walker_1                      Jan 01 2024 16:02:30.394531250   Jan 01 2024 16:05:35.335937500       3.082356771
Amazonas --> Walker_5                      Jan 01 2024 16:23:04.089843750   Jan 01 2024 16:28:55.777343750       5.861458333
Amazonas --> Walker_4                      Jan 01 2024 16:41:50.339843750   Jan 01 2024 16:45:16.863281250       3.442057292
Amazonas --> Walker_2                      Jan 02 2024 03:58:08.410156250   Jan 02 2024 04:03:20.320312500       5.198502604
Amazonas --> Walker_1                      Jan 02 2024 04:11:13.398437500   Jan 02 2024 04:14:55.792968750       3.706575521
Amazonas --> Walker_5                      Jan 02 2024 04:36:16.835937500   Jan 02 2024 04:38:34.363281250       2.292122396
Amazonas --> Walker_2                      Jan 02 2024 16:01:12.011718750   Jan 02 2024 16:04:07.722656250       2.928515625
Amazonas --> Walker_1                      Jan 02 2024 16:10:20.660156250   Jan 02 2024 16:14:51.929687500       4.521158854
Amazonas --> Walker_5                      Jan 02 2024 16:39:06.292968750   Jan 02 2024 16:42:46.894531250       3.676692708
Amazonas --> Walker_3                      Jan 03 2024 03:46:39.621093750   Jan 03 2024 03:49:14.480468750       2.580989583
Amazonas --> Walker_3                      Jan 03 2024 03:49:38.785156250   Jan 03 2024 03:51:09.761718750       1.516276042
Amazonas --> Walker_2                      Jan 03 2024 04:12:20.246093750   Jan 03 2024 04:16:10.011718750       3.829427083
Amazonas --> Walker_1                      Jan 03 2024 04:20:18.503906250   Jan 03 2024 04:24:09.332031250       3.847135417
Amazonas --> Walker_3                      Jan 03 2024 15:48:28.582031250   Jan 03 2024 15:49:55.839843750       1.454296875
Amazonas --> Walker_2                      Jan 03 2024 16:13:36.468750000   Jan 03 2024 16:18:45.191406250       5.145377604
Amazonas --> Walker_1                      Jan 03 2024 16:18:40.609375000   Jan 03 2024 16:24:24.726562500       5.735286458
Amazonas --> Walker_4                      Jan 04 2024 03:39:02.125000000   Jan 04 2024 03:40:12.449218750       1.172070313
Amazonas --> Walker_3                      Jan 04 2024 03:57:25.398437500   Jan 04 2024 04:02:33.324218750       5.132096354
Amazonas --> Walker_2                      Jan 04 2024 04:26:22.453125000   Jan 04 2024 04:30:24.902343750       4.040820313
Amazonas --> Walker_1                      Jan 04 2024 04:29:09.929687500   Jan 04 2024 04:32:36.121093750       3.436523438
Amazonas --> Walker_3                      Jan 04 2024 15:58:57.625000000   Jan 04 2024 16:01:33.945312500       2.605338542
Amazonas --> Walker_1                      Jan 04 2024 16:27:45.050781250   Jan 04 2024 16:28:55.441406250       1.173177083
Amazonas --> Walker_2                      Jan 04 2024 16:27:37.546875000   Jan 04 2024 16:28:51.457031250       1.231835938
Amazonas --> Walker_1                      Jan 04 2024 16:29:08.191406250   Jan 04 2024 16:33:36.207031250       4.466927083
Amazonas --> Walker_2                      Jan 04 2024 16:29:00.753906250   Jan 04 2024 16:33:29.433593750       4.477994792
Amazonas --> Walker_5                      Jan 05 2024 03:43:50.570312500   Jan 05 2024 03:46:02.386718750       2.196940104
Amazonas --> Walker_4                      Jan 05 2024 03:49:38.539062500   Jan 05 2024 03:54:26.675781250       4.802278646
Amazonas --> Walker_3                      Jan 05 2024 04:08:21.867187500   Jan 05 2024 04:12:08.312500000       3.774088542
Amazonas --> Walker_1                      Jan 05 2024 04:38:15.898437500   Jan 05 2024 04:40:26.718750000       2.180338542
Amazonas --> Walker_2                      Jan 05 2024 04:41:27.546875000   Jan 05 2024 04:42:20.140625000       0.876562500
