  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:33.898437500       1.564973958
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:43.527343750       1.725455729
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:20:54.148437500      20.902473958
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:21:03.843750000      21.064062500
Earth Umbral      Jan 01 2024 00:06:04.703125000   Jan 01 2024 00:40:13.402343750      34.144986979
Earth Penumbral   Jan 01 2024 00:05:55.007812500   Jan 01 2024 00:40:23.097656250      34.468164063
Earth Penumbral   Jan 01 2024 00:25:12.468750000   Jan 01 2024 00:59:43.281250000      34.513541667
Earth Umbral      Jan 01 2024 00:25:22.097656250   Jan 01 2024 00:59:33.652343750      34.192578125
Earth Penumbral   Jan 01 2024 00:44:47.792968750   Jan 01 2024 01:19:17.277343750      34.491406250
Earth Umbral      Jan 01 2024 00:44:57.488281250   Jan 01 2024 01:19:07.582031250      34.168229167
Earth Umbral      Jan 01 2024 01:04:08.640625000   Jan 01 2024 01:38:18.734375000      34.168229167
Earth Penumbral   Jan 01 2024 01:03:59.011718750   Jan 01 2024 01:38:28.363281250      34.489192708
Earth Penumbral   Jan 01 2024 01:23:18.996093750   Jan 01 2024 01:57:48.613281250      34.493619792
Earth Umbral      Jan 01 2024 01:23:28.625000000   Jan 01 2024 01:57:38.984375000      34.172656250
Earth Penumbral   Jan 01 2024 01:42:52.792968750   Jan 01 2024 02:17:20.949218750      34.469270833
Earth Umbral      Jan 01 2024 01:43:02.488281250   Jan 01 2024 02:17:11.253906250      34.146093750
Earth Penumbral   Jan 01 2024 02:01:49.269531250   Jan 01 2024 02:36:20.148437500      34.514648438
Earth Umbral      Jan 01 2024 02:01:58.898437500   Jan 01 2024 02:36:10.519531250      34.193684896
Earth Umbral      Jan 01 2024 02:21:55.339843750   Jan 01 2024 02:56:05.433593750      34.168229167
Earth Penumbral   Jan 01 2024 02:21:45.644531250   Jan 01 2024 02:56:15.128906250      34.491406250
Earth Umbral      Jan 01 2024 02:40:53.410156250   Jan 01 2024 03:15:03.503906250      34.168229167
Earth Penumbral   Jan 01 2024 02:40:43.781250000   Jan 01 2024 03:15:13.199218750      34.490299479
Earth Umbral      Jan 01 2024 03:00:13.328125000   Jan 01 2024 03:34:23.687500000      34.172656250
Earth Penumbral   Jan 01 2024 03:00:03.699218750   Jan 01 2024 03:34:33.316406250      34.493619792
Earth Penumbral   Jan 01 2024 03:19:50.578125000   Jan 01 2024 03:54:18.734375000      34.469270833
Earth Umbral      Jan 01 2024 03:20:00.207031250   Jan 01 2024 03:54:09.039062500      34.147200521
Earth Penumbral   Jan 01 2024 03:38:26.003906250   Jan 01 2024 04:12:56.882812500      34.514648438
Earth Umbral      Jan 01 2024 03:38:35.632812500   Jan 01 2024 04:12:47.253906250      34.193684896
