Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Amazonas --> Walker_2                      Jan 01 2024 03:47:15.195312500   Jan 01 2024 03:51:55.761718750       4.676106771
Amazonas --> Walker_1                      Jan 01 2024 04:02:08.691406250   Jan 01 2024 04:07:22.328125000       5.227278646
Amazonas --> Walker_6                      Jan 01 2024 04:18:50.031250000   Jan 01 2024 04:22:43.117187500       3.884765625
Amazonas --> Walker_5                      Jan 01 2024 04:34:36.851562500   Jan 01 2024 04:37:11.046875000       2.569921875
Amazonas --> Walker_2                      Jan 01 2024 15:50:11.093750000   Jan 01 2024 15:51:48.246093750       1.619205729
Amazonas --> Walker_1                      Jan 01 2024 16:02:30.394531250   Jan 01 2024 16:05:35.335937500       3.082356771
Amazonas --> Walker_6                      Jan 01 2024 16:19:18.042968750   Jan 01 2024 16:25:04.285156250       5.770703125
Amazonas --> Walker_5                      Jan 01 2024 16:37:00.078125000   Jan 01 2024 16:40:57.214843750       3.952278646
Amazonas --> Walker_3                      Jan 02 2024 03:44:36.660156250   Jan 02 2024 03:46:58.304687500       2.360742188
Amazonas --> Walker_2                      Jan 02 2024 04:00:18.101562500   Jan 02 2024 04:05:32.402343750       5.238346354
Amazonas --> Walker_1                      Jan 02 2024 04:11:13.398437500   Jan 02 2024 04:14:55.792968750       3.706575521
Amazonas --> Walker_6                      Jan 02 2024 04:32:00.640625000   Jan 02 2024 04:34:48.980468750       2.805664062
Amazonas --> Walker_3                      Jan 02 2024 15:47:43.117187500   Jan 02 2024 15:49:05.925781250       1.380143229
Amazonas --> Walker_2                      Jan 02 2024 16:02:48.566406250   Jan 02 2024 16:05:56.097656250       3.125520833
Amazonas --> Walker_1                      Jan 02 2024 16:10:20.660156250   Jan 02 2024 16:14:51.929687500       4.521158854
Amazonas --> Walker_6                      Jan 02 2024 16:32:41.933593750   Jan 02 2024 16:33:22.242187500       0.671809896
Amazonas --> Walker_6                      Jan 02 2024 16:34:25.328125000   Jan 02 2024 16:38:33.289062500       4.132682292
Amazonas --> Walker_3                      Jan 03 2024 03:57:41.093750000   Jan 03 2024 04:02:50.347656250       5.154231771
Amazonas --> Walker_2                      Jan 03 2024 04:13:39.601562500   Jan 03 2024 04:17:32.089843750       3.874804688
Amazonas --> Walker_1                      Jan 03 2024 04:20:18.503906250   Jan 03 2024 04:24:09.332031250       3.847135417
Amazonas --> Walker_6                      Jan 03 2024 04:46:39.769531250   Jan 03 2024 04:46:50.394531250       0.177083333
Amazonas --> Walker_3                      Jan 03 2024 16:00:18.730468750   Jan 03 2024 16:03:08.464843750       2.828906250
Amazonas --> Walker_2                      Jan 03 2024 16:14:24.546875000   Jan 03 2024 16:19:36.257812500       5.195182292
Amazonas --> Walker_1                      Jan 03 2024 16:18:40.609375000   Jan 03 2024 16:24:24.726562500       5.735286458
Amazonas --> Walker_6                      Jan 03 2024 16:50:31.648437500   Jan 03 2024 16:50:59.605468750       0.465950521
Amazonas --> Walker_5                      Jan 04 2024 03:39:44.824218750   Jan 04 2024 03:41:11.816406250       1.449869792
Amazonas --> Walker_4                      Jan 04 2024 03:42:00.425781250   Jan 04 2024 03:43:57.632812500       1.953450521
Amazonas --> Walker_3                      Jan 04 2024 04:10:57.414062500   Jan 04 2024 04:14:40.140625000       3.712109375
Amazonas --> Walker_2                      Jan 04 2024 04:26:49.148437500   Jan 04 2024 04:30:47.945312500       3.979947917
Amazonas --> Walker_1                      Jan 04 2024 04:29:09.929687500   Jan 04 2024 04:32:36.121093750       3.436523438
Amazonas --> Walker_3                      Jan 04 2024 16:11:59.425781250   Jan 04 2024 16:16:52.609375000       4.886393229
Amazonas --> Walker_1                      Jan 04 2024 16:27:45.050781250   Jan 04 2024 16:28:55.441406250       1.173177083
Amazonas --> Walker_2                      Jan 04 2024 16:27:36.085937500   Jan 04 2024 16:28:49.730468750       1.227408854
Amazonas --> Walker_1                      Jan 04 2024 16:29:08.191406250   Jan 04 2024 16:33:36.207031250       4.466927083
Amazonas --> Walker_2                      Jan 04 2024 16:28:59.226562500   Jan 04 2024 16:33:27.507812500       4.471354167
Amazonas --> Walker_6                      Jan 05 2024 03:37:46.996093750   Jan 05 2024 03:38:21.726562500       0.578841146
Amazonas --> Walker_4                      Jan 05 2024 03:51:00.417968750   Jan 05 2024 03:55:54.265625000       4.897460938
Amazonas --> Walker_5                      Jan 05 2024 03:52:42.285156250   Jan 05 2024 03:57:42.574218750       5.004817708
Amazonas --> Walker_3                      Jan 05 2024 04:24:06.031250000   Jan 05 2024 04:28:11.667968750       4.093945312
