Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_5                        Jan 01 2024 03:22:35.929687500   Jan 01 2024 03:24:25.566406250       1.827278646
Cuiaba --> Walker_4                        Jan 01 2024 03:31:01.347656250   Jan 01 2024 03:35:20.199218750       4.314192708
Cuiaba --> Walker_3                        Jan 01 2024 03:39:41.507812500   Jan 01 2024 03:45:12.675781250       5.519466146
Cuiaba --> Walker_2                        Jan 01 2024 03:48:12.902343750   Jan 01 2024 03:54:11.164062500       5.971028646
Cuiaba --> Walker_1                        Jan 01 2024 03:56:55.187500000   Jan 01 2024 04:03:12.242187500       6.284244792
Cuiaba --> Walker_10                       Jan 01 2024 04:06:16.054687500   Jan 01 2024 04:13:00.468750000       6.740234375
Cuiaba --> Walker_9                        Jan 01 2024 04:16:03.949218750   Jan 01 2024 04:22:59.718750000       6.929492188
Cuiaba --> Walker_8                        Jan 01 2024 04:25:26.675781250   Jan 01 2024 04:32:10.957031250       6.738020833
Cuiaba --> Walker_7                        Jan 01 2024 04:34:12.878906250   Jan 01 2024 04:40:39.562500000       6.444726562
Cuiaba --> Walker_6                        Jan 01 2024 04:43:18.007812500   Jan 01 2024 04:49:18.128906250       6.002018229
Cuiaba --> Walker_5                        Jan 01 2024 04:53:20.910156250   Jan 01 2024 04:58:35.609375000       5.244986979
Cuiaba --> Walker_4                        Jan 01 2024 05:03:49.644531250   Jan 01 2024 05:08:03.515625000       4.231184896
Cuiaba --> Walker_3                        Jan 01 2024 05:14:06.492187500   Jan 01 2024 05:16:29.199218750       2.378450521
Cuiaba --> Walker_9                        Jan 01 2024 15:50:23.445312500   Jan 01 2024 15:53:12.781250000       2.822265625
Cuiaba --> Walker_8                        Jan 01 2024 15:58:45.609375000   Jan 01 2024 16:03:27.835937500       4.703776042
Cuiaba --> Walker_7                        Jan 01 2024 16:05:32.015625000   Jan 01 2024 16:10:54.019531250       5.366731771
Cuiaba --> Walker_6                        Jan 01 2024 16:13:11.148437500   Jan 01 2024 16:19:00.179687500       5.817187500
Cuiaba --> Walker_5                        Jan 01 2024 16:23:28.128906250   Jan 01 2024 16:29:59.527343750       6.523307292
Cuiaba --> Walker_4                        Jan 01 2024 16:34:50.652343750   Jan 01 2024 16:41:50.207031250       6.992578125
Cuiaba --> Walker_3                        Jan 01 2024 16:44:12.582031250   Jan 01 2024 16:51:06.890625000       6.905143229
Cuiaba --> Walker_2                        Jan 01 2024 16:51:14.593750000   Jan 01 2024 16:57:54.226562500       6.660546875
Cuiaba --> Walker_1                        Jan 01 2024 16:59:06.277343750   Jan 01 2024 17:05:32.695312500       6.440299479
Cuiaba --> Walker_10                       Jan 01 2024 17:10:03.632812500   Jan 01 2024 17:15:57.843750000       5.903515625
Cuiaba --> Walker_9                        Jan 01 2024 17:22:08.058593750   Jan 01 2024 17:27:07.152343750       4.984895833
Cuiaba --> Walker_8                        Jan 01 2024 17:31:54.027343750   Jan 01 2024 17:35:47.777343750       3.895833333
Cuiaba --> Walker_7                        Jan 01 2024 17:39:37.410156250   Jan 01 2024 17:41:43.449218750       2.100651042
Cuiaba --> Walker_1                        Jan 02 2024 03:22:36.039062500   Jan 02 2024 03:24:02.300781250       1.437695313
Cuiaba --> Walker_10                       Jan 02 2024 03:32:38.343750000   Jan 02 2024 03:37:03.902343750       4.425976562
Cuiaba --> Walker_9                        Jan 02 2024 03:45:02.558593750   Jan 02 2024 03:50:53.050781250       5.841536458
Cuiaba --> Walker_8                        Jan 02 2024 03:54:03.039062500   Jan 02 2024 04:00:19.828125000       6.279817708
Cuiaba --> Walker_7                        Jan 02 2024 03:59:19.000000000   Jan 02 2024 04:05:46.546875000       6.459114583
Cuiaba --> Walker_6                        Jan 02 2024 04:06:03.812500000   Jan 02 2024 04:12:42.316406250       6.641731771
Cuiaba --> Walker_5                        Jan 02 2024 04:17:37.890625000   Jan 02 2024 04:24:22.835937500       6.749088542
Cuiaba --> Walker_4                        Jan 02 2024 04:30:51.113281250   Jan 02 2024 04:37:33.468750000       6.705924479
Cuiaba --> Walker_3                        Jan 02 2024 04:40:19.882812500   Jan 02 2024 04:46:46.632812500       6.445833333
Cuiaba --> Walker_2                        Jan 02 2024 04:45:56.562500000   Jan 02 2024 04:51:51.371093750       5.913476562
