Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_5                        Jan 01 2024 03:12:05.070312500   Jan 01 2024 03:15:30.398437500       3.422135417
Cuiaba --> Walker_4                        Jan 01 2024 03:24:25.964843750   Jan 01 2024 03:30:13.402343750       5.790625000
Cuiaba --> Walker_3                        Jan 01 2024 03:37:50.742187500   Jan 01 2024 03:45:12.210937500       7.357812500
Cuiaba --> Walker_2                        Jan 01 2024 03:50:51.148437500   Jan 01 2024 03:58:57.308593750       8.102669271
Cuiaba --> Walker_1                        Jan 01 2024 04:03:47.437500000   Jan 01 2024 04:12:02.960937500       8.258723958
Cuiaba --> Walker_7                        Jan 01 2024 04:17:54.050781250   Jan 01 2024 04:26:27.371093750       8.555338542
Cuiaba --> Walker_6                        Jan 01 2024 04:32:07.968750000   Jan 01 2024 04:40:22.031250000       8.234375000
Cuiaba --> Walker_5                        Jan 01 2024 04:45:15.414062500   Jan 01 2024 04:52:51.824218750       7.606835937
Cuiaba --> Walker_4                        Jan 01 2024 04:59:28.335937500   Jan 01 2024 05:05:59.335937500       6.516666667
Cuiaba --> Walker_3                        Jan 01 2024 05:14:58.621093750   Jan 01 2024 05:19:43.503906250       4.748046875
Cuiaba --> Walker_3                        Jan 01 2024 15:35:33.136718750   Jan 01 2024 15:37:21.976562500       1.813997396
Cuiaba --> Walker_2                        Jan 01 2024 15:46:29.429687500   Jan 01 2024 15:51:26.199218750       4.946158854
Cuiaba --> Walker_1                        Jan 01 2024 15:57:06.199218750   Jan 01 2024 16:03:31.753906250       6.425911458
Cuiaba --> Walker_7                        Jan 01 2024 16:12:29.578125000   Jan 01 2024 16:20:11.101562500       7.692057292
Cuiaba --> Walker_6                        Jan 01 2024 16:27:07.402343750   Jan 01 2024 16:35:32.753906250       8.422526042
Cuiaba --> Walker_5                        Jan 01 2024 16:37:49.882812500   Jan 01 2024 16:46:16.628906250       8.445768229
Cuiaba --> Walker_4                        Jan 01 2024 16:51:28.074218750   Jan 01 2024 16:59:48.843750000       8.346158854
Cuiaba --> Walker_3                        Jan 01 2024 17:08:21.167968750   Jan 01 2024 17:16:24.140625000       8.049544271
Cuiaba --> Walker_2                        Jan 01 2024 17:21:06.566406250   Jan 01 2024 17:28:10.968750000       7.073372396
Cuiaba --> Walker_1                        Jan 01 2024 17:32:40.644531250   Jan 01 2024 17:38:38.441406250       5.963281250
Cuiaba --> Walker_7                        Jan 01 2024 17:50:13.316406250   Jan 01 2024 17:53:16.863281250       3.059114583
Cuiaba --> Walker_6                        Jan 02 2024 03:13:17.562500000   Jan 02 2024 03:17:08.921875000       3.855989583
Cuiaba --> Walker_5                        Jan 02 2024 03:21:12.234375000   Jan 02 2024 03:26:32.445312500       5.336848958
Cuiaba --> Walker_4                        Jan 02 2024 03:34:00.156250000   Jan 02 2024 03:40:49.085937500       6.815494792
Cuiaba --> Walker_3                        Jan 02 2024 03:51:54.011718750   Jan 02 2024 04:00:02.960937500       8.149153646
Cuiaba --> Walker_2                        Jan 02 2024 04:03:13.480468750   Jan 02 2024 04:11:42.085937500       8.476757813
Cuiaba --> Walker_1                        Jan 02 2024 04:12:48.492187500   Jan 02 2024 04:21:09.660156250       8.352799479
Cuiaba --> Walker_7                        Jan 02 2024 04:30:35.640625000   Jan 02 2024 04:38:56.210937500       8.342838542
Cuiaba --> Walker_6                        Jan 02 2024 04:47:00.378906250   Jan 02 2024 04:54:34.265625000       7.564778646
Cuiaba --> Walker_5                        Jan 02 2024 04:55:48.042968750   Jan 02 2024 05:02:40.691406250       6.877473958
Cuiaba --> Walker_4                        Jan 02 2024 05:10:17.167968750   Jan 02 2024 05:15:32.000000000       5.247200521
Cuiaba --> Walker_3                        Jan 02 2024 15:48:15.058593750   Jan 02 2024 15:53:49.281250000       5.570377604
Cuiaba --> Walker_2                        Jan 02 2024 15:58:18.160156250   Jan 02 2024 16:04:53.941406250       6.596354167
Cuiaba --> Walker_1                        Jan 02 2024 16:05:48.460937500   Jan 02 2024 16:13:02.093750000       7.227213542
Cuiaba --> Walker_7                        Jan 02 2024 16:24:49.851562500   Jan 02 2024 16:33:02.917968750       8.217773438
Cuiaba --> Walker_6                        Jan 02 2024 16:41:33.050781250   Jan 02 2024 16:50:08.960937500       8.598502604
Cuiaba --> Walker_5                        Jan 02 2024 16:47:59.335937500   Jan 02 2024 16:56:24.554687500       8.420312500
Cuiaba --> Walker_4                        Jan 02 2024 17:01:42.906250000   Jan 02 2024 17:09:48.203125000       8.088281250
Cuiaba --> Walker_3                        Jan 02 2024 17:23:15.437500000   Jan 02 2024 17:30:23.160156250       7.128710938
Cuiaba --> Walker_2                        Jan 02 2024 17:34:14.453125000   Jan 02 2024 17:40:05.210937500       5.845963542
Cuiaba --> Walker_1                        Jan 02 2024 17:42:19.816406250   Jan 02 2024 17:47:01.046875000       4.687174479
Cuiaba --> Walker_7                        Jan 03 2024 03:10:24.550781250   Jan 03 2024 03:13:31.285156250       3.112239583
Cuiaba --> Walker_6                        Jan 03 2024 03:26:34.082031250   Jan 03 2024 03:32:41.640625000       6.125976562
Cuiaba --> Walker_5                        Jan 03 2024 03:30:42.242187500   Jan 03 2024 03:37:13.242187500       6.516666667
Cuiaba --> Walker_4                        Jan 03 2024 03:43:44.507812500   Jan 03 2024 03:51:15.937500000       7.523828125
Cuiaba --> Walker_3                        Jan 03 2024 04:06:10.761718750   Jan 03 2024 04:14:43.019531250       8.537630208
Cuiaba --> Walker_2                        Jan 03 2024 04:15:44.843750000   Jan 03 2024 04:24:19.757812500       8.581901042
Cuiaba --> Walker_1                        Jan 03 2024 04:21:54.062500000   Jan 03 2024 04:30:12.707031250       8.310742188
Cuiaba --> Walker_7                        Jan 03 2024 04:43:26.992187500   Jan 03 2024 04:51:17.015625000       7.833723958
Cuiaba --> Walker_6                        Jan 03 2024 05:02:10.453125000   Jan 03 2024 05:08:31.027343750       6.342903646
Cuiaba --> Walker_5                        Jan 03 2024 05:06:31.894531250   Jan 03 2024 05:12:19.464843750       5.792838542
Cuiaba --> Walker_4                        Jan 03 2024 05:21:34.687500000   Jan 03 2024 05:24:36.906250000       3.036979167
Cuiaba --> Walker_4                        Jan 03 2024 15:38:53.769531250   Jan 03 2024 15:41:37.859375000       2.734830729
Cuiaba --> Walker_3                        Jan 03 2024 16:02:00.000000000   Jan 03 2024 16:09:11.441406250       7.190690104
Cuiaba --> Walker_2                        Jan 03 2024 16:10:25.882812500   Jan 03 2024 16:18:01.031250000       7.585807292
Cuiaba --> Walker_1                        Jan 03 2024 16:14:37.429687500   Jan 03 2024 16:22:24.796875000       7.789453125
Cuiaba --> Walker_7                        Jan 03 2024 16:37:18.226562500   Jan 03 2024 16:45:44.906250000       8.444661458
Cuiaba --> Walker_6                        Jan 03 2024 16:56:07.929687500   Jan 03 2024 17:04:33.347656250       8.423632812
Cuiaba --> Walker_5                        Jan 03 2024 16:58:13.304687500   Jan 03 2024 17:06:26.703125000       8.223307292
Cuiaba --> Walker_4                        Jan 03 2024 17:12:02.785156250   Jan 03 2024 17:19:41.187500000       7.640039062
Cuiaba --> Walker_3                        Jan 03 2024 17:38:27.171875000   Jan 03 2024 17:44:01.660156250       5.574804688
Cuiaba --> Walker_2                        Jan 03 2024 17:47:47.441406250   Jan 03 2024 17:51:31.828125000       3.739778646
Cuiaba --> Walker_1                        Jan 03 2024 17:52:26.347656250   Jan 03 2024 17:54:55.031250000       2.478059896
Cuiaba --> Walker_7                        Jan 04 2024 03:21:40.476562500   Jan 04 2024 03:27:13.636718750       5.552669271
Cuiaba --> Walker_5                        Jan 04 2024 03:40:24.070312500   Jan 04 2024 03:47:43.613281250       7.325716146
Cuiaba --> Walker_6                        Jan 04 2024 03:40:22.675781250   Jan 04 2024 03:47:45.406250000       7.378841146
Cuiaba --> Walker_4                        Jan 04 2024 03:53:36.562500000   Jan 04 2024 04:01:36.546875000       7.999739583
Cuiaba --> Walker_3                        Jan 04 2024 04:20:39.398437500   Jan 04 2024 04:29:13.648437500       8.570833333
Cuiaba --> Walker_2                        Jan 04 2024 04:28:24.972656250   Jan 04 2024 04:36:50.390625000       8.423632812
Cuiaba --> Walker_1                        Jan 04 2024 04:31:04.347656250   Jan 04 2024 04:39:11.968750000       8.127018229
Cuiaba --> Walker_7                        Jan 04 2024 04:56:30.296875000   Jan 04 2024 05:03:27.593750000       6.954947917
Cuiaba --> Walker_5                        Jan 04 2024 05:17:35.667968750   Jan 04 2024 05:21:39.179687500       4.058528646
Cuiaba --> Walker_6                        Jan 04 2024 05:17:53.531250000   Jan 04 2024 05:21:56.910156250       4.056315104
Cuiaba --> Walker_5                        Jan 04 2024 15:36:34.226562500   Jan 04 2024 15:37:04.507812500       0.504687500
Cuiaba --> Walker_6                        Jan 04 2024 15:37:33.394531250   Jan 04 2024 15:40:16.289062500       2.714908854
Cuiaba --> Walker_4                        Jan 04 2024 15:47:53.429687500   Jan 04 2024 15:53:00.824218750       5.123242187
Cuiaba --> Walker_3                        Jan 04 2024 16:16:04.929687500   Jan 04 2024 16:24:11.355468750       8.107096354
Cuiaba --> Walker_2                        Jan 04 2024 16:22:44.894531250   Jan 04 2024 16:30:55.105468750       8.170182292
Cuiaba --> Walker_1                        Jan 04 2024 16:23:31.511718750   Jan 04 2024 16:31:41.457031250       8.165755208
Cuiaba --> Walker_7                        Jan 04 2024 16:49:53.707031250   Jan 04 2024 16:58:17.863281250       8.402604167
Cuiaba --> Walker_5                        Jan 04 2024 17:08:32.121093750   Jan 04 2024 17:16:22.742187500       7.843684896
Cuiaba --> Walker_6                        Jan 04 2024 17:10:52.570312500   Jan 04 2024 17:18:45.382812500       7.880208333
Cuiaba --> Walker_4                        Jan 04 2024 17:22:28.707031250   Jan 04 2024 17:29:26.734375000       6.967122396
Cuiaba --> Walker_3                        Jan 04 2024 17:54:27.316406250   Jan 04 2024 17:56:48.429687500       2.351888021
Cuiaba --> Walker_1                        Jan 05 2024 03:08:38.519531250   Jan 05 2024 03:09:31.378906250       0.880989583
Cuiaba --> Walker_2                        Jan 05 2024 03:08:40.179687500   Jan 05 2024 03:11:02.488281250       2.371809896
Cuiaba --> Walker_7                        Jan 05 2024 03:33:30.335937500   Jan 05 2024 03:40:24.578125000       6.904036458
Cuiaba --> Walker_5                        Jan 05 2024 03:50:14.265625000   Jan 05 2024 03:58:07.078125000       7.880208333
Cuiaba --> Walker_6                        Jan 05 2024 03:54:28.734375000   Jan 05 2024 04:02:34.628906250       8.098242188
Cuiaba --> Walker_4                        Jan 05 2024 04:03:35.058593750   Jan 05 2024 04:11:51.910156250       8.280859375
Cuiaba --> Walker_3                        Jan 05 2024 04:35:19.988281250   Jan 05 2024 04:43:34.714843750       8.245442708
Cuiaba --> Walker_1                        Jan 05 2024 04:40:19.679687500   Jan 05 2024 04:48:07.046875000       7.789453125
Cuiaba --> Walker_2                        Jan 05 2024 04:41:14.664062500   Jan 05 2024 04:49:13.253906250       7.976497396
Cuiaba --> Walker_7                        Jan 05 2024 05:09:51.332031250   Jan 05 2024 05:15:22.035156250       5.511718750
Cuiaba --> Walker_5                        Jan 05 2024 15:44:46.539062500   Jan 05 2024 15:49:16.546875000       4.500130208
Cuiaba --> Walker_6                        Jan 05 2024 15:50:34.507812500   Jan 05 2024 15:56:25.199218750       5.844856771
Cuiaba --> Walker_4                        Jan 05 2024 15:57:24.367187500   Jan 05 2024 16:03:51.449218750       6.451367187
