  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)

Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:04:29.410156250       4.490169271
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:04:19.714843750       4.328580729
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:18:18.691406250      18.311523438
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:18:09.062500000      18.151041667
Earth Umbral      Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:31:54.027343750      31.900455729
Earth Penumbral   Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:32:03.656250000      32.060937500
Earth Umbral      Jan 01 2024 00:11:37.000000000   Jan 01 2024 00:45:47.492187500      34.174869792
Earth Penumbral   Jan 01 2024 00:11:27.304687500   Jan 01 2024 00:45:57.187500000      34.498046875
Earth Penumbral   Jan 01 2024 00:25:12.468750000   Jan 01 2024 00:59:43.281250000      34.513541667
Earth Umbral      Jan 01 2024 00:25:22.097656250   Jan 01 2024 00:59:33.652343750      34.192578125
Earth Penumbral   Jan 01 2024 00:39:07.859375000   Jan 01 2024 01:13:38.207031250      34.505794271
Earth Umbral      Jan 01 2024 00:39:17.554687500   Jan 01 2024 01:13:28.511718750      34.182617188
Earth Umbral      Jan 01 2024 00:53:20.449218750   Jan 01 2024 01:27:28.882812500      34.140559896
Earth Penumbral   Jan 01 2024 00:53:10.753906250   Jan 01 2024 01:27:38.511718750      34.462630208
Earth Umbral      Jan 01 2024 01:06:49.875000000   Jan 01 2024 01:41:00.964843750      34.184830729
Earth Penumbral   Jan 01 2024 01:06:40.246093750   Jan 01 2024 01:41:10.593750000      34.505794271
Earth Penumbral   Jan 01 2024 01:20:29.128906250   Jan 01 2024 01:54:59.875000000      34.512434896
Earth Umbral      Jan 01 2024 01:20:38.757812500   Jan 01 2024 01:54:50.246093750      34.191471354
Earth Umbral      Jan 01 2024 01:34:45.835937500   Jan 01 2024 02:08:52.808593750      34.116210938
Earth Penumbral   Jan 01 2024 01:34:36.140625000   Jan 01 2024 02:09:02.503906250      34.439388021
Earth Umbral      Jan 01 2024 01:48:28.011718750   Jan 01 2024 02:22:38.503906250      34.174869792
Earth Penumbral   Jan 01 2024 01:48:18.316406250   Jan 01 2024 02:22:48.199218750      34.498046875
Earth Penumbral   Jan 01 2024 02:01:49.269531250   Jan 01 2024 02:36:20.148437500      34.514648438
Earth Umbral      Jan 01 2024 02:01:58.898437500   Jan 01 2024 02:36:10.519531250      34.193684896
Earth Penumbral   Jan 01 2024 02:15:58.871093750   Jan 01 2024 02:50:29.218750000      34.505794271
Earth Umbral      Jan 01 2024 02:16:08.566406250   Jan 01 2024 02:50:19.523437500      34.182617188
Earth Penumbral   Jan 01 2024 02:30:09.535156250   Jan 01 2024 03:04:37.359375000      34.463736979
Earth Umbral      Jan 01 2024 02:30:19.230468750   Jan 01 2024 03:04:27.664062500      34.140559896
Earth Umbral      Jan 01 2024 02:43:30.992187500   Jan 01 2024 03:17:42.148437500      34.185937500
Earth Penumbral   Jan 01 2024 02:43:21.363281250   Jan 01 2024 03:17:51.777343750      34.506901042
Earth Umbral      Jan 01 2024 02:57:19.808593750   Jan 01 2024 03:31:31.296875000      34.191471354
Earth Penumbral   Jan 01 2024 02:57:10.179687500   Jan 01 2024 03:31:40.992187500      34.513541667
Earth Penumbral   Jan 01 2024 03:11:34.921875000   Jan 01 2024 03:46:01.285156250      34.439388021
Earth Umbral      Jan 01 2024 03:11:44.550781250   Jan 01 2024 03:45:51.589843750      34.117317708
Earth Penumbral   Jan 01 2024 03:25:09.328125000   Jan 01 2024 03:59:39.277343750      34.499153646
Earth Umbral      Jan 01 2024 03:25:19.023437500   Jan 01 2024 03:59:29.582031250      34.175976562
Earth Penumbral   Jan 01 2024 03:38:26.003906250   Jan 01 2024 04:12:56.882812500      34.514648438
Earth Umbral      Jan 01 2024 03:38:35.632812500   Jan 01 2024 04:12:47.253906250      34.193684896
Earth Umbral      Jan 01 2024 03:52:59.511718750   Jan 01 2024 04:27:10.535156250      34.183723958
Earth Penumbral   Jan 01 2024 03:52:49.816406250   Jan 01 2024 04:27:20.230468750      34.506901042
Earth Penumbral   Jan 01 2024 04:07:08.382812500   Jan 01 2024 04:41:36.140625000      34.462630208
Earth Umbral      Jan 01 2024 04:07:18.078125000   Jan 01 2024 04:41:26.511718750      34.140559896
Earth Penumbral   Jan 01 2024 04:20:02.480468750   Jan 01 2024 04:54:32.894531250      34.506901042
Earth Umbral      Jan 01 2024 04:20:12.109375000   Jan 01 2024 04:54:23.265625000      34.185937500
Earth Umbral      Jan 01 2024 04:34:00.925781250   Jan 01 2024 05:08:12.414062500      34.191471354
Earth Penumbral   Jan 01 2024 04:33:51.296875000   Jan 01 2024 05:08:22.042968750      34.512434896
Earth Umbral      Jan 01 2024 04:48:43.332031250   Jan 01 2024 05:22:50.371093750      34.117317708
Earth Penumbral   Jan 01 2024 04:48:33.703125000   Jan 01 2024 05:23:00.066406250      34.439388021
Earth Penumbral   Jan 01 2024 05:02:00.339843750   Jan 01 2024 05:36:30.289062500      34.499153646
Earth Umbral      Jan 01 2024 05:02:10.035156250   Jan 01 2024 05:36:20.593750000      34.175976562
Earth Penumbral   Jan 01 2024 05:15:02.804687500   Jan 01 2024 05:49:33.683593750      34.514648438
Earth Umbral      Jan 01 2024 05:15:12.433593750   Jan 01 2024 05:49:24.054687500      34.193684896
Earth Umbral      Jan 01 2024 05:29:50.523437500   Jan 01 2024 06:04:01.546875000      34.183723958
Earth Penumbral   Jan 01 2024 05:29:40.828125000   Jan 01 2024 06:04:11.242187500      34.506901042
Earth Umbral      Jan 01 2024 05:44:16.859375000   Jan 01 2024 06:18:25.359375000      34.141666667
