Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_3                   Jan 01 2024 03:37:59.574218750   Jan 01 2024 03:41:02.855468750       3.054687500
PuntaArenas --> Walker_2                   Jan 01 2024 03:56:08.105468750   Jan 01 2024 04:01:47.507812500       5.656705729
PuntaArenas --> Walker_1                   Jan 01 2024 04:13:46.089843750   Jan 01 2024 04:20:15.761718750       6.494531250
PuntaArenas --> Walker_5                   Jan 01 2024 04:33:10.921875000   Jan 01 2024 04:40:47.398437500       7.607942708
PuntaArenas --> Walker_4                   Jan 01 2024 04:51:20.050781250   Jan 01 2024 04:59:27.140625000       8.118164062
PuntaArenas --> Walker_3                   Jan 01 2024 05:10:13.671875000   Jan 01 2024 05:18:39.886718750       8.436914062
PuntaArenas --> Walker_2                   Jan 01 2024 05:29:56.832031250   Jan 01 2024 05:38:44.164062500       8.788867187
PuntaArenas --> Walker_1                   Jan 01 2024 05:48:07.886718750   Jan 01 2024 05:56:26.265625000       8.306315104
PuntaArenas --> Walker_5                   Jan 01 2024 06:08:52.339843750   Jan 01 2024 06:16:50.066406250       7.962109375
PuntaArenas --> Walker_4                   Jan 01 2024 06:27:44.566406250   Jan 01 2024 06:34:49.101562500       7.075585937
PuntaArenas --> Walker_3                   Jan 01 2024 06:47:45.390625000   Jan 01 2024 06:53:24.328125000       5.648958333
PuntaArenas --> Walker_2                   Jan 01 2024 07:09:16.128906250   Jan 01 2024 07:12:38.667968750       3.375651042
PuntaArenas --> Walker_2                   Jan 01 2024 17:11:33.214843750   Jan 01 2024 17:14:47.585937500       3.239518229
PuntaArenas --> Walker_1                   Jan 01 2024 17:26:10.507812500   Jan 01 2024 17:31:20.027343750       5.158658854
PuntaArenas --> Walker_5                   Jan 01 2024 17:48:24.210937500   Jan 01 2024 17:55:27.019531250       7.046809896
PuntaArenas --> Walker_4                   Jan 01 2024 18:04:54.593750000   Jan 01 2024 18:12:46.011718750       7.856966146
PuntaArenas --> Walker_3                   Jan 01 2024 18:23:51.203125000   Jan 01 2024 18:32:12.437500000       8.353906250
PuntaArenas --> Walker_2                   Jan 01 2024 18:45:25.394531250   Jan 01 2024 18:54:08.875000000       8.724674479
PuntaArenas --> Walker_1                   Jan 01 2024 19:00:34.960937500   Jan 01 2024 19:09:03.433593750       8.474544271
PuntaArenas --> Walker_5                   Jan 01 2024 19:23:58.125000000   Jan 01 2024 19:32:06.675781250       8.142513021
PuntaArenas --> Walker_4                   Jan 01 2024 19:40:40.792968750   Jan 01 2024 19:48:21.984375000       7.686523438
PuntaArenas --> Walker_3                   Jan 01 2024 20:00:04.031250000   Jan 01 2024 20:06:52.828125000       6.813281250
PuntaArenas --> Walker_2                   Jan 01 2024 20:22:22.914062500   Jan 01 2024 20:27:57.203125000       5.571484375
PuntaArenas --> Walker_1                   Jan 01 2024 20:37:48.417968750   Jan 01 2024 20:41:33.003906250       3.743098958
PuntaArenas --> Walker_4                   Jan 02 2024 03:31:02.121093750   Jan 02 2024 03:32:08.660156250       1.108984375
PuntaArenas --> Walker_3                   Jan 02 2024 03:48:10.953125000   Jan 02 2024 03:52:39.500000000       4.475781250
PuntaArenas --> Walker_2                   Jan 02 2024 04:09:46.140625000   Jan 02 2024 04:16:24.179687500       6.633984375
PuntaArenas --> Walker_1                   Jan 02 2024 04:22:32.335937500   Jan 02 2024 04:29:30.496093750       6.969335938
PuntaArenas --> Walker_5                   Jan 02 2024 04:47:09.410156250   Jan 02 2024 04:55:13.312500000       8.065039063
PuntaArenas --> Walker_4                   Jan 02 2024 05:02:14.527343750   Jan 02 2024 05:10:35.164062500       8.343945313
PuntaArenas --> Walker_3                   Jan 02 2024 05:21:13.394531250   Jan 02 2024 05:29:44.523437500       8.518815104
PuntaArenas --> Walker_2                   Jan 02 2024 05:44:18.097656250   Jan 02 2024 05:52:59.054687500       8.682617188
PuntaArenas --> Walker_1                   Jan 02 2024 05:57:20.496093750   Jan 02 2024 06:05:28.183593750       8.128125000
PuntaArenas --> Walker_5                   Jan 02 2024 06:23:33.394531250   Jan 02 2024 06:30:55.195312500       7.363346354
PuntaArenas --> Walker_4                   Jan 02 2024 06:39:15.632812500   Jan 02 2024 06:45:37.535156250       6.365039063
PuntaArenas --> Walker_3                   Jan 02 2024 06:59:34.054687500   Jan 02 2024 07:03:57.355468750       4.388346354
PuntaArenas --> Walker_2                   Jan 02 2024 17:24:57.902343750   Jan 02 2024 17:30:18.445312500       5.342382813
PuntaArenas --> Walker_1                   Jan 02 2024 17:34:55.757812500   Jan 02 2024 17:40:57.406250000       6.027473958
PuntaArenas --> Walker_5                   Jan 02 2024 18:02:27.414062500   Jan 02 2024 18:10:11.062500000       7.727473958
