Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_4                        Jan 01 2024 03:18:01.007812500   Jan 01 2024 03:22:49.144531250       4.802278646
Cuiaba --> Walker_3                        Jan 01 2024 03:33:22.394531250   Jan 01 2024 03:40:15.640625000       6.887434896
Cuiaba --> Walker_2                        Jan 01 2024 03:48:43.449218750   Jan 01 2024 03:56:46.621093750       8.052864583
Cuiaba --> Walker_1                        Jan 01 2024 04:03:47.437500000   Jan 01 2024 04:12:02.960937500       8.258723958
Cuiaba --> Walker_6                        Jan 01 2024 04:20:20.078125000   Jan 01 2024 04:28:53.332031250       8.554231771
Cuiaba --> Walker_5                        Jan 01 2024 04:36:33.925781250   Jan 01 2024 04:44:36.167968750       8.037369792
Cuiaba --> Walker_4                        Jan 01 2024 04:52:06.136718750   Jan 01 2024 04:59:15.320312500       7.153059896
Cuiaba --> Walker_3                        Jan 01 2024 05:09:48.636718750   Jan 01 2024 05:15:14.292968750       5.427604167
Cuiaba --> Walker_2                        Jan 01 2024 05:28:09.253906250   Jan 01 2024 05:29:03.175781250       0.898697917
Cuiaba --> Walker_2                        Jan 01 2024 15:44:51.480468750   Jan 01 2024 15:49:32.511718750       4.683854167
Cuiaba --> Walker_1                        Jan 01 2024 15:57:06.199218750   Jan 01 2024 16:03:31.753906250       6.425911458
Cuiaba --> Walker_6                        Jan 01 2024 16:15:13.734375000   Jan 01 2024 16:23:04.886718750       7.852539062
Cuiaba --> Walker_5                        Jan 01 2024 16:30:52.253906250   Jan 01 2024 16:39:22.652343750       8.506640625
Cuiaba --> Walker_4                        Jan 01 2024 16:43:55.847656250   Jan 01 2024 16:52:17.480468750       8.360546875
Cuiaba --> Walker_3                        Jan 01 2024 17:02:52.390625000   Jan 01 2024 17:11:06.917968750       8.242122396
Cuiaba --> Walker_2                        Jan 01 2024 17:19:19.718750000   Jan 01 2024 17:26:34.281250000       7.242708333
Cuiaba --> Walker_1                        Jan 01 2024 17:32:40.644531250   Jan 01 2024 17:38:38.441406250       5.963281250
Cuiaba --> Walker_6                        Jan 01 2024 17:53:34.527343750   Jan 01 2024 17:55:36.250000000       2.028710938
Cuiaba --> Walker_5                        Jan 02 2024 03:16:12.675781250   Jan 02 2024 03:20:40.359375000       4.461393229
Cuiaba --> Walker_4                        Jan 02 2024 03:26:24.941406250   Jan 02 2024 03:32:27.253906250       6.038541667
Cuiaba --> Walker_3                        Jan 02 2024 03:46:12.949218750   Jan 02 2024 03:54:00.050781250       7.785026042
Cuiaba --> Walker_2                        Jan 02 2024 04:01:50.937500000   Jan 02 2024 04:10:20.539062500       8.493359375
Cuiaba --> Walker_1                        Jan 02 2024 04:12:48.492187500   Jan 02 2024 04:21:09.660156250       8.352799479
