Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

PuntaArenas --> Walker_8                   Jan 01 2024 08:57:46.464843750   Jan 01 2024 08:58:40.917968750       0.907552083
PuntaArenas --> Walker_7                   Jan 01 2024 09:05:37.218750000   Jan 01 2024 09:07:40.933593750       2.061914063
PuntaArenas --> Walker_6                   Jan 01 2024 09:14:05.492187500   Jan 01 2024 09:16:42.277343750       2.613085938
PuntaArenas --> Walker_5                   Jan 01 2024 09:23:38.046875000   Jan 01 2024 09:26:46.839843750       3.146549479
PuntaArenas --> Walker_4                   Jan 01 2024 09:33:32.250000000   Jan 01 2024 09:37:18.562500000       3.771875000
PuntaArenas --> Walker_3                   Jan 01 2024 09:42:44.417968750   Jan 01 2024 09:46:49.457031250       4.083984375
PuntaArenas --> Walker_2                   Jan 01 2024 09:51:07.644531250   Jan 01 2024 09:55:11.488281250       4.064062500
PuntaArenas --> Walker_1                   Jan 01 2024 09:59:44.816406250   Jan 01 2024 10:03:55.632812500       4.180273438
PuntaArenas --> Walker_10                  Jan 01 2024 10:09:30.585937500   Jan 01 2024 10:13:59.066406250       4.474674479
PuntaArenas --> Walker_9                   Jan 01 2024 10:19:46.902343750   Jan 01 2024 10:24:25.210937500       4.638476563
PuntaArenas --> Walker_8                   Jan 01 2024 10:29:05.113281250   Jan 01 2024 10:33:47.738281250       4.710416667
PuntaArenas --> Walker_7                   Jan 01 2024 10:37:22.960937500   Jan 01 2024 10:42:08.707031250       4.762434896
PuntaArenas --> Walker_6                   Jan 01 2024 10:46:05.910156250   Jan 01 2024 10:50:49.531250000       4.727018229
PuntaArenas --> Walker_5                   Jan 01 2024 10:56:01.109375000   Jan 01 2024 11:00:47.453125000       4.772395833
PuntaArenas --> Walker_4                   Jan 01 2024 11:06:19.949218750   Jan 01 2024 11:11:18.644531250       4.978255208
PuntaArenas --> Walker_3                   Jan 01 2024 11:15:43.007812500   Jan 01 2024 11:20:43.828125000       5.013671875
PuntaArenas --> Walker_2                   Jan 01 2024 11:24:03.378906250   Jan 01 2024 11:28:53.972656250       4.843229167
PuntaArenas --> Walker_1                   Jan 01 2024 11:32:40.816406250   Jan 01 2024 11:37:30.281250000       4.824414062
PuntaArenas --> Walker_10                  Jan 01 2024 11:42:39.402343750   Jan 01 2024 11:47:35.773437500       4.939518229
PuntaArenas --> Walker_9                   Jan 01 2024 11:53:10.527343750   Jan 01 2024 11:58:08.160156250       4.960546875
PuntaArenas --> Walker_8                   Jan 01 2024 12:02:32.191406250   Jan 01 2024 12:07:29.691406250       4.958333333
